Elapsed time [s]	Value [250,1250]
0.000	440.9240
1.024	440.8020
5.046	421.9410
7.057	440.8020
9.068	440.4960
19.123	440.3740
25.154	440.2220
31.184	440.0690
41.237	439.9470
47.272	439.6720
49.281	439.7950
51.294	439.6720
53.303	439.7950
55.314	439.6720
59.336	439.5200
61.347	439.6720
63.355	439.5200
67.388	439.3670
73.418	439.2450
75.429	439.3670
77.440	439.2450
79.454	439.0930
81.462	439.2450
83.473	439.0930
89.504	438.9710
99.556	438.8180
101.567	438.6650
103.578	438.8180
105.589	438.6650
107.618	438.8180
109.614	438.6650
117.655	438.5430
121.682	438.6650
123.686	438.9710
125.697	439.3670
127.708	440.0690
129.719	440.9240
133.756	440.4960
135.752	440.0690
137.763	439.6720
139.779	439.3670
141.785	439.0930
143.796	438.9710
147.818	438.8180
153.851	438.9710
155.859	438.8180
157.870	439.0930
159.884	439.2450
169.934	439.0930
171.945	439.2450
173.956	439.0930
179.984	439.3670
181.995	439.0930
184.006	439.3670
192.050	439.2450
196.069	439.3670
198.080	439.2450
200.089	439.3670
204.116	439.5200
206.122	439.3670
208.130	439.6720
210.141	439.5200
212.152	439.6720
214.161	439.7950
220.194	439.9470
224.213	440.0690
226.232	440.2220
230.244	440.3740
234.266	440.6490
238.283	441.0760
240.294	440.9240
242.305	434.3010
244.316	423.3450
246.327	419.6830
248.338	423.8940
250.346	431.2190
252.357	438.1160
254.368	440.8020
256.379	437.1390
258.390	427.1290
260.399	419.1340
262.410	420.2320
264.421	426.5800
266.432	434.8810
268.443	439.7950
270.454	439.0930
272.465	431.4940
274.476	420.8120
276.484	418.1260
278.495	422.6430
280.506	430.5170
282.515	437.4140
284.526	439.9470
286.537	435.3080
288.560	424.5960
290.556	417.4240
292.567	419.5300
294.578	426.4270
296.589	434.4540
298.600	439.2450
300.608	438.1160
302.627	429.3880
304.636	418.8280
306.647	417.1500
308.658	422.3680
310.669	430.5170
312.680	437.4140
314.688	439.0930
316.699	434.1790
318.710	422.9180
320.721	416.1730
322.732	418.9810
324.741	426.4270
326.749	434.3010
328.760	438.6650
330.771	436.8340
332.780	427.8310
334.791	417.3020
336.802	416.2950
338.810	421.7890
340.824	430.0900
342.837	437.1390
344.846	438.2690
346.859	432.3480
348.870	420.8120
350.879	415.0440
352.892	418.4320
354.903	426.0000
356.914	434.0270
358.923	438.2690
360.934	435.5830
362.945	425.7260
364.966	415.8990
368.975	422.3680
370.986	431.7680
372.997	439.0930
375.008	440.9240
377.019	435.4300
379.030	424.3220
381.041	419.9580
383.052	424.0470
385.061	431.6460
387.072	439.2450
389.083	443.1820
391.094	440.8020
393.102	432.0730
395.113	424.3220
397.124	425.6030
399.135	431.7680
401.146	439.5200
403.157	445.2880
405.168	445.4400
407.182	439.6720
409.193	430.7920
411.204	428.4110
413.217	432.6230
415.226	439.9470
417.240	446.8440
419.251	449.8050
421.264	447.2720
423.275	439.2450
425.286	433.4770
427.297	435.4300
429.311	441.3510
431.322	448.3700
433.333	453.8640
435.344	454.0160
437.355	448.9500
439.368	441.1980
441.379	439.9470
443.390	444.5860
445.401	451.0560
447.415	457.4040
449.426	460.2110
451.447	457.6780
453.458	450.6290
455.469	446.8440
457.480	449.2250
459.491	454.9930
461.500	461.3410
