Elapsed time [s]	Value [-1E+100,1E+100]
0.000	1.990000
17.079	1.980000
19.180	1.990000
27.584	1.980000
29.683	1.990000
31.784	1.980000
33.885	1.990000
42.287	1.980000
44.386	1.990000
52.790	1.980000
54.889	1.990000
86.398	1.980000
92.702	1.990000
166.221	1.980000
168.322	1.990000
183.025	1.980000
185.136	1.990000
231.341	1.980000
233.442	1.990000
235.543	1.980000
239.745	1.990000
285.957	1.980000
290.157	1.990000
306.961	1.980000
309.062	1.990000
342.672	1.980000
344.774	1.990000
355.274	1.980000
357.375	1.990000
361.577	1.980000
363.679	1.990000
367.881	1.980000
369.979	1.990000
372.081	1.980000
374.182	1.990000
382.586	1.980000
384.685	1.990000
397.292	1.980000
399.390	1.990000
454.004	1.980000
456.105	1.990000
506.520	1.980000
510.722	1.990000
523.324	1.980000
525.435	1.990000
544.330	1.980000
546.431	1.990000
559.035	1.980000
561.136	1.990000
605.247	1.980000
607.346	1.990000
643.057	1.980000
645.159	1.990000
670.365	1.980000
672.466	1.990000
687.168	1.980000
689.270	1.990000
706.074	1.980000
708.175	1.990000
724.979	1.980000
727.080	1.990000
737.583	1.980000
739.684	1.990000
741.785	1.980000
743.891	1.990000
748.086	1.980000
750.187	1.990000
766.991	1.980000
771.193	1.990000
773.292	1.980000
777.494	1.990000
783.795	1.980000
785.896	1.990000
787.997	1.980000
790.096	1.990000
798.500	1.980000
800.599	1.990000
821.605	1.980000
823.706	1.990000
834.209	1.980000
836.310	1.990000
838.409	1.980000
840.510	1.990000
851.013	1.980000
853.114	1.990000
888.823	1.980000
895.127	1.990000
932.937	1.980000
935.038	1.990000
941.339	1.980000
943.440	1.990000
947.640	1.980000
949.741	1.990000
953.943	1.980000
956.044	1.990000
960.244	1.980000
962.345	1.990000
964.446	1.980000
966.545	1.990000
972.848	1.980000
974.947	1.990000
977.048	1.980000
979.149	1.990000
983.351	1.980000
985.450	1.990000
989.652	1.980000
991.756	1.990000
995.953	1.980000
998.054	1.990000
1000.155	1.980000
1002.254	1.990000
1010.658	1.980000
1012.757	1.990000
1021.159	1.980000
1023.263	1.990000
1058.972	1.980000
1061.070	1.990000
1090.481	1.980000
1094.683	1.990000
1096.782	1.980000
1098.883	1.990000
1103.085	1.980000
1105.186	1.990000
1113.588	1.980000
1115.687	1.990000
1121.990	1.980000
1126.190	1.990000
1134.592	1.980000
1136.693	1.990000
1138.794	1.980000
1140.895	1.990000
1176.604	1.980000
1178.705	1.990000
1180.806	1.980000
1182.905	1.990000
1243.823	1.980000
1245.924	1.990000
1275.332	1.980000
1277.433	1.990000
1304.740	1.980000
1306.841	1.990000
1319.445	1.980000
1321.546	1.990000
1329.948	1.980000
1332.047	1.990000
1344.651	1.980000
1348.854	1.990000
1367.759	1.980000
1371.958	1.990000
1428.676	1.980000
1430.775	1.990000
1487.492	1.980000
1489.594	1.990000
1497.993	1.980000
1500.094	1.990000
1525.313	1.980000
1527.414	1.990000
1548.420	1.980000
1550.521	1.990000
1573.623	1.980000
1575.730	1.990000
1584.129	1.980000
1586.230	1.990000
1588.331	1.980000
1590.433	1.990000
1594.630	1.980000
1596.731	1.990000
1615.636	1.980000
1617.737	1.990000
