Elapsed time [s]	Value [0,100]
0.000	0.2938000
0.326	0.2563000
2.417	0.2771000
4.516	0.2542000
6.622	0.2500000
8.718	0.3208000
10.819	0.2417000
12.923	0.2146000
15.019	0.2729000
17.133	0.2313000
21.325	0.2583000
23.426	0.2125000
25.522	0.2813000
27.623	0.2313000
29.724	0.2604000
31.825	0.2021000
33.929	0.2292000
36.028	0.1563000
38.126	0.2458000
40.227	0.2854000
42.328	0.2458000
44.442	0.2188000
46.528	0.2104000
48.629	0.2333000
50.728	0.3146000
52.829	0.2917000
54.933	0.2667000
57.031	0.2146000
59.135	0.2542000
61.234	0.2146000
63.335	0.2750000
65.436	0.2688000
67.534	0.2604000
69.643	0.2646000
71.734	0.2458000
73.835	0.2646000
75.936	0.2958000
78.037	0.2271000
80.139	0.2292000
82.237	0.2458000
84.341	0.2667000
86.439	0.1896000
88.541	0.2750000
90.644	0.2271000
92.743	0.2063000
94.847	0.2271000
96.943	0.2208000
99.041	0.2500000
101.147	0.2313000
103.243	0.2271000
105.345	0.2396000
107.446	0.2771000
109.544	0.2271000
111.650	0.2500000
113.746	0.2354000
115.848	0.2646000
117.946	0.2479000
120.050	0.2417000
122.151	0.2542000
124.250	0.2292000
126.351	0.2521000
128.462	0.2458000
130.550	0.2479000
132.652	0.2396000
134.753	0.2521000
136.854	0.2500000
138.952	0.2583000
141.069	0.2500000
143.155	0.2021000
145.256	0.2125000
147.362	0.2438000
149.458	0.3208000
151.557	0.2375000
153.663	0.2729000
155.759	0.2375000
157.857	0.2646000
159.961	0.2354000
162.060	0.2708000
164.166	0.2042000
166.262	0.2208000
168.361	0.2771000
170.464	0.2125000
172.563	0.2313000
174.669	0.1813000
176.765	0.2167000
178.866	0.2583000
180.965	0.1979000
183.079	0.2417000
185.167	0.1229000
187.271	0.2167000
189.369	0.2417000
191.501	0.2208000
193.572	0.2708000
195.673	0.2604000
197.771	0.2958000
199.872	0.2396000
201.974	0.2583000
204.075	0.2208000
206.176	0.2583000
208.274	0.2438000
210.376	0.2000000
212.479	0.2563000
214.578	0.2542000
216.676	0.2000000
218.788	0.2521000
220.881	0.2625000
222.980	0.1938000
225.081	0.2813000
227.179	0.2542000
229.283	0.2875000
231.384	0.2458000
233.483	0.2917000
235.584	0.2958000
237.683	0.1521000
239.786	0.2563000
241.887	0.1750000
243.989	0.2479000
246.087	0.2021000
250.302	0.2125000
252.406	0.2458000
254.489	0.2167000
256.590	0.2813000
258.689	0.2729000
260.790	0.2521000
262.891	0.1708000
264.992	0.2500000
267.091	0.2688000
269.192	0.2479000
271.296	0.1917000
273.397	0.2417000
275.508	0.2729000
277.604	0.2563000
279.695	0.2500000
281.796	0.2813000
283.897	0.2667000
285.998	0.2771000
288.097	0.2188000
290.198	0.2083000
292.299	0.2333000
294.398	0.2292000
296.504	0.1896000
298.605	0.2438000
300.704	0.1792000
302.805	0.2083000
304.911	0.2313000
307.010	0.2354000
309.116	0.1771000
311.220	0.2250000
313.316	0.2396000
