Elapsed time [s]	Value [-1E+100,1E+100]
0.000	0.2763000
0.159	0.2770000
2.258	0.2776000
4.359	0.2779000
6.460	0.2785000
8.561	0.2789000
10.660	0.2797000
12.761	0.2799000
14.862	0.2804000
16.963	0.2811000
19.064	0.2817000
21.163	0.2825000
23.264	0.2829000
25.365	0.2835000
27.474	0.2839000
29.567	0.2844000
31.666	0.2847000
33.767	0.2851000
35.868	0.2858000
37.969	0.2863000
40.068	0.2868000
42.169	0.2876000
44.270	0.2880000
46.371	0.2883000
48.472	0.2888000
50.571	0.2895000
52.672	0.2901000
54.773	0.2906000
56.874	0.2908000
58.973	0.2912000
61.074	0.2919000
63.175	0.2924000
65.281	0.2929000
67.382	0.2934000
69.484	0.2942000
71.585	0.2947000
73.686	0.2952000
75.784	0.2958000
77.886	0.2961000
79.987	0.2968000
82.088	0.2971000
84.189	0.2980000
86.288	0.2985000
88.391	0.2990000
90.492	0.2997000
92.591	0.3000000
94.692	0.3005000
96.791	0.3013000
98.892	0.3016000
100.993	0.3020000
103.094	0.3028000
105.193	0.3031000
107.294	0.3039000
109.395	0.3042000
111.496	0.3049000
113.597	0.3054000
115.696	0.3061000
117.797	0.3064000
119.898	0.3072000
121.999	0.3078000
124.100	0.3082000
126.214	0.3085000
128.300	0.3092000
130.401	0.3097000
132.502	0.3102000
134.601	0.3108000
136.702	0.3112000
138.803	0.3117000
140.904	0.3122000
143.003	0.3125000
145.104	0.3133000
147.205	0.3138000
149.306	0.3144000
151.407	0.3149000
153.506	0.3154000
155.607	0.3159000
157.708	0.3164000
159.809	0.3169000
161.908	0.3171000
164.009	0.3176000
166.110	0.3183000
168.211	0.3188000
170.310	0.3193000
172.411	0.3200000
174.512	0.3202000
176.613	0.3210000
178.714	0.3215000
180.813	0.3219000
182.914	0.3222000
185.015	0.3228000
187.116	0.3230000
189.215	0.3238000
191.316	0.3242000
193.420	0.3245000
195.518	0.3252000
197.619	0.3258000
199.718	0.3262000
201.819	0.3269000
203.920	0.3274000
206.021	0.3279000
208.122	0.3281000
210.236	0.3287000
212.322	0.3296000
214.423	0.3299000
216.524	0.3305000
218.626	0.3307000
220.724	0.3317000
222.825	0.3322000
224.926	0.3327000
227.028	0.3332000
229.126	0.3334000
231.230	0.3341000
