Elapsed time [s]	Value [0,300]
0.000	281.6280
1.024	281.6810
3.035	281.6280
5.046	281.6810
7.057	281.6280
13.090	281.5850
15.101	281.6280
17.112	281.6810
19.121	281.6280
23.143	281.6810
25.154	281.6280
29.176	281.6810
31.184	281.7770
33.195	281.6280
35.206	281.7770
37.217	281.6280
39.228	281.6810
45.261	281.6280
47.270	281.7240
49.281	281.6810
53.303	281.6280
61.344	281.7240
63.355	281.6810
65.377	281.6280
73.418	281.6810
75.429	281.6280
81.462	281.7770
83.473	281.6810
85.482	281.6280
87.493	281.6810
93.523	281.6280
97.545	281.7240
101.567	281.6810
103.576	281.7240
109.611	281.6280
113.633	281.6810
115.644	281.6280
121.682	281.6810
123.686	281.6280
129.719	281.6810
131.730	281.6280
133.756	281.6810
137.763	281.6280
141.785	281.6810
143.796	281.7240
145.807	281.6810
147.815	281.7770
149.826	281.6810
151.840	281.6280
157.870	281.6810
159.881	281.6280
161.900	281.6810
165.912	281.6280
169.934	281.6810
171.945	281.6280
177.975	281.6810
179.984	281.6280
190.039	281.7240
192.050	281.6810
194.061	281.6280
204.116	281.6810
206.119	281.6280
210.141	281.7240
212.152	281.6810
218.180	281.6280
222.202	281.6810
224.213	281.6280
226.229	281.6810
230.244	281.6280
232.270	281.6810
234.263	281.6280
238.283	281.7240
242.305	281.6280
244.316	281.6810
250.346	281.7240
252.357	281.6280
254.368	281.6810
256.379	281.5850
258.388	281.6280
262.407	281.6810
264.418	281.7240
266.432	281.6810
268.443	281.6280
270.451	281.6810
272.462	281.6280
274.476	281.7240
276.484	281.6810
278.495	281.6280
280.503	281.6810
282.515	281.6280
284.526	281.6810
286.534	281.6280
288.560	281.7240
290.556	281.6810
294.578	281.6280
296.589	281.6810
302.625	281.6280
306.647	281.6810
308.658	281.5320
310.669	281.6810
312.680	281.6280
320.721	281.7240
322.730	281.6280
328.760	281.5850
330.771	281.6280
336.799	281.6810
338.810	281.6280
340.824	281.7770
342.837	281.6810
346.857	281.6280
348.870	281.6810
354.903	281.5320
356.914	281.6280
358.923	281.5850
360.934	281.6810
364.966	281.6280
366.969	281.6810
368.975	281.6280
372.997	281.6810
375.008	281.6280
383.052	281.6810
385.061	281.6280
389.083	281.7240
393.102	281.6810
397.124	281.6280
399.135	281.6810
401.146	281.6280
403.157	281.6810
407.182	281.6280
411.204	281.6810
417.237	281.6280
427.297	281.6810
431.322	281.6280
443.390	281.6810
445.401	281.6280
449.423	281.6810
457.478	281.5850
459.489	281.6810
463.521	281.6280
469.544	281.6810
471.552	281.6280
473.563	281.6810
475.572	281.6280
477.583	281.6810
481.605	281.6280
483.616	281.5850
485.627	281.6280
487.638	281.6810
489.649	281.5850
491.660	281.6280
493.671	281.6810
495.682	281.6280
501.712	281.5320
503.721	281.6810
505.732	281.5320
507.743	281.6280
511.765	281.6810
515.784	281.6280
519.806	281.5320
521.820	281.6280
527.850	281.6810
529.861	281.5850
531.872	281.6810
535.897	281.6280
539.919	281.6810
541.930	281.6280
545.947	281.6810
551.977	281.6280
553.991	281.6810
556.002	281.6280
562.032	281.5320
564.043	281.5850
566.054	281.6280
