Elapsed time [s]	Value [0,100]
0.000	226.2640
1.083	231.0250
3.094	235.6640
5.108	234.2600
7.116	228.7970
9.125	234.4130
11.136	236.9460
13.147	240.4550
15.158	235.6640
17.169	231.1780
19.177	236.7930
21.188	230.7500
23.197	234.1380
25.208	241.7070
27.219	230.7500
29.230	240.7300
31.241	238.1970
33.249	242.5610
35.260	234.4130
37.271	232.3070
39.280	226.9660
41.291	240.1810
43.299	228.3700
45.310	229.0720
47.321	231.3000
49.332	232.7340
51.343	238.0750
53.352	232.5810
55.363	235.2370
57.371	234.6870
59.382	229.0720
61.393	233.0090
63.404	234.5350
65.413	229.7740
67.424	231.8800
69.435	242.5610
71.443	234.1380
73.454	234.9620
75.465	234.4130
77.474	235.5420
79.485	233.9850
81.493	228.7970
83.504	226.8140
85.515	232.3070
87.523	234.4130
89.535	232.7340
91.546	235.1150
93.557	231.0250
95.575	239.3260
97.579	232.7340
99.590	236.5180
101.598	230.4760
103.609	231.7270
105.620	234.5350
107.628	230.3230
109.639	239.4790
111.650	228.2170
113.659	227.0880
115.670	228.4920
117.681	229.3470
119.692	246.2230
121.700	232.3070
123.711	241.7070
125.720	236.0910
127.744	238.1970
129.742	240.4550
131.750	234.1380
133.764	225.2570
135.772	235.5420
137.783	231.6050
139.792	241.0050
141.803	237.3730
143.814	236.6710
145.825	236.3660
147.836	231.6050
149.844	237.9220
151.855	232.4290
153.864	238.3490
155.875	232.8560
157.886	232.3070
159.894	236.0910
163.916	229.8960
165.925	231.8800
167.961	233.1310
169.944	235.3890
171.958	220.4960
173.966	245.2470
175.977	234.5350
177.988	231.3000
179.997	233.1310
182.008	233.8330
184.016	233.5580
186.027	233.0090
188.038	228.6450
190.049	233.8330
192.058	233.2830
194.069	239.0510
196.080	229.7740
198.091	243.9650
200.102	231.8800
202.113	228.7970
204.124	238.6240
206.135	240.1810
208.146	229.1940
210.154	225.9590
212.165	233.5580
214.176	231.0250
216.187	231.7270
218.198	230.2010
220.207	231.4520
222.220	236.7930
224.229	243.8430
226.240	233.5580
228.251	230.5980
230.259	230.4760
232.270	238.0750
234.281	236.5180
236.290	228.3700
238.301	238.8990
240.309	235.2370
242.320	228.4920
244.331	221.7470
246.342	234.2600
248.353	239.4790
250.361	231.0250
252.380	230.7500
254.381	233.1310
256.392	231.0250
258.403	234.2600
260.414	233.2830
262.425	225.9590
264.433	232.8560
266.444	240.1810
268.453	236.2440
270.464	235.5420
272.475	229.7740
274.486	226.5390
276.497	236.3660
278.508	235.8160
280.516	241.1570
282.527	224.7080
284.536	224.2800
286.547	231.6050
