Elapsed time [s]	Value [0,10]
0.000	28.75150
1.083	28.82170
3.094	28.76670
5.108	28.72400
7.116	28.70880
9.127	28.80950
11.138	28.82170
13.149	28.79420
15.158	28.76670
17.169	28.83690
23.199	28.82170
25.208	28.76670
27.221	28.84910
29.230	28.80950
31.241	28.79420
33.249	28.80950
35.260	28.75150
37.274	28.82170
39.280	28.77890
41.291	28.76670
43.302	28.75150
45.310	28.84910
47.321	28.80950
51.343	28.84910
55.363	28.76670
57.374	28.73620
59.382	28.86440
61.393	28.82170
63.404	28.75150
65.415	28.73620
67.426	28.84910
69.435	28.83690
71.446	28.80950
73.454	28.76670
77.476	28.82170
81.496	28.75150
83.504	28.80950
85.515	28.84910
87.526	28.83690
89.537	28.79420
91.548	28.72400
93.557	28.84910
95.575	28.82170
97.579	28.79420
99.590	28.80950
101.601	28.79420
103.609	28.75150
105.620	28.76670
107.628	28.84910
111.650	28.83690
113.662	28.75150
117.681	28.82170
119.692	28.80950
121.703	28.79420
123.711	28.76670
125.720	28.72400
127.744	28.83690
129.742	28.84910
131.753	28.80950
133.764	28.75150
135.775	28.79420
137.783	28.86440
139.794	28.79420
141.803	28.76670
145.825	28.82170
147.836	28.77890
149.847	28.79420
151.855	28.76670
153.864	28.84910
159.897	28.80950
161.905	28.79420
163.916	28.73620
165.927	28.75150
167.961	28.72400
169.947	28.86440
171.958	28.84910
175.977	28.76670
177.988	28.77890
179.999	28.76670
182.008	28.75150
184.019	28.86440
186.027	28.83690
188.038	28.84910
192.058	28.79420
194.071	28.75150
196.082	28.84910
198.093	28.82170
200.102	28.80950
202.113	28.84910
206.135	28.82170
208.146	28.75150
210.157	28.73620
212.165	28.84910
216.187	28.79420
218.198	28.75150
220.209	28.83690
222.220	28.82170
224.229	28.79420
226.240	28.75150
228.251	28.82170
230.262	28.83690
234.281	28.82170
236.292	28.83690
238.301	28.79420
240.309	28.76670
244.331	28.80950
246.342	28.86440
248.353	28.80950
250.361	28.82170
252.380	28.77890
258.406	28.75150
260.414	28.83690
264.436	28.82170
268.455	28.79420
270.464	28.80950
272.477	28.79420
274.488	28.84910
276.497	28.82170
278.508	28.83690
280.519	28.84910
282.527	28.82170
284.538	28.76670
286.547	28.80950
288.563	28.73620
290.569	28.84910
292.580	28.75150
294.591	28.84910
296.602	28.86440
298.621	28.76670
300.624	28.79420
304.646	28.77890
306.657	28.79420
308.665	28.73620
310.676	28.75150
314.696	28.73620
316.707	28.80950
318.718	28.79420
322.740	28.84910
324.751	28.80950
326.762	28.77890
328.770	28.79420
330.781	28.82170
332.790	28.79420
334.801	28.75150
336.812	28.84910
340.831	28.76670
342.842	28.73620
344.853	28.86440
346.867	28.82170
348.878	28.77890
350.889	28.79420
352.900	28.83690
354.908	28.84910
356.919	28.79420
358.930	28.75150
360.941	28.84910
362.952	28.83690
364.966	28.76670
368.985	28.79420
370.994	28.89190
375.016	28.79420
377.027	28.84910
379.038	28.87970
383.057	28.82170
385.066	28.76670
387.077	28.83690
389.088	28.87970
391.099	28.79420
395.118	28.86440
397.129	28.82170
401.149	28.77890
403.160	28.86440
405.171	28.83690
407.182	28.87970
409.193	28.86440
413.217	28.87970
415.226	28.79420
417.240	28.87970
419.251	28.79420
421.264	28.87970
423.275	28.76670
425.286	28.82170
427.297	28.77890
429.311	28.86440
431.322	28.79420
433.333	28.86440
435.344	28.82170
437.357	28.84910
441.379	28.89190
443.390	28.80950
445.401	28.86440
447.415	28.84910
449.426	28.77890
451.437	28.83690
453.448	28.76670
455.459	28.86440
457.467	28.87970
459.479	28.80950
461.487	28.77890
463.521	28.86440
465.509	28.80950
467.517	28.77890
469.528	28.76670
471.537	28.86440
473.548	28.82170
475.559	28.77890
477.570	28.87970
479.581	28.80950
481.589	28.89190
483.603	28.84910
485.611	28.79420
487.622	28.87970
489.633	28.86440
491.642	28.82170
493.653	28.89190
495.664	28.83690
499.683	28.90710
501.694	28.83690
503.705	28.77890
505.714	28.89190
507.725	28.87970
511.744	28.79420
513.755	28.82170
515.766	28.86440
517.785	28.80950
519.786	28.89190
521.797	28.84910
523.808	28.79420
525.816	28.77890
527.827	28.89190
529.838	28.84910
531.847	28.79420
533.858	28.76670
535.866	28.86440
539.888	28.79420
541.899	28.89190
543.908	28.86440
545.919	28.79420
547.930	28.83690
549.941	28.86440
551.952	28.82170
553.963	28.77890
555.974	28.86440
557.985	28.82170
559.993	28.80950
562.004	28.87970
568.035	28.80950
574.065	28.83690
576.073	28.87970
580.096	28.80950
582.107	28.82170
584.115	28.87970
586.126	28.84910
588.137	28.86440
590.148	28.83690
592.159	28.89190
594.170	28.90710
596.178	28.89190
598.189	28.82170
600.200	28.89190
602.209	28.86440
604.220	28.90710
606.236	28.79420
608.239	28.83690
610.250	28.79420
612.261	28.89190
614.270	28.86440
616.281	28.82170
618.292	28.87970
622.311	28.83690
624.320	28.82170
626.331	28.80950
628.342	28.89190
630.353	28.83690
632.364	28.79420
634.372	28.82170
636.383	28.90710
638.394	28.87970
640.405	28.80950
642.414	28.87970
646.436	28.82170
650.458	28.79420
652.466	28.89190
654.477	28.86440
656.488	28.80950
