Elapsed time [s]	Value [0,2500]
0.000	0.2938000
0.285	0.2563000
2.386	0.2771000
4.487	0.2542000
6.586	0.2500000
8.687	0.3208000
10.788	0.2417000
14.988	0.2729000
17.089	0.2313000
21.294	0.2583000
23.393	0.2125000
25.491	0.2813000
27.592	0.2313000
29.693	0.2604000
31.794	0.2021000
33.898	0.2292000
35.997	0.2417000
38.098	0.2458000
40.196	0.2854000
42.298	0.2458000
44.401	0.2188000
46.497	0.2104000
48.598	0.2333000
50.700	0.3146000
52.801	0.2917000
54.904	0.2667000
57.000	0.2146000
59.104	0.2542000
61.203	0.2146000
63.306	0.2750000
65.402	0.2688000
67.503	0.2604000
69.610	0.2646000
71.706	0.2458000
73.807	0.2646000
75.905	0.2958000
78.007	0.2271000
80.108	0.2292000
82.209	0.2458000
84.307	0.2667000
86.409	0.1896000
88.512	0.2750000
90.613	0.2271000
92.712	0.2063000
94.816	0.2271000
96.914	0.2208000
99.013	0.2500000
101.114	0.2313000
103.215	0.2271000
105.321	0.2396000
107.415	0.2771000
109.516	0.3083000
111.617	0.2500000
113.716	0.2354000
115.817	0.2646000
117.918	0.2479000
120.047	0.2417000
122.123	0.2542000
124.219	0.2292000
126.320	0.2521000
128.421	0.2458000
130.522	0.2479000
132.623	0.2396000
134.722	0.2521000
136.825	0.2500000
138.924	0.2583000
141.025	0.2500000
143.124	0.2021000
145.225	0.2125000
147.331	0.2438000
149.427	0.3208000
151.526	0.2375000
153.632	0.2729000
155.728	0.2375000
157.829	0.2646000
159.930	0.2354000
162.031	0.2708000
164.135	0.2042000
166.231	0.2208000
168.332	0.2771000
170.436	0.2125000
172.532	0.2313000
174.633	0.1813000
176.734	0.2167000
178.833	0.2583000
180.934	0.1979000
183.040	0.2417000
185.136	0.1229000
187.240	0.2167000
189.341	0.2417000
191.442	0.2333000
193.543	0.2708000
195.642	0.2604000
197.743	0.2958000
199.844	0.2396000
201.943	0.2583000
204.044	0.2208000
206.145	0.2583000
208.246	0.2438000
210.347	0.2000000
212.446	0.2563000
214.547	0.2542000
216.658	0.2000000
218.754	0.2521000
220.848	0.2625000
222.949	0.1938000
225.050	0.2813000
227.151	0.2542000
229.252	0.2875000
231.356	0.2458000
233.452	0.2917000
235.553	0.2958000
237.654	0.1521000
239.755	0.2563000
241.854	0.1750000
243.960	0.2479000
246.059	0.2021000
250.264	0.2125000
252.362	0.2458000
254.458	0.2167000
256.557	0.2813000
258.658	0.2729000
260.759	0.2521000
262.860	0.1708000
264.961	0.2500000
267.060	0.2688000
269.161	0.2479000
271.262	0.1917000
273.363	0.2417000
275.464	0.2729000
277.568	0.2563000
279.664	0.2500000
281.765	0.2813000
283.866	0.2667000
285.967	0.2771000
288.066	0.2188000
290.167	0.2083000
292.268	0.2333000
294.369	0.2292000
296.468	0.1896000
298.569	0.2438000
300.673	0.1792000
302.774	0.2083000
304.878	0.2313000
306.971	0.2354000
309.077	0.1771000
311.176	0.2250000
313.275	0.2396000
315.378	0.2375000
317.479	0.2125000
321.676	0.1771000
323.783	0.2333000
325.881	0.2750000
327.982	0.2167000
330.078	0.2146000
332.180	0.2458000
334.281	0.2625000
336.379	0.1958000
338.480	0.2125000
340.582	0.2646000
342.683	0.2458000
344.786	0.2271000
346.888	0.2792000
348.986	0.2271000
351.085	0.2708000
353.186	0.2146000
355.295	0.2833000
357.385	0.2729000
359.489	0.2229000
361.590	0.2563000
363.691	0.2250000
365.787	0.3167000
367.891	0.1958000
369.992	0.2208000
372.093	0.2563000
374.195	0.2458000
376.293	0.2354000
378.394	0.2125000
380.495	0.2271000
382.597	0.2188000
384.695	0.2042000
386.796	0.2646000
388.897	0.2229000
390.998	0.2167000
393.100	0.2458000
395.198	0.2729000
397.302	0.2313000
399.400	0.2438000
401.502	0.2000000
403.600	0.2708000
405.701	0.1979000
407.802	0.3188000
409.904	0.2396000
412.005	0.2583000
414.103	0.3146000
416.204	0.2313000
418.306	0.2208000
420.407	0.2083000
422.508	0.2333000
424.606	0.2438000
426.707	0.3250000
428.809	0.1750000
430.910	0.2500000
433.011	0.3083000
435.109	0.2542000
437.211	0.2792000
439.312	0.1979000
441.413	0.3021000
443.511	0.2438000
445.613	0.2188000
447.719	0.2021000
449.825	0.2083000
451.916	0.2146000
454.015	0.2042000
456.116	0.2667000
458.217	0.2146000
460.318	0.1875000
462.419	0.2292000
464.518	0.2146000
466.619	0.2646000
468.720	0.2479000
470.821	0.2271000
472.920	0.2000000
475.021	0.2188000
477.127	0.2542000
479.223	0.2521000
481.324	0.2167000
483.423	0.1938000
485.524	0.2479000
487.625	0.2354000
489.726	0.2375000
491.827	0.2188000
493.926	0.2333000
496.027	0.1979000
498.128	0.1875000
500.229	0.2354000
502.328	0.2646000
504.429	0.2104000
506.530	0.2063000
508.631	0.2354000
510.730	0.1854000
512.831	0.2521000
514.932	0.2021000
517.033	0.2521000
519.134	0.2000000
521.235	0.2583000
523.334	0.2292000
525.435	0.2688000
527.536	0.2792000
529.635	0.3125000
531.736	0.2479000
533.837	0.2104000
535.938	0.2813000
538.037	0.2500000
540.138	0.2896000
542.239	0.2271000
544.340	0.2104000
546.441	0.2229000
548.545	0.1979000
550.651	0.3042000
552.742	0.2208000
554.848	0.2542000
556.944	0.2083000
559.043	0.2208000
561.144	0.2854000
563.245	0.2458000
565.346	0.2792000
567.445	0.2688000
569.546	0.2083000
571.647	0.2250000
573.748	0.2292000
575.849	0.2625000
577.948	0.2667000
580.054	0.2167000
582.155	0.2604000
584.251	0.2354000
586.353	0.2000000
588.451	0.2750000
590.555	0.2417000
592.653	0.2813000
594.755	0.2146000
596.853	0.2938000
598.954	0.2729000
601.055	0.1979000
603.157	0.1938000
605.258	0.2167000
607.356	0.2667000
609.457	0.2646000
611.558	0.2521000
613.660	0.2542000
615.761	0.2500000
617.859	0.2333000
619.960	0.2313000
622.062	0.3000000
624.165	0.2771000
626.261	0.2333000
628.362	0.2688000
630.466	0.2500000
632.565	0.2479000
634.666	0.2646000
636.764	0.2354000
638.866	0.2542000
640.967	0.2708000
643.068	0.2417000
645.169	0.2688000
647.267	0.2896000
649.369	0.1875000
651.470	0.2229000
653.571	0.2521000
655.669	0.2167000
657.771	0.2333000
659.872	0.2271000
661.973	0.2313000
664.074	0.2188000
666.173	0.3021000
668.274	0.2458000
670.375	0.2313000
672.479	0.2333000
674.577	0.2896000
676.676	0.2167000
678.777	0.3021000
680.878	0.2542000
682.987	0.2396000
685.080	0.2500000
687.179	0.2229000
689.280	0.2688000
691.381	0.2292000
693.482	0.2063000
695.581	0.3208000
697.682	0.2125000
699.786	0.2292000
701.884	0.1750000
703.985	0.2750000
706.084	0.2167000
708.198	0.2313000
710.289	0.2417000
712.390	0.2729000
714.491	0.2625000
716.587	0.2229000
718.688	0.2417000
720.789	0.2438000
722.890	0.2042000
724.989	0.2271000
727.090	0.2521000
729.191	0.3063000
731.292	0.2063000
733.391	0.2583000
735.492	0.2521000
737.593	0.2625000
739.694	0.2604000
741.793	0.2000000
743.897	0.1792000
745.995	0.2438000
748.096	0.2500000
750.202	0.1833000
754.397	0.2750000
756.508	0.2208000
758.599	0.2500000
760.698	0.3375000
762.799	0.2063000
764.900	0.2354000
767.001	0.2396000
769.100	0.1979000
771.201	0.2563000
773.302	0.2250000
775.403	0.2146000
777.507	0.1958000
779.603	0.2250000
781.707	0.2208000
783.805	0.2479000
785.906	0.2417000
788.007	0.2000000
790.106	0.2708000
792.207	0.2604000
794.308	0.2188000
796.409	0.2396000
798.511	0.2917000
800.612	0.2250000
802.710	0.2542000
804.811	0.2583000
806.913	0.2375000
809.011	0.2646000
811.117	0.2333000
813.216	0.2438000
815.315	0.2188000
817.416	0.2063000
819.517	0.2875000
821.615	0.2896000
823.716	0.2396000
827.919	0.2563000
830.028	0.2333000
832.118	0.2042000
834.220	0.2771000
836.321	0.2729000
838.424	0.2813000
840.520	0.2250000
842.622	0.2646000
844.723	0.3000000
846.824	0.2833000
848.922	0.2938000
851.024	0.2125000
853.125	0.2771000
855.226	0.2167000
857.327	0.2333000
859.425	0.1938000
861.527	0.2292000
863.628	0.2188000
865.729	0.2583000
867.827	0.1875000
869.934	0.2396000
872.030	0.2188000
874.131	0.2417000
876.232	0.2521000
878.331	0.2208000
880.437	0.2583000
882.538	0.1688000
884.634	0.2729000
886.735	0.1604000
888.836	0.1979000
890.935	0.1875000
893.036	0.2146000
895.137	0.2563000
897.238	0.3333000
899.337	0.2063000
901.438	0.2479000
903.539	0.2833000
905.640	0.2563000
907.739	0.2354000
909.845	0.1917000
911.941	0.2958000
914.042	0.2417000
916.143	0.2625000
918.250	0.2375000
920.348	0.2583000
922.449	0.3250000
924.545	0.2083000
926.644	0.2000000
928.745	0.2063000
930.846	0.2854000
932.947	0.2292000
935.069	0.2250000
937.147	0.2188000
939.248	0.2979000
941.349	0.2813000
943.448	0.2583000
945.551	0.1917000
947.650	0.2333000
949.756	0.2479000
951.855	0.2250000
953.953	0.2208000
956.052	0.2396000
958.153	0.2479000
960.254	0.2729000
962.363	0.2188000
964.454	0.2604000
966.555	0.2375000
968.656	0.2021000
970.757	0.2438000
972.856	0.2583000
974.957	0.2792000
977.058	0.2979000
979.159	0.2479000
981.260	0.2125000
983.359	0.2813000
985.460	0.2583000
987.561	0.2417000
989.662	0.2271000
991.761	0.2208000
993.862	0.2042000
995.968	0.2292000
998.064	0.2667000
1000.168	0.2813000
1002.269	0.2250000
1004.365	0.2042000
1006.469	0.2292000
1008.570	0.2396000
1010.669	0.2146000
1012.772	0.2021000
1014.868	0.2333000
1016.969	0.2708000
1019.071	0.2563000
1021.169	0.2958000
1023.278	0.2833000
1025.377	0.2479000
1027.473	0.2521000
1029.574	0.2708000
1031.675	0.2250000
1033.773	0.2708000
1035.874	0.2208000
1037.976	0.2354000
1040.077	0.1771000
1042.175	0.2104000
1044.276	0.2479000
1046.378	0.2083000
1048.479	0.2313000
1050.582	0.2958000
1052.678	0.2354000
1054.785	0.3271000
1056.881	0.1958000
1058.987	0.2125000
1061.080	0.2208000
1063.182	0.2042000
1065.288	0.2667000
1067.384	0.2146000
1069.485	0.2500000
1071.583	0.2396000
1073.685	0.2333000
1075.786	0.2625000
1077.887	0.1917000
1079.988	0.2792000
1084.188	0.2292000
1086.289	0.2729000
1088.390	0.2417000
1090.491	0.2479000
1094.691	0.2667000
1096.792	0.2292000
1098.893	0.2958000
1100.994	0.2438000
1103.098	0.2646000
1105.199	0.2417000
1107.295	0.2521000
1109.399	0.3208000
1111.500	0.2521000
1113.596	0.2333000
1115.697	0.2542000
1117.798	0.2083000
1119.899	0.1896000
1121.998	0.2063000
1124.099	0.2750000
1126.200	0.2542000
1128.335	0.2604000
1130.402	0.1958000
1132.501	0.2625000
1134.602	0.2729000
1136.703	0.2500000
1138.804	0.2063000
1140.906	0.2938000
1143.004	0.2396000
1147.206	0.2875000
1149.305	0.2250000
1151.409	0.2521000
1155.608	0.1896000
1157.709	0.2250000
1159.811	0.2375000
1161.914	0.2271000
1164.010	0.2313000
1166.111	0.2458000
1168.215	0.2479000
1170.316	0.1854000
1172.415	0.2396000
1174.513	0.2813000
1176.615	0.2729000
1178.716	0.2292000
1180.817	0.2146000
1182.915	0.2688000
1185.016	0.2438000
1187.118	0.2208000
1189.219	0.1625000
1191.320	0.2313000
1193.421	0.2813000
1195.520	0.2271000
1197.621	0.2813000
1199.722	0.2688000
1201.823	0.2771000
1203.922	0.1854000
1206.025	0.2500000
1208.124	0.2396000
1210.225	0.2458000
1212.326	0.2542000
1214.425	0.2604000
1216.528	0.2375000
1218.627	0.2750000
1220.725	0.1708000
1222.827	0.2646000
