Elapsed time [s]	Value [0,2500]
0.000	46.92490
1.034	46.50320
3.133	46.51670
5.175	46.49190
7.194	46.26370
9.292	46.28640
11.373	46.22200
13.453	46.41590
15.495	46.21590
17.558	46.11790
19.636	46.19710
21.716	45.92500
23.776	46.03800
25.857	46.10370
27.899	46.21500
29.997	46.03980
32.060	45.90230
34.099	45.70420
36.141	45.90540
38.221	46.01030
40.320	45.75290
42.403	45.80670
44.463	45.89600
46.572	45.79430
48.632	45.89880
50.671	45.79120
52.734	45.53820
54.794	45.68930
56.833	45.56700
58.914	45.68910
60.973	45.70970
63.054	45.62500
65.096	45.43250
67.138	45.41700
69.216	45.70270
71.258	45.45240
73.276	45.58920
75.360	45.53160
77.396	45.44690
79.441	45.23060
81.478	45.30600
83.545	45.38110
87.737	45.28750
89.802	45.38610
91.860	45.31260
93.904	45.20990
95.959	45.27000
98.039	45.02560
100.099	44.96630
102.141	44.91650
104.222	44.97320
106.313	44.96540
108.411	44.93690
110.471	45.02180
112.536	44.97870
114.573	44.89440
116.612	45.02550
118.693	45.23800
120.732	46.05510
122.774	47.75640
124.834	50.32040
126.876	54.55720
128.954	60.44080
131.035	67.49570
133.056	75.41660
135.095	81.85390
137.181	87.49500
139.197	91.55740
141.278	94.78750
143.340	97.64560
145.397	99.57670
147.437	101.4420
149.522	103.2710
151.580	105.3860
153.619	107.4990
155.658	110.0380
157.680	112.3800
159.740	115.6800
161.823	118.6840
163.901	122.3220
165.943	125.8510
168.013	129.3550
170.083	132.8100
172.125	136.2640
174.190	139.4860
176.230	142.7930
178.266	145.9040
180.329	148.9070
182.376	152.3540
184.410	155.6450
186.452	159.1180
188.538	162.7700
190.577	166.2070
192.673	169.6470
194.715	173.0610
196.795	176.5940
198.858	179.9310
200.900	182.8340
202.978	186.3810
205.038	190.1090
207.118	193.4060
209.158	196.7190
211.200	200.1920
213.257	203.5380
215.278	207.0950
217.320	210.4890
219.365	213.6440
221.445	217.0780
223.533	220.5150
225.596	224.0750
227.656	227.6640
229.749	231.1700
231.791	234.2860
233.890	237.8100
235.932	241.2050
237.950	244.6640
240.031	248.0770
242.114	251.1010
244.174	253.6040
246.234	255.8560
248.273	257.3840
250.395	258.8840
252.455	259.9780
254.515	261.0910
256.557	261.9390
258.637	262.8040
260.718	263.6230
262.778	264.1570
264.820	264.7700
266.880	265.2830
268.940	265.6680
270.981	266.1030
273.039	266.3740
275.099	266.8560
277.202	267.3400
279.242	267.5400
281.284	267.8620
283.382	268.0890
285.445	268.2550
287.484	268.3940
289.544	268.5850
291.604	268.5460
295.726	268.9600
297.807	268.8360
301.927	268.7340
303.987	268.6910
306.067	268.4880
308.148	268.1990
310.249	267.9670
312.330	268.0050
316.470	267.6600
318.512	267.3050
320.572	267.1230
322.652	266.9560
324.733	266.5530
326.813	266.3540
328.894	265.9550
330.975	265.8550
333.034	265.4910
335.074	265.1410
337.134	264.8340
339.155	264.4970
341.215	263.9740
343.311	263.7260
345.304	263.2530
347.377	262.8350
349.416	262.3830
351.497	261.8700
353.518	261.5300
355.562	260.9840
357.617	260.6690
359.639	260.2770
361.698	259.8000
363.738	259.4540
365.798	259.0910
367.860	258.8320
369.979	259.4880
372.039	261.5490
374.120	264.8240
376.188	269.4630
378.229	275.2780
380.305	280.7750
382.383	285.5960
384.507	289.9540
386.567	293.3770
388.642	296.5340
390.705	300.0260
392.783	304.1490
394.845	308.2570
396.885	312.2460
398.906	316.5200
400.945	320.1840
403.005	323.9090
405.117	327.6020
407.154	330.7090
409.229	333.9710
411.325	337.7640
413.405	341.9470
415.486	345.7750
417.567	349.3940
419.608	352.8830
421.668	356.0320
423.749	359.3110
425.829	362.6930
427.869	366.5180
429.908	370.0430
431.973	373.9410
434.051	377.2430
436.111	380.5810
438.192	384.0310
440.210	387.2560
442.275	390.7670
444.292	394.2310
446.354	397.8760
448.393	401.1520
450.435	404.5860
452.475	407.7540
454.517	411.1020
