Elapsed time [s]	Value [0,100]
0.000	0
114.730	100.0000
127.056	94.99800
129.114	71.31640
131.176	40.12930
133.236	13.89240
135.317	5.626700
137.379	4.503320
139.460	10.68990
141.499	16.00380
143.518	18.41740
145.560	30.81930
147.620	34.33830
149.661	42.46770
151.721	41.87030
153.761	45.70460
155.841	47.89900
157.883	47.21850
159.943	45.71400
162.003	45.06070
164.104	41.50060
166.144	40.20210
168.224	37.56130
170.305	39.19800
172.367	38.29710
174.386	40.74230
176.466	41.20600
178.516	42.89320
180.548	44.01130
182.569	41.93310
184.626	41.64470
186.689	40.02770
188.749	39.90150
190.788	34.93040
192.848	39.67820
194.890	41.43650
196.929	36.34430
198.971	41.08650
201.018	44.12480
203.078	41.02120
205.156	38.18400
207.219	40.82600
209.317	39.08930
211.359	40.45410
213.398	40.61050
215.440	36.69520
217.500	41.15110
219.581	40.92000
221.623	41.79290
223.683	40.81410
225.722	38.84730
227.813	38.50360
229.857	39.13510
231.894	41.43050
233.990	39.60240
236.029	38.99330
238.089	29.35590
240.170	15.20850
242.250	4.485410
244.292	0
359.937	4.020450
361.979	20.45290
364.018	38.22680
366.140	58.87680
368.182	71.34400
370.242	80.14840
372.261	75.64750
374.341	70.44900
376.422	55.75870
378.464	38.12960
380.503	32.63240
382.563	35.92530
384.662	42.34000
386.742	48.82630
388.802	54.94820
390.844	54.87900
392.904	47.59330
394.964	46.69090
396.985	43.14830
399.004	40.30280
401.126	42.11070
403.227	44.89420
405.266	44.33050
407.326	48.97170
409.409	50.19890
411.487	43.82760
413.526	40.37060
415.607	40.05920
417.688	42.50200
419.727	45.46040
421.769	47.50350
423.847	48.34220
425.948	48.46010
428.010	43.24160
430.070	41.07620
432.112	40.68620
434.231	45.32310
436.250	47.10770
438.313	46.99020
440.352	47.13200
442.391	46.28840
444.451	44.77160
446.514	43.61150
448.533	45.39390
450.592	44.95190
452.652	46.93190
454.715	46.84790
456.754	45.09340
458.794	42.16650
460.874	44.55650
462.916	43.49740
464.976	47.51180
467.077	46.46090
469.140	48.57740
471.236	48.51280
473.298	46.13380
475.358	46.36050
477.418	45.17660
479.457	44.07070
481.499	49.46100
483.598	49.51600
485.678	50.84610
487.720	46.16000
489.760	44.12590
491.840	48.13890
493.921	46.74660
495.963	48.61580
498.020	49.99680
500.082	50.87000
502.142	49.46230
504.202	46.22640
506.262	45.49470
508.304	49.55640
510.382	50.10490
512.406	52.72800
514.487	53.87890
516.588	51.45700
518.627	47.16490
520.669	47.23860
522.749	48.93940
524.809	53.26070
526.849	57.60810
528.929	49.45170
531.028	51.98500
533.067	51.66860
535.207	50.64670
537.228	51.47470
539.270	53.34980
541.351	51.93880
543.408	53.34460
545.471	52.09780
547.510	53.29990
549.549	51.09890
551.609	52.50210
553.672	52.15750
555.732	54.30640
557.771	53.56290
559.833	54.80750
561.893	58.51830
563.933	54.29840
565.975	49.98510
568.035	52.85290
570.115	57.77190
572.134	58.29380
574.196	60.49790
576.295	56.04810
578.378	52.61640
580.456	52.39340
582.498	44.91870
584.517	37.20930
586.579	38.83950
588.709	38.30800
590.807	40.80100
592.849	44.60630
594.909	40.49140
596.951	40.33940
599.029	39.43690
601.089	41.97480
603.151	42.19400
605.191	42.13090
607.251	42.52800
609.272	39.36860
611.293	41.59090
613.353	40.92770
615.413	41.79190
617.476	42.44080
619.533	46.64540
621.616	45.65000
623.676	41.79290
625.715	39.78810
627.788	40.91830
629.851	41.95270
631.890	44.22630
633.991	45.12450
636.049	43.68360
638.093	41.81460
640.189	41.48620
642.270	39.00200
644.391	43.24620
646.431	44.55490
648.550	45.27950
650.571	42.28920
652.610	44.60120
654.673	39.70580
656.712	40.28060
658.775	43.75290
660.796	43.67300
662.835	46.00170
664.916	45.76770
666.937	42.53770
669.018	38.00650
671.057	42.79470
673.099	45.42390
675.138	46.33240
677.178	41.64380
679.258	43.24090
681.318	42.28040
683.340	42.37080
685.402	42.90820
687.459	41.16740
689.506	38.32110
691.587	44.42210
693.647	48.68070
695.689	44.02760
697.749	40.76690
699.814	40.65050
701.889	39.42700
703.954	41.46940
706.009	44.29590
708.051	44.31760
710.160	42.19180
712.318	40.73560
714.380	40.03020
716.440	40.45310
718.482	42.64840
720.501	44.62470
722.543	44.76660
724.564	43.56420
726.624	41.79150
728.702	38.79180
730.764	41.92610
732.824	43.19210
734.866	44.60540
736.929	44.80510
738.989	44.60060
741.049	43.62470
743.109	41.12290
745.189	39.66700
747.228	38.48580
749.350	43.39590
751.392	45.65650
753.431	43.48630
755.491	44.35820
757.590	40.70350
759.652	39.02930
761.733	42.45180
763.793	42.24680
765.879	46.73390
767.918	46.71740
770.019	42.17250
772.100	41.41000
774.142	39.70190
776.168	40.07740
778.223	41.31950
780.280	43.96870
782.322	45.18030
784.367	44.72590
786.383	41.94620
788.425	41.11520
790.485	41.01000
792.547	42.55990
794.625	44.76680
796.667	44.61260
798.747	45.80650
800.789	41.96760
802.870	39.62260
804.930	40.08020
806.990	41.81110
809.032	43.08620
811.141	42.51030
813.221	43.79280
815.271	44.90340
817.300	42.09640
819.362	40.91920
821.430	40.72110
823.482	37.59410
825.542	41.99040
827.690	42.48310
829.750	46.10790
831.840	44.26050
833.921	44.05980
835.950	41.48410
837.966	39.25190
840.003	38.54390
842.024	41.88100
844.105	46.38460
846.144	44.24180
848.225	42.60810
850.290	39.88860
852.350	40.83640
854.389	36.17560
856.485	41.04890
858.545	45.00240
860.625	45.63050
862.667	45.68950
864.784	43.48640
866.826	42.45900
868.886	39.36610
870.948	38.28820
872.988	39.52010
875.050	44.62320
877.089	47.46510
879.152	47.14400
881.310	43.34190
883.349	41.67480
885.391	41.89760
887.492	41.34450
889.591	42.40110
891.653	44.56360
893.721	44.70320
895.781	44.11530
897.841	42.44990
899.903	42.40620
901.943	40.43360
903.964	45.09820
906.003	43.17130
908.045	41.53810
910.115	42.26190
912.196	42.98730
914.238	41.16990
916.277	43.23830
918.335	45.25080
920.384	45.44860
922.483	42.41770
924.535	41.28430
926.574	41.29300
928.616	42.78080
930.656	41.58220
932.695	42.58490
934.775	46.08020
936.815	46.54720
938.836	41.47470
940.937	40.45130
942.997	38.69070
945.132	38.52970
947.148	40.98360
949.267	46.84150
951.353	45.02650
953.426	43.71830
955.534	40.58060
957.594	41.94380
959.636	40.92710
961.717	43.43670
963.797	43.94240
965.857	46.34380
967.917	43.61620
969.977	41.41350
972.060	41.42830
974.100	41.00060
976.160	43.47730
978.181	42.06370
980.282	44.59260
982.321	45.27350
984.363	43.85140
986.423	40.43220
988.465	39.15330
990.540	40.76490
992.603	43.86450
994.663	46.66120
996.723	44.69430
998.783	39.34610
1000.884	39.58380
1002.944	44.01310
1004.975	42.92600
1007.043	44.68650
1009.111	45.54320
1011.253	42.09560
1013.336	42.49000
1015.396	42.41020
1017.435	43.06500
1019.454	43.25180
1021.535	43.07160
1023.597	43.09660
1025.696	45.10840
1027.717	43.88710
1029.777	39.97210
1031.798	39.33640
1033.900	41.64850
1035.959	44.65260
1038.061	44.62640
1040.100	44.47460
1042.142	44.03090
1044.181	40.77460
1046.221	39.24060
1048.368	42.26690
1050.389	42.61050
1052.470	41.61510
1054.550	45.12240
1056.592	45.84680
1058.632	42.20700
1060.697	39.09110
1062.739	39.40140
1064.894	41.37200
1066.933	46.06890
1069.052	46.27590
1071.174	45.97360
1073.275	39.98870
1075.335	37.97190
1077.377	36.71110
1079.437	43.15480
1081.497	45.06130
1083.577	45.45580
1085.658	43.71720
1087.718	39.01700
1089.778	40.17290
1091.838	40.85610
1093.918	43.72220
1095.999	45.96150
1098.041	40.98640
1100.080	43.40350
1102.122	40.78910
1104.161	41.65170
1106.180	40.78620
1108.201	41.55240
1110.261	43.65810
1112.283	43.68620
1114.322	43.18580
1116.364	41.19940
1118.385	44.86290
1120.463	43.06560
1122.523	40.68350
1124.544	41.77190
1126.625	43.18300
1128.734	47.00360
1130.835	44.33920
1132.895	41.00820
1134.934	40.17420
1136.994	40.43550
1139.036	41.42900
1141.096	44.40990
1143.159	45.26240
1145.219	44.73520
1147.258	41.97520
1149.338	40.39940
1151.398	43.02560
1153.420	42.18780
1155.482	44.68040
1157.521	44.84480
1159.602	43.56730
1161.683	41.84130
1163.742	41.45910
1165.782	40.75720
1167.824	41.81400
1169.842	44.83710
1171.902	43.56400
1173.924	45.74720
1175.984	42.31950
1178.064	40.70430
1180.145	41.45570
1182.205	40.41810
1184.244	45.53690
1186.307	43.42940
1188.346	47.65390
1190.447	45.27270
1192.507	41.93100
1194.549	37.12930
1196.588	38.60380
1198.669	43.23220
1200.690	44.49030
1202.711	46.25410
1204.771	45.99200
1206.849	42.60440
1208.891	39.66480
1210.951	39.10010
1212.993	40.24840
1215.094	46.70100
1217.133	43.65550
1219.173	43.28750
1221.215	45.77280
1223.295	40.75910
1225.355	41.65370
1227.464	39.49870
1229.503	44.42950
1231.625	47.90480
1233.726	43.11730
1235.866	42.65090
1237.929	42.37160
1239.968	40.31480
1242.007	42.16940
1244.070	42.72180
1246.109	42.76580
1248.169	44.29970
1250.211	47.97220
1252.356	44.58190
1254.416	40.11340
1256.476	39.54170
1258.518	41.58030
1260.557	46.36370
1262.578	44.48430
1264.638	44.62020
1266.680	43.94070
1268.699	39.34410
1270.800	40.87010
1272.878	39.13280
1274.920	41.06180
1276.941	42.55350
1279.019	46.56540
1281.061	46.14700
1283.170	39.71000
1285.212	41.47060
1287.292	38.03580
1289.332	40.64750
1291.433	45.74410
1293.475	47.15600
1295.573	42.66100
1297.613	40.43210
1299.732	37.30140
1301.774	40.76460
1303.813	40.66230
1305.888	45.61320
1308.013	44.49300
1310.093	43.99830
1312.174	41.13020
1314.216	40.39610
1316.314	40.99890
1318.395	41.98790
