Elapsed time [s]	Value [0,2500]
0.000	0
114.653	46.05710
116.731	49.54040
118.814	53.02380
120.874	56.50710
122.895	59.80710
124.935	63.29050
126.974	66.59050
129.057	70.07390
131.135	73.55720
133.197	77.04060
135.257	80.52390
137.317	83.82390
139.377	87.30730
141.437	90.79060
143.479	94.09070
145.518	97.57400
147.560	100.8740
149.620	104.3570
151.680	107.8410
153.722	111.1410
155.761	114.6240
157.842	118.1070
159.902	121.5910
161.941	124.8910
164.063	128.3740
166.123	131.8580
168.183	135.3410
170.266	138.8240
172.287	142.1240
174.347	145.6080
176.407	149.0910
178.447	152.3910
180.486	155.8740
182.528	159.1740
184.588	162.6580
186.648	166.1410
188.687	169.4410
190.747	172.9240
192.789	176.4080
194.828	179.7080
196.849	183.1910
198.917	186.4910
200.977	189.9750
203.019	193.4580
205.097	196.7580
207.157	200.2410
209.237	203.7250
211.279	207.2080
213.298	210.5080
215.379	213.9910
217.418	217.2910
219.480	220.7750
221.540	224.2580
223.600	227.7410
225.681	231.2250
227.702	234.5250
229.808	238.0080
231.848	241.4910
233.949	244.9750
235.991	248.2750
238.051	250.0000
359.834	260.7950
361.894	264.2780
363.934	267.5780
365.973	271.0610
368.015	274.5440
370.054	277.8440
372.106	281.3270
374.207	284.8100
376.239	288.1090
378.340	291.7760
380.400	295.0760
382.460	298.5590
384.582	302.0420
386.642	305.5250
388.684	309.0080
390.746	312.3070
392.824	315.7910
394.884	319.2740
396.926	322.7570
398.965	326.0560
401.087	329.5390
403.126	333.0230
405.168	336.3220
407.228	339.8050
409.309	343.2880
411.387	346.7710
413.485	350.2550
415.527	353.7380
417.608	357.2210
419.688	360.5200
421.728	364.0030
423.788	367.4870
425.909	370.9700
427.969	374.4530
430.011	377.7520
432.071	381.2350
434.131	384.7190
436.150	388.0180
438.251	391.5010
440.311	394.9840
442.332	398.2840
444.392	401.7670
446.452	405.2500
448.473	408.5500
450.513	412.0330
452.552	415.3330
454.612	418.8160
456.633	422.1160
458.696	425.5990
460.776	429.0820
462.818	432.3820
464.899	435.8650
467.018	439.5310
469.060	442.8310
471.176	446.4970
473.236	449.7970
475.278	453.2800
477.318	456.5800
479.419	460.2460
481.479	463.5460
483.559	467.0290
485.619	470.5120
487.679	473.9950
489.721	477.2950
491.781	480.7780
493.820	484.0770
495.883	487.5610
497.963	491.0440
500.000	494.5270
502.042	497.8260
504.104	501.3090
506.164	504.7930
508.206	508.0920
510.284	511.5750
512.385	515.0590
514.466	518.5430
516.546	522.0260
518.588	525.5100
520.628	528.8100
522.690	532.2940
524.750	535.7770
526.810	539.0780
528.870	542.5610
530.966	546.0450
533.026	549.5290
535.127	553.0120
537.169	556.4960
539.229	559.7960
541.289	563.2800
543.328	566.5800
545.370	570.0640
547.409	573.5470
549.490	577.0310
551.529	580.3310
553.571	583.8150
555.631	587.1150
557.712	590.5990
559.774	594.0830
561.793	597.3830
563.853	600.8670
565.895	604.3500
567.955	607.6500
