Elapsed time [s]	Value [0,100]
0.000	0.2762430
238.362	97.85620
240.515	84.26000
242.665	70.04310
244.815	55.81860
246.965	41.60180
249.115	27.16390
251.265	12.93380
253.418	98.16380
255.568	83.94690
257.718	69.72080
259.868	55.50340
262.018	41.06210
264.171	26.83510
266.321	12.61880
268.471	97.84530
270.624	83.62180
272.771	69.40530
274.921	54.96230
277.074	40.74170
279.224	26.52310
281.374	12.29810
283.524	97.52530
285.674	83.30960
287.824	68.86630
289.974	54.64510
292.127	40.42610
294.277	26.20000
296.427	11.98200
298.579	96.99050
300.729	82.76570
302.880	68.54810
305.032	54.32740
307.182	40.10430
309.335	25.88510
311.485	11.44620
313.635	96.67200
315.788	82.45240
317.938	68.23060
320.088	54.00910
322.238	39.78990
324.390	25.34640
326.538	11.12590
328.691	96.35450
330.841	82.13180
332.991	67.91000
335.141	53.69500
337.291	39.24720
339.441	25.03060
341.593	10.81130
343.744	96.03530
345.894	81.81360
348.049	67.59550
350.194	53.15140
352.346	38.93460
354.496	24.71200
356.646	10.48860
358.804	95.50020
360.954	81.27810
363.107	67.05550
365.257	52.83800
367.410	38.61110
369.560	24.39140
371.710	9.956350
373.860	95.17880
376.012	80.95630
378.163	66.74210
380.318	52.51270
382.463	38.29770
384.613	23.86120
386.763	9.633440
388.913	94.86220
391.063	80.64370
393.215	66.41750
395.366	51.97800
397.516	37.76060
399.666	23.53410
401.816	9.317200
403.968	94.54490
406.118	80.32030
408.268	66.10300
410.419	51.66080
412.571	37.43890
414.721	23.22270
416.871	8.999750
419.024	94.22440
421.174	79.78750
423.324	65.56480
425.474	51.34390
427.640	37.12690
429.777	22.90010
431.927	8.679390
434.077	93.68840
436.230	79.46670
438.380	65.24530
440.530	51.02660
442.680	36.80040
444.830	22.58240
446.988	8.146100
449.132	93.37010
451.283	79.15100
453.433	64.93060
455.585	50.70490
457.735	36.48890
459.885	22.04580
462.038	7.824280
464.188	93.05330
466.338	78.83080
468.488	64.60900
470.638	50.17130
472.791	35.94710
474.938	21.72650
477.091	7.510350
479.241	92.73180
481.391	78.51130
483.541	64.07620
485.691	49.84850
487.844	35.63270
490.004	21.41180
492.144	7.189620
494.294	92.41570
496.444	77.97790
498.597	63.75370
500.747	49.53540
502.897	35.31170
505.047	21.09020
507.200	6.871920
509.350	91.87720
511.497	77.65650
513.652	63.43890
515.800	49.21210
517.950	34.99470
520.100	20.77480
522.252	6.331590
524.403	91.56090
526.553	77.34420
528.703	63.11610
530.853	48.89940
533.003	34.67850
535.155	20.23250
537.303	6.014870
539.466	91.24390
541.616	77.01910
543.766	62.58050
545.919	48.36250
548.069	34.13660
550.219	19.91930
552.369	5.699850
554.521	90.92150
556.671	76.48490
558.824	62.26440
560.974	48.04100
563.124	33.82410
565.274	19.59850
567.424	5.378510
569.574	90.38840
571.724	76.16530
573.877	61.94410
576.027	47.72560
578.177	33.49900
580.327	19.28130
582.477	4.843280
584.640	90.06700
586.780	75.84680
588.930	61.62950
591.080	47.40460
593.230	33.18640
595.380	18.74610
597.530	4.521940
