Elapsed time [s]	Value [-1,361]
0.000	0
238.172	355.9040
240.322	308.7040
242.474	257.2240
244.622	205.7440
246.775	153.4720
248.927	101.9920
251.075	50.51200
253.225	359.0320
255.375	307.5520
257.527	255.2800
259.678	203.8000
261.828	152.3200
263.978	100.8400
266.128	49.36000
268.278	357.8800
270.428	306.4000
272.580	254.1280
274.731	202.6480
276.883	151.1680
279.031	99.68800
281.183	48.20800
283.333	355.9360
285.483	304.4560
287.633	252.9760
289.784	201.4960
291.936	150.0160
294.086	98.53600
296.236	47.05600
298.389	354.7840
300.539	303.3040
302.689	251.8240
304.842	200.3440
306.997	148.8640
309.142	96.59200
311.294	45.11200
313.447	353.6320
315.597	302.1520
317.747	250.6720
319.897	198.4000
322.047	146.9200
324.197	95.44000
326.347	43.96000
328.497	352.4800
330.650	301.0000
332.800	248.7280
334.950	197.2480
337.100	145.7680
339.250	94.28800
341.408	42.80800
343.553	351.3280
345.703	299.8480
347.853	247.5760
350.003	196.0960
352.153	144.6160
354.311	93.13600
356.464	40.86400
358.614	349.3840
360.764	297.9040
362.924	246.4240
365.066	194.9440
367.219	142.6720
369.372	91.19200
371.519	39.71200
373.669	348.2320
375.819	296.7520
377.972	245.2720
380.119	193.0000
382.272	141.5200
384.422	90.04000
386.585	38.56000
388.722	347.0800
390.872	295.6000
393.025	243.3280
395.175	191.8480
397.325	140.3680
399.483	88.88800
401.625	37.40800
403.778	345.9280
405.928	293.6560
408.078	242.1760
410.228	190.6960
412.381	139.2160
414.531	87.73600
416.681	36.25600
418.833	343.9840
420.983	292.5040
423.134	241.0240
425.284	189.5440
427.436	138.0640
429.586	86.58400
431.741	34.31200
433.886	342.8320
436.036	291.3520
438.186	239.8720
440.339	188.3920
442.489	136.1200
444.639	84.64000
446.792	33.16000
448.942	341.6800
451.092	290.2000
453.242	238.7200
455.392	186.4480
457.545	134.9680
459.695	83.48800
461.845	32.00800
463.995	340.5280
466.148	289.0480
468.298	236.7760
470.468	185.2960
472.598	133.8160
474.748	82.33600
476.898	30.85600
479.050	339.3760
481.203	287.1040
483.351	235.6240
485.503	184.1440
487.651	132.6640
489.801	81.18400
491.951	29.70400
494.116	337.4320
496.254	285.9520
498.409	234.4720
500.554	182.9920
502.706	131.5120
504.856	80.03200
507.006	27.76000
509.156	336.2800
511.307	284.8000
513.459	233.3200
515.609	181.8400
517.759	130.3600
519.907	78.08800
522.059	26.60800
524.212	335.1280
526.362	283.6480
528.512	232.1680
530.662	180.6880
532.815	128.4160
534.965	76.93600
537.125	25.45600
539.275	333.9760
541.425	281.7040
543.578	230.2240
545.728	178.7440
547.881	127.2640
550.028	75.78400
552.178	24.30400
554.336	332.0320
556.481	280.5520
