Elapsed time [s]	Value [0,1500]
0.000	399.9100
1.364	400.0140
3.429	400.0690
5.484	399.9720
11.646	399.8910
13.726	399.9760
15.786	400.0560
17.828	399.9680
19.906	400.0300
30.268	399.9570
32.330	399.9990
36.468	399.9110
40.598	400.0190
46.755	399.9660
50.895	399.9160
56.995	399.9940
63.095	400.0430
65.135	399.9870
69.254	400.0560
71.296	399.9180
73.382	399.9780
77.484	400.0250
83.656	399.9720
96.021	400.0440
110.484	399.9900
112.567	400.0430
124.927	399.9730
133.210	400.0960
135.270	400.0190
137.330	399.9610
139.400	400.0380
141.460	399.9580
143.520	400.0960
145.583	400.0260
157.927	399.9150
159.971	399.9600
162.088	400.0010
164.169	399.9350
170.289	400.0040
174.450	400.0530
176.492	400.0010
194.985	400.0790
197.027	399.9850
205.285	400.0950
207.306	399.9820
211.467	399.8860
215.569	399.9980
229.971	399.9550
246.424	400.0050
248.523	400.1080
250.565	400.0430
254.705	400.0010
256.768	400.0610
258.851	399.9760
260.968	400.0190
263.028	400.1090
265.069	400.0660
267.171	400.0070
269.256	399.9460
271.365	400.0530
273.428	399.9790
277.545	400.0240
279.589	399.9720
281.649	400.0380
283.727	400.0830
287.827	400.0200
291.908	399.9500
293.988	400.0240
296.069	399.9700
308.431	400.0440
312.530	399.9870
316.632	400.1060
318.692	400.0390
333.150	399.9500
335.218	400.0390
337.260	399.9420
341.377	400.0370
343.417	399.9710
351.600	400.0470
355.699	400.0010
359.760	400.0570
361.799	399.9780
365.901	399.9150
367.961	399.9570
369.982	400.0320
376.144	399.9680
380.305	400.0400
386.508	399.9890
394.763	400.0580
396.823	400.0010
405.022	399.9600
407.066	400.0410
413.233	399.9580
423.545	400.0180
425.593	400.0870
427.640	399.9780
435.926	400.0530
440.066	400.0030
442.147	399.9300
448.327	400.0250
452.485	399.9270
454.524	400.0060
460.730	399.9540
462.787	400.0370
468.913	399.9750
481.249	400.0900
485.349	400.0320
487.411	400.0890
489.451	400.0470
491.495	399.9510
497.654	399.9000
499.712	399.9440
501.756	399.9900
503.834	399.9460
507.936	399.9960
510.014	399.9560
516.207	400.0170
530.691	400.0580
532.771	400.0110
534.831	399.9630
538.892	400.0750
542.993	399.9800
549.114	400.0320
551.133	399.9640
553.206	400.0090
557.364	399.9520
561.466	399.9110
565.627	399.9710
569.752	399.9010
571.794	399.9710
575.945	400.0440
582.104	400.0040
590.349	399.9400
594.446	400.0540
602.726	399.9840
604.835	399.9150
608.904	399.9930
613.011	400.0450
619.188	400.0010
627.528	399.9460
631.669	400.0210
633.777	400.0760
637.918	400.0010
650.303	400.0510
652.381	400.0040
654.423	400.0780
658.564	400.0100
664.723	399.8590
666.765	399.9050
668.804	399.9490
672.929	400.0320
677.106	399.9790
679.166	400.0250
685.366	399.9390
693.601	400.0260
695.643	400.0830
699.765	399.9770
701.835	400.1050
703.952	400.0180
712.166	399.9610
718.389	400.0440
724.510	399.9960
726.570	400.0450
736.949	399.9400
739.009	400.0480
745.248	399.9670
747.308	399.9180
749.350	399.9850
763.785	400.0320
765.845	400.0770
769.924	400.0140
774.090	399.9720
778.192	400.0370
780.247	399.9720
782.327	400.0130
784.405	399.9100
788.528	399.9820
792.650	400.0570
794.689	399.9710
798.832	399.9020
802.970	400.0070
805.028	400.0530
821.474	400.0030
825.635	399.8870
827.715	399.9780
850.380	400.0420
862.742	399.9610
868.883	400.0830
870.953	400.0140
873.013	399.9480
887.479	400.0030
895.639	400.0800
899.785	400.0080
901.865	400.0840
905.980	400.0320
908.040	399.9470
910.082	400.0180
916.223	399.9270
922.387	400.0190
924.432	399.9310
926.453	399.9890
930.529	400.0590
932.569	400.1140
934.639	400.1550
936.681	400.0470
942.843	399.9900
944.941	399.9160
947.024	400.0370
951.165	399.9960
953.183	399.9110
955.223	399.9550
959.345	400.0460
961.390	400.0030
963.429	399.9460
965.510	400.0350
967.590	399.9910
969.630	399.9060
973.747	399.9970
977.869	400.0780
979.929	399.9990
982.069	399.9150
986.168	400.0160
992.289	399.9600
998.471	400.0150
1004.592	399.9710
1006.688	400.0470
1014.889	400.0010
1025.132	400.0490
1027.174	399.9580
1029.195	399.8870
1033.356	399.9680
1041.519	399.9000
1045.641	400.0010
1054.017	400.0420
1058.132	399.9420
1060.195	400.0010
1064.335	400.0570
1066.416	399.9970
1068.476	399.9330
1070.536	400.0100
1087.018	400.0560
1089.059	399.9720
1093.138	400.0500
1097.240	399.9770
1099.341	400.0590
1101.401	400.0100
1103.443	400.0720
1105.544	400.0270
1115.872	399.9870
1117.935	399.8950
1124.117	400.0060
1130.276	399.9390
1134.376	400.0020
1138.516	399.9320
1142.638	400.0320
1148.818	400.0800
1152.899	399.9990
1165.352	400.0540
1167.492	399.9860
1169.531	399.9420
1173.674	399.9940
1181.916	400.0500
1183.976	399.9560
1186.036	399.9030
1188.137	399.9550
1192.260	400.0020
1194.296	399.9460
1198.458	400.0140
1210.784	400.0670
1219.013	400.0150
1221.073	400.0710
1223.112	400.1250
1225.152	400.0760
1231.334	400.0060
1235.433	400.0630
1237.493	399.9790
1247.757	399.9140
1253.916	400.0060
1264.239	400.0530
1266.281	399.9670
1270.421	400.0550
1272.502	400.0080
1274.564	400.0590
1278.646	399.9720
1280.724	400.0220
1282.766	399.9590
1295.164	400.0360
1307.469	399.9730
1309.527	400.0400
1311.566	399.9790
1336.154	400.0290
1346.485	399.9660
1348.506	400.0360
1350.566	399.9790
1356.756	400.0370
1358.836	399.9760
1369.221	400.0530
1383.522	399.9680
1391.726	400.0200
1393.809	400.0620
1395.851	400.0050
1397.929	400.0500
1399.968	399.9770
1402.105	400.0320
1406.228	399.8850
1408.324	399.9270
1416.587	400.0270
1424.850	400.0780
1426.892	399.9890
1435.072	400.0600
1437.171	400.0020
1441.273	400.0800
1445.374	399.9860
1451.518	400.0350
1453.573	399.9190
1455.674	399.9600
1461.898	400.0090
1463.958	400.0990
1466.054	400.0030
1474.345	399.9560
1478.449	400.0380
1480.489	399.9960
1484.629	400.0480
1486.668	400.0970
1488.790	399.9880
1494.949	399.9270
1497.071	399.9810
1499.152	400.0750
1501.191	400.0210
1505.311	399.9480
1511.496	400.0560
1513.556	399.9860
1519.736	400.0500
1521.837	400.0040
1523.922	399.9550
1528.017	400.0080
1530.076	400.0710
1534.227	400.0300
1538.404	399.9340
1540.448	399.8860
1544.547	399.9490
1548.693	400.0250
1550.732	400.0980
1552.792	400.0310
1561.078	399.9890
1571.394	400.0600
1573.433	399.9600
1575.513	400.0230
1577.573	399.9390
1581.678	400.0320
1583.717	399.9790
1587.837	400.0480
1589.897	400.1100
1591.936	400.0690
1600.269	400.0090
1602.354	399.9660
1612.597	400.0260
1614.637	399.9790
1618.716	399.8830
1620.755	399.9750
1622.815	400.0210
1624.875	399.9330
1631.013	399.9970
1635.174	400.0540
1637.234	400.0060
1643.399	399.9610
1645.479	400.0070
1651.638	400.0930
1655.722	400.0300
1657.803	399.9700
1670.121	399.9110
1674.272	399.9760
1678.397	400.0320
1680.472	399.9910
1682.532	400.0310
1686.611	399.9820
1690.751	400.0580
1692.796	399.9780
1694.856	400.0210
1705.315	400.0720
1707.355	399.9630
1715.558	400.0210
1736.168	399.9700
1767.077	400.0380
1769.137	399.9640
1771.218	400.0140
1773.288	399.9700
1779.468	400.0510
1781.528	399.9950
1787.646	400.0440
1795.849	399.9790
1797.894	399.9370
1799.949	400.0660
1804.094	400.0070
1806.134	399.9330
1808.173	400.0060
1810.254	400.0630
1812.293	399.9850
1816.351	399.9420
1824.575	400.0450
1826.615	399.9840
1828.716	400.0470
1830.755	400.0050
1832.794	399.9470
1834.854	400.0360
1836.899	399.9910
1843.084	399.8980
1847.204	399.9890
1859.543	400.0460
1873.844	399.9830
1877.969	400.0330
1880.034	400.1170
1884.195	400.0040
1886.255	399.9140
1888.397	399.9650
1892.497	400.0560
1894.515	399.9770
1896.596	400.0430
1898.656	399.9730
1900.674	400.0440
1902.714	399.9590
1906.839	400.0050
1913.029	399.9200
1915.063	399.9970
1923.323	400.0460
1925.419	400.0870
1927.500	399.9760
1929.560	399.8900
1931.646	399.9620
1935.781	400.0540
1937.923	399.9570
1942.028	400.0090
1948.171	399.9500
1950.211	400.0200
1952.255	400.0770
1966.675	399.9330
1968.719	399.9940
1972.798	399.9200
1976.877	399.9850
1980.981	399.8670
1983.062	399.9570
1987.223	400.0000
1991.348	400.0840
1995.483	399.9830
1997.564	399.9240
1999.603	399.9660
2001.653	400.1120
2003.687	399.9990
2005.705	400.0640
2007.765	399.9920
2009.789	400.0420
2020.156	399.9450
2032.480	400.0320
2046.894	399.9140
2048.995	399.9640
2055.154	400.0260
2057.255	399.9570
2061.355	399.9090
2063.415	399.9820
2067.524	399.9390
2071.644	400.0540
2077.958	400.0020
2080.038	400.0490
2084.199	400.0070
2088.299	400.0500
2094.478	400.0020
2096.518	399.9610
2100.622	400.0040
2102.682	400.0820
2104.721	400.0040
2106.802	399.9290
2108.883	399.9710
2110.963	400.0130
2117.107	399.9280
2119.146	400.0070
2121.201	399.9650
2123.282	400.0080
2133.638	399.9600
2135.672	400.0780
2139.776	400.0230
2143.855	399.9630
2150.040	399.8930
2152.105	399.9530
2154.139	400.0040
2156.199	400.0660
2162.359	399.9930
2172.663	400.0350
2174.723	399.9850
2183.025	400.0550
2185.085	400.0040
2187.150	400.0490
2189.189	399.9780
2191.229	399.9380
2193.309	400.0290
2197.413	399.9870
2205.664	400.0540
2207.723	399.9860
2215.984	400.0440
2220.062	399.9840
2224.188	400.0350
2226.247	399.9640
2234.487	400.0490
2236.527	400.1140
2238.586	400.0670
2240.667	400.0070
2248.850	399.9610
2257.054	400.0090
2259.134	399.9600
2263.264	400.0330
2269.398	399.9610
2275.655	400.0160
2279.780	399.9690
2283.879	400.0270
2290.023	399.9530
2292.062	400.0200
2312.765	400.0600
2314.887	399.9940
2325.130	399.9530
