Elapsed time [s]	Value [0,100]
0.000	4.236800
1.691	3.348530
3.733	2.943430
5.814	4.001430
7.933	3.545890
9.954	3.557080
11.993	4.184070
14.015	3.398570
16.075	3.263290
18.114	3.604770
20.156	3.325190
22.195	3.428040
24.317	3.173770
26.338	3.992520
28.398	3.951600
30.448	3.708820
32.608	3.803250
34.647	3.614750
36.689	4.316250
38.749	3.897610
40.830	3.349870
42.952	3.385490
44.994	3.597190
47.113	3.870740
49.155	3.685610
51.235	4.218150
53.274	4.023450
55.334	3.591510
57.397	3.317410
59.475	3.254290
61.555	3.563560
63.595	3.542260
65.616	4.181590
67.697	3.623670
69.777	3.585480
71.837	4.403200
73.897	3.539980
75.939	3.208890
78.017	3.533140
80.108	3.332220
82.147	3.551390
84.256	4.583170
86.357	3.740490
88.399	3.497540
90.480	3.917600
92.519	4.039510
94.561	3.545320
96.639	3.446960
98.701	3.725010
100.720	3.494610
102.762	3.776900
104.783	3.668600
106.828	3.417580
108.888	3.789750
110.927	3.588470
112.987	3.337310
115.029	3.405370
117.145	3.696340
119.208	3.475010
121.291	3.865590
123.330	3.589270
125.457	3.846960
127.491	3.604340
129.531	3.715350
131.601	3.699320
133.633	3.156200
135.693	3.733710
137.732	3.816570
139.779	3.343360
141.834	3.725740
143.935	3.022540
145.995	3.662020
148.016	4.123030
150.076	3.454070
152.128	3.856450
154.217	3.545770
156.256	3.860200
158.277	4.284220
160.337	3.222850
162.358	3.782700
164.398	4.122830
166.440	3.976910
168.520	3.842640
170.560	3.439040
172.643	3.708550
174.700	3.227560
176.742	3.737660
178.820	3.644940
180.903	3.696200
182.963	3.852220
185.002	3.581340
187.044	3.541280
189.084	3.780860
191.182	3.667010
193.224	3.210150
195.305	3.361250
197.344	3.685540
199.386	3.524040
201.425	3.727160
203.464	3.829920
205.506	3.224610
207.566	3.618000
209.606	4.050000
211.686	4.561140
213.728	4.037010
215.767	3.139850
217.848	3.604340
219.928	3.443330
221.968	3.545930
224.028	3.761740
226.070	3.605290
228.088	3.974240
230.169	4.010870
232.234	3.951260
234.271	3.469810
236.310	3.690450
238.329	3.544350
240.430	4.014270
242.513	3.916480
244.591	3.618610
246.656	2.990950
248.698	2.716630
250.758	3.572720
252.797	3.800670
254.847	3.706070
256.925	3.291110
258.987	3.977240
261.068	3.303600
263.146	3.066920
265.250	3.423650
267.366	3.794380
269.390	4.141820
271.504	3.294170
273.543	4.002510
275.624	3.853940
277.666	3.205230
279.705	3.950230
281.768	3.149470
283.828	2.986300
285.888	2.988750
287.989	3.835820
290.069	3.806020
292.109	3.752850
294.148	3.263390
296.208	3.940700
298.291	3.805590
300.369	4.067630
302.411	3.956550
304.471	3.333150
306.551	3.565050
308.611	3.319890
310.671	3.477090
312.713	3.645850
314.773	3.702470
316.838	3.113130
318.883	3.753500
320.932	3.730760
322.995	3.454340
325.034	4.006270
327.133	3.705270
329.236	3.605890
331.348	3.673570
333.395	4.119910
335.437	3.319410
337.517	4.402150
339.577	4.181720
341.658	3.159110
343.697	3.336660
345.739	3.845700
347.799	3.784580
349.838	3.665570
351.880	3.060540
353.940	3.366890
356.021	3.992180
358.083	3.434490
360.161	3.356530
362.242	3.837590
364.284	3.814750
366.323	3.952140
368.383	3.600160
370.425	3.289140
372.503	3.194740
374.586	3.572000
376.664	4.225650
378.685	3.800260
380.725	3.506370
382.787	3.146310
384.868	3.735710
386.928	3.597310
388.987	4.023870
391.050	3.239580
393.128	3.663970
395.190	3.190080
397.271	3.718110
399.290	3.715460
401.329	3.114710
403.415	3.718480
405.472	3.854790
407.511	3.250000
409.592	3.100330
411.652	3.513990
413.673	3.911460
415.754	3.931710
417.814	3.753100
419.894	3.910530
421.934	3.670640
424.014	3.344800
426.074	3.078940
428.116	3.970680
430.135	3.762940
432.195	3.856470
434.257	3.549830
436.296	3.348360
438.315	3.329190
440.357	3.682440
442.396	4.308030
444.436	4.525030
446.488	3.614400
448.530	2.879330
450.590	3.320430
452.629	4.093310
454.689	3.583760
456.772	3.427930
458.850	3.514820
460.872	4.016810
462.911	3.410200
465.030	3.601910
467.072	3.550190
469.127	4.112680
471.210	3.677910
473.249	3.864320
475.270	3.895720
477.351	3.508640
479.390	3.747620
481.450	2.965150
483.492	3.490580
485.552	3.642210
487.573	3.371470
489.613	3.650560
491.652	4.237500
493.671	3.814580
495.741	3.892790
497.762	4.256710
499.846	3.843610
501.934	3.471620
504.014	3.921670
506.077	3.690230
508.137	3.444060
510.179	3.910660
512.298	4.155770
514.368	3.986190
516.387	3.176110
518.467	3.186500
520.532	3.453030
522.577	3.582610
524.629	3.708760
526.689	3.445470
528.731	3.416570
530.812	3.580680
532.892	3.833320
534.931	4.093760
537.033	3.943940
539.095	2.999340
541.152	3.672820
543.233	3.798970
545.275	3.524860
547.314	3.869140
549.336	3.403750
551.395	3.495220
