Elapsed time [s]	Value [0,1500]
0.000	450.0780
0.314	450.0130
2.371	449.9680
6.491	449.8530
8.551	449.8070
10.613	449.9380
16.801	450.0020
18.861	450.1070
20.923	450.0530
23.019	450.1700
25.058	450.0720
31.179	449.9820
47.774	449.9360
55.958	450.0200
62.199	450.0780
64.238	450.0020
78.601	449.8610
80.659	449.9680
88.883	450.0640
93.119	449.9150
97.223	450.0010
101.379	450.0660
105.520	449.9740
111.702	450.0520
113.762	450.0030
115.783	449.9430
119.844	450.0470
123.984	449.9250
128.104	449.8460
130.185	449.9960
136.375	450.0700
138.435	450.1380
144.630	450.0250
148.709	450.0950
150.771	449.9950
152.831	449.8880
161.071	449.7950
163.131	449.9740
167.279	450.0200
169.313	450.0840
171.353	450.1410
175.514	450.0840
183.759	450.0370
185.839	449.9530
194.076	449.8970
196.118	449.9760
206.364	450.0600
212.520	449.9760
216.599	450.0220
230.841	449.9260
239.153	450.0050
245.353	450.1110
253.598	449.9370
255.640	450.0070
261.822	449.9130
267.997	450.0140
278.348	450.1150
282.427	450.0080
290.690	449.8990
294.771	449.9710
296.849	450.0410
298.891	449.9920
305.071	450.0610
309.173	449.9700
313.300	450.0240
319.521	449.9380
321.555	450.0390
323.615	449.9830
329.780	449.9090
333.879	449.8550
335.957	450.0350
340.077	449.9610
342.119	450.0310
346.218	450.0970
350.338	450.0420
362.762	449.9090
373.044	450.1070
375.085	450.0550
379.285	450.0000
383.366	449.9110
385.465	449.9930
387.574	449.8910
389.634	450.0050
391.676	450.0840
395.796	450.0040
404.056	449.9520
408.137	449.9990
418.439	450.0460
420.481	449.9550
422.541	450.0980
428.682	449.9830
434.901	449.8880
436.940	449.9580
439.062	450.0140
441.142	449.9260
443.202	449.8480
445.224	449.9410
447.284	450.0080
449.344	449.9530
453.502	450.0060
455.637	450.1150
459.697	450.0470
461.739	450.1050
467.898	450.0140
469.961	449.9550
474.040	449.8500
476.087	449.9550
478.185	449.8970
480.227	449.9520
484.368	449.8570
486.407	449.9550
492.610	450.0410
494.693	450.1140
500.894	450.2070
503.015	450.1140
505.075	449.9920
507.135	449.9120
509.195	449.8400
511.255	449.9010
513.297	449.9650
515.375	450.0350
517.437	449.9640
521.516	450.0130
523.630	449.9590
529.699	450.0080
533.878	449.9480
535.938	450.0060
538.003	450.0710
540.043	449.9980
542.103	450.0940
546.204	449.9710
548.264	450.0670
550.384	449.9950
562.787	449.9020
566.999	450.0240
573.156	449.9110
575.237	450.0380
583.497	450.1170
587.578	450.0070
593.761	449.8870
597.880	449.9400
601.980	449.9910
610.163	450.0380
618.325	450.0870
622.427	450.0310
624.508	449.9110
626.588	449.9720
630.742	449.8810
636.870	449.9980
640.951	450.0890
651.202	450.1670
653.337	450.0060
657.402	449.9290
659.444	449.8620
661.504	449.9180
669.708	450.0100
673.797	449.9180
675.906	450.0670
682.047	450.1340
684.127	450.0610
686.200	449.9990
688.260	450.1210
690.320	450.0460
694.481	449.9250
698.604	449.8740
700.664	449.8210
702.765	449.9140
706.885	450.0180
713.067	450.0860
715.186	450.0160
717.228	450.1510
725.488	450.0290
727.569	449.9430
731.650	449.8850
735.791	449.7910
739.893	449.8910
741.937	450.0240
746.062	450.1120
748.122	450.1750
750.161	450.0870
752.203	450.1360
756.282	450.0630
760.422	449.9960
764.542	449.9150
766.584	449.8020
768.603	449.9540
770.645	449.8970
774.783	449.9470
778.882	450.0110
780.944	450.0800
783.022	450.1300
787.124	450.1920
789.184	450.1020
791.244	450.0320
793.286	449.9860
801.611	449.9090
803.671	449.8570
805.774	449.9180
815.997	450.0880
818.036	450.0250
826.356	450.1070
828.395	450.0590
830.437	449.9730
832.476	450.0450
834.575	449.9550
838.718	449.8880
840.737	449.9630
846.960	450.0790
849.061	450.0160
853.202	449.9340
855.259	449.9850
857.360	450.0340
865.608	449.9830
867.665	450.0620
869.707	449.9020
875.941	449.9600
882.113	450.1180
888.311	450.0630
890.355	450.0130
896.535	450.1000
898.616	449.9400
906.858	449.8640
911.037	449.9350
915.139	449.9940
917.199	450.0480
923.381	450.1410
927.542	450.0370
929.582	449.9640
933.684	449.9120
937.783	449.9590
939.884	449.8950
941.926	449.9980
948.126	450.0650
950.207	450.1110
954.327	450.1620
956.389	450.0630
962.590	450.0020
964.670	449.8880
974.970	449.9800
983.233	450.0690
987.322	450.1760
991.421	450.1160
995.580	450.0210
999.679	449.9730
1005.820	449.8070
1009.948	449.8910
1016.084	450.0110
1018.123	450.1290
1026.306	450.2060
1028.366	450.1330
1030.447	450.0540
1034.572	449.9940
1036.668	449.9070
1038.728	449.8380
1040.831	449.7740
1042.868	449.8560
1044.912	449.9150
1046.972	449.9970
1049.009	450.0950
1059.211	450.0130
1061.271	449.9640
1065.362	449.9020
1069.544	449.9640
1071.622	450.0340
1075.706	450.1190
1079.885	449.9760
1086.067	449.9050
1088.148	449.9510
1094.312	449.8860
1096.354	449.9600
1098.419	450.0840
1100.448	449.9990
1104.609	450.0950
1106.677	450.0400
1118.998	449.9700
1123.082	450.0280
1125.098	449.9770
1129.174	449.8450
1131.273	449.9780
1135.395	450.0430
1137.414	450.0910
1139.476	449.9920
1158.080	450.0830
1160.174	449.9310
1164.296	449.9930
1168.434	449.9270
1170.494	450.0010
1182.838	450.0590
1187.020	449.9830
1193.122	450.0900
1195.182	450.0350
1197.252	449.9830
1205.495	449.9130
1207.537	449.8190
1209.676	449.9100
1211.716	449.9620
1215.838	450.0290
1217.919	450.0880
1219.979	450.1950
1222.000	450.1220
1224.060	450.0550
1232.225	450.0080
1234.288	449.9410
1236.345	449.8480
1238.384	449.7640
1240.485	449.8330
1242.525	449.9030
1246.606	450.0720
1250.806	450.2120
1257.009	450.0750
1259.069	449.9350
1269.389	449.8640
1275.551	449.9670
1279.653	450.0580
1281.733	450.1200
1285.832	450.1720
1289.934	450.0290
1291.994	449.9650
1296.155	449.8780
1298.215	449.9410
1302.356	449.8610
1306.499	449.9630
1310.598	450.0530
1312.658	450.1240
1314.700	450.0350
1325.020	450.1100
1327.085	449.9830
1333.224	449.9270
1347.708	450.0250
1351.786	450.0960
1353.826	449.9810
1355.927	450.0920
1360.026	449.9620
1362.107	450.0610
1366.208	450.0130
1370.390	449.9430
1374.510	449.9900
1386.795	450.1370
1388.852	450.0030
1392.954	450.0630
1395.014	449.9960
1397.095	449.9430
1401.235	450.0040
1409.511	450.0740
1413.592	450.0200
1421.832	449.9430
1423.892	450.0280
1425.934	449.9680
1432.075	450.0420
1444.417	449.9560
1448.536	450.0190
1450.596	449.9720
1452.659	449.8670
1456.797	450.0620
1467.094	450.0140
1473.279	449.9320
1477.363	450.0390
1485.561	449.9420
1489.738	449.9260
1495.840	449.9720
1499.940	450.0430
1504.044	450.0990
1508.164	450.0020
1518.422	449.9160
1524.643	449.9880
1526.703	450.0570
1537.044	449.9540
1539.104	449.9080
1541.164	449.9800
1547.364	450.0470
1551.505	450.0980
1553.534	450.1840
1555.589	449.9840
1563.829	449.8970
1565.930	449.8310
1567.990	449.8760
1570.034	449.9990
1572.089	450.0600
1578.212	450.1240
1584.443	450.0330
1588.558	449.8910
1596.839	449.9820
1598.899	450.0340
1603.024	449.9750
1605.084	450.0450
1609.188	450.0960
1613.267	450.0480
1615.327	449.9850
1619.426	450.0470
1621.481	450.0010
1623.525	449.9280
1629.736	449.8570
1631.822	449.9810
1633.877	450.0300
1638.038	450.1930
1642.199	450.1460
1644.259	450.0160
1650.480	449.8500
1652.545	449.8980
1656.721	449.9820
1671.125	450.0450
1673.206	449.9900
1687.595	450.0410
1689.634	450.0990
1691.694	450.0440
1693.733	450.1240
1697.874	450.0760
1699.954	449.9770
1701.999	449.8840
1704.038	449.9350
1708.179	449.8580
1710.259	449.9600
1718.514	450.0490
1722.624	450.1210
1726.749	450.0070
1739.145	449.9390
1741.184	450.0290
1747.384	449.9540
1751.489	450.0480
1753.513	449.9670
1755.552	450.0170
1757.674	449.9400
1759.728	449.8890
1763.812	450.0180
1774.112	450.0690
1776.203	449.9750
1778.263	450.0410
1782.403	450.0990
1786.502	450.0180
1790.648	449.9190
1792.703	449.8450
1796.849	449.9240
1798.924	450.0660
1803.008	450.0080
1805.088	449.9610
1809.167	450.0430
1813.307	449.9810
1821.604	450.0690
1827.820	449.9850
1838.104	449.9390
1842.203	450.0180
1852.523	450.0940
1854.599	450.0110
1856.623	449.9650
1858.662	449.8880
1862.782	450.0190
1868.885	449.9460
1870.929	450.0210
1877.140	449.9450
1879.220	450.0040
1883.356	450.0550
1887.434	449.9870
1891.497	450.0440
1893.619	450.0940
1895.659	449.9660
1899.763	449.9170
1905.938	449.9660
1907.977	450.0480
1910.021	449.9800
1918.220	450.0540
1930.605	449.9340
1938.922	449.9850
1940.982	449.8800
1943.022	449.9430
1945.087	450.0230
1947.152	449.9740
1953.352	450.0810
1963.631	450.0050
1969.739	449.8730
1977.943	450.0250
1980.080	449.9150
1982.124	449.9670
1986.265	450.0370
1988.325	450.0840
1992.465	450.1870
1996.544	450.1120
2000.705	449.9300
2002.744	449.8850
2010.907	449.9440
2012.987	450.0060
2017.148	449.9250
2019.255	450.0330
2023.411	450.1190
2033.674	450.0170
2037.753	449.8330
2039.813	449.8970
2041.899	449.8320
2043.974	449.9800
2046.034	449.8490
2048.135	449.9630
2052.219	450.0470
2054.258	450.1450
2058.404	450.0580
2060.479	450.1730
2062.519	450.1060
2066.644	450.0470
2070.722	449.9560
2072.762	449.8230
2076.881	449.9210
2085.080	450.0170
2087.119	450.1170
2099.505	450.0570
2101.529	449.9400
2103.609	449.8750
2105.674	449.7630
2107.750	449.8640
2111.849	449.9420
2113.888	450.0250
2118.013	450.1510
2124.229	450.0840
