Elapsed time [s]	Value [0,100]
0.000	6.425170
0.530	6.471520
2.590	6.479150
4.673	6.550390
6.733	6.670420
8.754	6.633050
10.814	6.633960
12.853	6.619750
14.942	6.505310
17.004	6.559760
19.064	6.491520
21.142	6.592200
23.161	6.478140
25.259	6.520220
27.283	6.446870
29.361	6.529930
31.442	6.550830
33.502	6.579260
35.541	6.433330
37.642	6.530160
39.681	6.582590
41.723	6.576320
43.763	6.564220
45.823	6.495620
47.903	6.592560
49.976	6.667480
52.015	6.530010
54.075	6.559880
56.117	6.551520
58.200	6.635500
60.237	6.488110
62.336	6.416750
64.339	6.558640
66.399	6.579970
68.441	6.418730
70.539	6.545970
72.581	6.520130
74.700	6.467320
76.760	6.499150
78.841	6.597270
80.921	6.524620
83.079	6.570930
85.098	6.506510
87.158	6.438420
89.200	6.470730
91.260	6.461850
93.299	6.652890
95.341	6.528080
97.421	6.586490
99.466	6.493900
101.500	6.453090
103.583	6.544430
105.623	6.541310
107.721	6.499480
109.761	6.474310
111.862	6.487580
113.906	6.466530
115.982	6.618030
118.003	6.551370
120.122	6.402790
122.184	6.570560
124.224	6.600430
126.263	6.648820
128.344	6.647950
130.424	6.631230
132.466	6.641840
134.490	6.547110
136.527	6.556160
138.636	6.422380
140.675	6.510120
142.735	6.376520
144.777	6.447930
146.837	6.410660
148.915	6.487230
150.998	6.469550
153.037	6.602190
155.097	6.662980
157.139	6.647340
159.199	6.636120
161.259	6.739200
163.378	6.532380
165.417	6.623360
167.457	6.551750
169.519	6.511440
171.579	6.463800
173.660	6.433740
175.740	6.526610
177.821	6.430380
179.863	6.555600
181.961	6.408320
184.024	6.420300
186.063	6.492560
188.102	6.524960
190.124	6.501780
192.184	6.602990
194.226	6.602010
196.265	6.465050
198.286	6.598410
200.326	6.520090
202.398	6.566740
204.461	6.528940
206.500	6.557060
208.599	6.433890
210.641	6.469250
212.703	6.635980
214.763	6.547740
216.803	6.483970
218.924	6.457490
220.964	6.497400
223.093	6.559020
225.083	6.509150
227.125	6.516750
229.185	6.523430
231.266	6.583630
233.308	6.610300
235.388	6.575840
237.448	6.468480
239.511	6.613260
241.571	6.513760
243.610	6.526350
245.652	6.450830
247.691	6.525830
249.813	6.408020
251.873	6.447930
253.912	6.575500
255.993	6.445230
258.053	6.541750
260.133	6.576140
262.196	6.610090
264.256	6.583960
266.359	6.443260
268.401	6.600480
270.464	6.602520
272.524	6.496900
274.622	6.547310
276.664	6.551660
278.704	6.451290
280.764	6.519160
282.803	6.582630
284.845	6.579630
286.905	6.472840
288.944	6.625870
291.027	6.550360
293.105	6.533980
295.165	6.588400
297.207	6.504450
299.267	6.548820
301.347	6.554220
303.407	6.543590
305.467	6.496740
307.509	6.428680
309.569	6.461450
311.609	6.551410
313.668	6.494330
315.710	6.514880
317.732	6.544010
319.846	6.436660
321.906	6.444690
323.986	6.432470
326.026	6.518760
328.085	6.608580
330.145	6.567970
332.208	6.661970
334.227	6.631610
336.307	6.505590
338.408	6.662520
340.448	6.546870
342.508	6.588750
344.588	6.523910
346.630	6.494730
348.649	6.495890
350.711	6.586600
352.751	6.466310
354.790	6.397460
356.829	6.458340
358.892	6.478300
360.952	6.522930
362.991	6.557630
365.033	6.682930
367.093	6.626420
369.132	6.605250
371.172	6.662030
373.252	6.415380
375.315	6.526160
377.336	6.558610
379.375	6.501720
381.446	6.553230
383.467	6.656630
385.607	6.531710
387.674	6.618000
389.775	6.533450
391.835	6.438100
393.857	6.436000
395.896	6.629450
397.938	6.437580
400.016	6.579520
402.099	6.601260
404.177	6.462360
406.198	6.659410
408.279	6.543950
410.339	6.550080
412.378	6.571930
414.438	6.569880
416.521	6.538640
418.560	6.530760
420.620	6.555710
422.680	6.512940
424.761	6.476040
426.841	6.492200
428.922	6.544080
430.964	6.505520
433.024	6.641900
435.066	6.651220
437.123	6.549990
439.183	6.569660
441.264	6.663720
443.303	6.736270
445.363	6.542270
447.443	6.486950
449.485	6.674490
451.563	6.620410
453.623	6.481840
455.755	6.515970
457.797	6.493330
459.836	6.504540
461.917	6.389730
463.938	6.431530
466.019	6.473970
468.107	6.515570
470.162	6.542920
472.181	6.571290
474.261	6.621130
476.303	6.519670
478.360	6.674730
480.423	6.573870
482.465	6.716260
484.525	6.706940
486.662	6.648070
488.704	6.590470
490.805	6.600210
492.844	6.538740
494.907	6.485100
496.964	6.438430
499.006	6.479030
501.100	6.368310
503.118	6.442850
505.173	6.516890
507.236	6.457450
509.316	6.607480
511.376	6.541310
513.436	6.579950
515.558	6.484220
517.656	6.567170
519.678	6.582810
521.758	6.524740
523.800	6.514610
525.860	6.638350
527.940	6.610980
530.000	6.540920
532.019	6.545790
534.100	6.575140
536.142	6.598420
538.181	6.517630
540.241	6.582210
542.342	6.394470
544.423	6.524980
546.490	6.579030
548.504	6.432410
550.582	6.562780
552.662	6.525630
554.733	6.491770
556.754	6.410110
558.814	6.642020
560.863	6.525100
562.903	6.676590
565.025	6.594250
567.118	6.476610
569.178	6.583040
571.279	6.569660
573.300	6.657240
575.340	6.482580
577.382	6.470700
579.478	6.514910
581.499	6.451020
583.618	6.376820
585.657	6.445510
587.699	6.490320
589.777	6.491330
591.881	6.509080
593.941	6.651610
595.980	6.624800
598.061	6.550690
600.082	6.539440
602.121	6.540660
604.161	6.559500
606.254	6.488510
608.304	6.541810
610.364	6.510570
612.424	6.453520
614.484	6.488490
616.523	6.373110
618.585	6.521630
620.684	6.499220
622.765	6.429120
624.886	6.589210
626.980	6.526520
629.040	6.531480
631.100	6.530740
633.162	6.669650
635.258	6.622240
637.277	6.638750
639.298	6.542300
641.337	6.468570
643.379	6.553570
645.398	6.378670
647.440	6.427720
649.482	6.560010
651.521	6.420540
653.563	6.485850
655.641	6.418320
657.683	6.491920
659.722	6.527450
661.782	6.480220
663.842	6.665610
665.923	6.549700
667.965	6.538050
670.025	6.563770
672.085	6.631420
674.147	6.582900
676.189	6.483400
678.249	6.487270
680.317	6.411580
682.377	6.386940
684.436	6.422660
686.527	6.452630
688.569	6.438790
690.686	6.389170
692.707	6.450600
694.806	6.531500
696.866	6.581000
698.926	6.608860
700.967	6.710090
703.048	6.597680
705.129	6.571770
707.168	6.504640
709.189	6.547700
711.208	6.512650
713.247	6.436180
715.310	6.467370
717.367	6.379100
719.445	6.344510
721.487	6.297190
723.547	6.443010
725.648	6.448400
727.708	6.496250
729.786	6.443050
731.828	6.560400
733.908	6.609120
735.950	6.710200
737.990	6.618660
740.032	6.585800
742.174	6.545300
744.234	6.580430
746.335	6.483810
748.395	6.349370
750.434	6.416180
752.494	6.449850
754.595	6.385870
756.655	6.411970
758.756	6.454090
760.778	6.523510
762.838	6.491140
764.877	6.608410
766.919	6.696020
