Elapsed time [s]	Value [0,800]
0.000	300.0360
16.193	299.9630
30.528	300.0380
34.761	299.9890
40.979	300.0210
43.080	299.9860
49.242	299.9350
51.305	300.0120
55.414	299.9650
65.716	300.0170
102.878	299.9600
106.941	299.9220
111.043	299.9820
113.082	299.9400
115.124	300.0100
117.210	299.9700
119.270	299.9320
123.451	300.0170
156.336	300.0640
158.380	300.0090
160.438	299.9530
164.557	299.9990
166.597	299.9660
183.002	300.0200
195.387	299.9850
199.484	300.0360
203.606	299.9730
207.664	300.0220
224.110	299.9830
242.590	299.9480
244.632	299.9880
246.715	300.0210
252.898	299.9760
259.047	300.0080
267.389	300.0480
273.585	300.0110
283.887	299.9740
323.095	300.0280
333.457	300.0680
335.537	300.0070
345.840	299.9230
351.999	299.9780
362.283	299.9380
366.403	299.9870
374.645	300.0230
409.633	299.9690
421.993	299.9380
424.053	299.9740
446.758	300.0190
448.798	300.0580
452.936	299.9980
459.077	300.0280
463.197	299.9980
467.296	300.0400
471.398	299.9990
473.437	300.0310
483.719	299.9720
494.000	300.0240
518.668	299.9900
520.728	299.9520
524.830	299.9830
528.909	300.0220
549.436	299.9790
563.897	300.0150
574.199	299.9770
580.361	300.0080
582.400	300.0460
584.460	299.9910
588.523	300.0420
590.563	299.9950
609.115	300.0260
611.216	300.0590
617.406	299.9910
621.526	299.9540
625.648	299.9990
629.789	299.9500
631.887	300.0050
656.766	300.0390
671.273	300.0020
683.566	299.9710
689.749	300.0030
722.751	299.9690
730.996	300.0120
747.509	299.9740
753.746	300.0120
764.058	299.9620
766.064	300.0000
792.928	299.9430
794.970	299.9750
801.191	300.0210
809.431	300.0680
813.517	300.0130
821.772	299.9620
823.812	299.9250
830.012	299.9780
832.072	299.9440
838.257	299.9900
846.517	300.0300
848.559	299.9750
852.741	300.0410
858.962	300.0720
873.430	300.0220
881.655	299.9690
906.258	300.0030
910.360	300.0330
931.057	299.9950
935.223	300.0250
949.599	299.9770
970.142	300.0250
980.385	300.0580
984.528	300.0100
996.821	299.9600
998.940	300.0070
1050.315	299.9720
1054.471	300.0260
1062.770	299.9950
1068.970	299.9370
1071.012	299.9710
1081.319	300.0060
1085.401	300.0530
1087.442	300.0200
1097.745	300.0650
1099.776	300.0230
1107.967	299.9760
1110.022	299.9390
1122.345	299.9880
1132.666	300.0710
1140.849	300.0390
1146.967	299.9990
1157.259	299.9390
1167.710	299.9740
1169.770	300.0130
1182.194	300.0650
1190.437	300.1250
1194.539	300.0320
1198.658	299.9880
1202.778	299.9560
1206.919	299.9170
1208.961	299.8870
1213.101	299.9460
1217.200	299.9160
1223.522	299.9680
1227.621	300.0090
1233.863	300.0550
1235.943	300.0240
1240.045	300.0920
1258.489	300.0580
1260.526	300.0200
1262.568	299.9780
1264.648	299.9480
1268.727	299.9120
1270.810	299.9480
1289.370	299.9890
1293.552	300.0350
1303.831	300.0800
1322.219	300.0000
1324.297	299.9660
1326.362	299.9310
1344.862	299.9690
1348.964	300.0310
1357.204	300.0780
1363.366	300.0260
1367.506	300.0590
1371.587	300.0180
1384.030	299.9620
1390.225	299.9320
1392.264	299.9680
1400.429	300.0070
1406.596	300.0490
1423.130	299.9960
1427.211	299.9310
1445.735	299.9710
1449.875	300.0270
1458.079	300.0580
1464.220	300.0980
1468.366	300.0460
1476.564	299.9660
1478.609	299.9260
1480.689	299.8780
1482.755	299.9350
1488.970	299.9470
1493.090	299.9790
1497.210	300.0120
1507.582	300.0790
1513.726	300.0480
1521.996	300.0810
1526.121	300.0450
1528.207	299.9730
1542.724	299.9280
1550.990	299.9960
1555.069	299.9630
1557.149	300.0030
1561.269	300.0390
1567.454	300.0980
1571.574	300.0650
1579.798	300.0300
1584.036	299.9690
1596.422	299.9300
1600.562	299.9620
1608.720	300.0020
1612.824	300.0380
1619.035	300.1090
1621.074	300.0660
1629.396	300.0210
1633.496	299.9760
1637.657	299.9380
1641.756	299.9040
1643.821	299.9710
1645.871	299.9390
1654.167	299.9780
1660.326	300.0100
1666.506	300.0510
1670.610	300.0840
1674.751	300.0460
1680.890	299.9920
1689.093	299.9600
1697.276	299.9970
1701.458	299.9570
1703.497	299.9940
1709.636	300.0510
1711.655	300.0100
1720.018	299.9770
1722.042	300.0400
1734.360	299.9460
1738.444	300.0040
1754.996	300.0400
1759.100	300.0070
1763.277	299.9760
1771.635	300.0100
1777.758	299.9670
1779.777	300.0050
1827.181	300.0540
1829.262	300.0100
1835.462	299.9630
1837.501	300.0180
1843.681	299.9790
1853.986	300.0220
1862.205	299.9880
1876.547	300.0190
1907.400	299.9840
1921.882	300.0250
1928.041	299.9910
1940.364	300.0360
1946.585	300.0040
1950.674	300.0370
1952.688	300.0020
1958.868	299.9710
1967.118	300.0320
1979.431	300.0010
1997.837	300.0420
2001.956	300.0070
2010.196	299.9710
2014.301	300.0080
2049.268	299.9770
2073.992	300.0460
2078.174	299.9880
2080.193	300.0200
2098.840	299.9790
2115.243	300.0290
2117.313	299.9960
2119.378	299.9510
2123.518	299.9810
2127.607	300.0360
2129.667	300.0060
2131.707	300.0620
2133.813	300.0320
2146.198	299.9980
2148.279	299.9660
2150.380	300.0140
2152.419	299.9640
2162.662	300.0100
2195.668	300.0450
2197.707	300.0110
2216.210	299.9480
2220.315	299.9900
2236.872	300.0330
2242.990	300.0010
2251.296	299.9380
2253.408	299.9730
2259.557	300.0160
2273.925	300.0650
2280.110	299.9900
2282.170	299.9530
2290.451	299.8920
2302.831	299.9310
2311.070	299.9790
2313.110	300.0240
2315.190	300.0590
2319.393	300.1140
2321.427	300.0840
2323.471	300.1150
2333.812	300.0560
2339.992	299.9960
2348.175	299.9660
2360.457	300.0010
2364.588	300.0380
2370.767	299.9930
2374.913	300.0310
2393.380	299.9820
2403.665	299.9390
2411.904	299.9720
2420.124	300.0330
2426.257	299.9440
2428.338	299.9950
2430.418	300.0620
2440.774	300.0310
2446.913	300.0000
2451.017	299.9430
2455.173	299.9120
2467.518	299.9480
2473.656	300.0070
2479.882	300.0700
2484.007	300.1030
2494.405	300.0450
2502.609	299.9860
2504.663	299.9420
2508.804	299.9720
2510.828	299.9300
2515.009	299.8940
2519.088	299.9340
2523.208	299.9790
2527.271	300.0510
2541.706	300.0900
2547.834	300.0280
2549.863	299.9960
2558.134	299.9640
2574.588	299.9210
2578.692	299.9970
2584.893	300.0410
2593.194	300.0920
2597.299	300.0400
2609.679	299.9880
2617.883	299.9440
2626.164	299.9090
2628.203	299.9540
2632.333	300.0120
2652.968	300.0470
2665.359	300.0100
2671.631	299.9640
2677.883	299.9270
2686.108	299.9690
2688.188	300.0120
2692.267	299.9790
2698.426	300.0110
2706.650	300.0580
2712.810	300.1100
2716.914	300.0460
2721.013	299.9800
2727.234	299.9090
2733.414	299.8420
2737.508	299.8940
2745.666	299.9520
2749.811	299.9850
2753.890	300.0420
2762.088	300.1050
2776.493	300.0520
2780.633	299.9980
2786.895	299.9300
2799.219	299.9660
2801.299	299.9200
2803.339	299.9680
2811.542	300.0160
2813.618	300.0740
2817.686	300.1520
2821.760	300.0970
2823.820	300.0480
2825.864	300.0870
2830.025	299.9910
2836.226	299.9350
2852.566	299.9860
2856.717	300.0270
2858.756	300.0670
2860.821	300.0240
2862.840	300.0630
2864.879	300.0300
2866.944	300.0760
2873.145	300.0160
2887.590	299.9770
2889.645	299.9260
2891.725	299.9760
2908.169	300.0110
