Elapsed time [s]	Value [0,100]
0.000	6.252250
2.057	6.511760
4.119	6.355210
6.159	6.454850
8.219	6.346970
10.299	6.578640
12.382	6.443090
14.419	6.389730
16.481	6.738920
18.539	6.757360
20.581	6.805600
22.602	6.520620
24.662	6.553650
26.722	6.544630
28.764	6.520830
30.783	6.254380
32.822	6.499260
34.923	6.566930
36.962	6.585700
41.105	6.398370
43.181	6.664780
45.282	6.570860
47.342	6.677230
49.422	6.730830
51.444	6.372160
53.465	6.604410
55.522	6.680360
57.603	6.578970
59.683	6.637430
61.764	6.524260
63.803	6.586130
65.858	6.378810
67.897	6.388340
69.937	6.495140
71.997	6.504820
74.098	6.464900
76.137	6.494710
78.179	6.509370
80.329	6.358540
82.389	6.507310
84.449	6.585240
86.530	6.343480
88.659	6.479510
90.678	6.394590
92.738	6.520880
94.798	6.547420
96.860	6.487190
98.920	6.559960
100.980	6.564590
103.040	6.693840
105.121	6.754650
107.160	6.714900
109.181	6.512900
111.220	6.469330
113.260	6.624070
115.322	6.326460
117.403	6.495310
119.422	6.798130
121.510	6.587570
123.590	6.296570
125.632	6.434320
127.672	6.418070
129.714	6.317430
131.771	6.536960
133.833	6.556920
135.914	6.439610
137.953	6.504910
140.067	6.296330
142.109	6.515720
144.174	6.422800
146.216	6.404800
148.238	6.463920
150.277	6.443740
152.337	6.492750
154.415	6.396610
156.516	6.374540
158.576	6.641470
160.638	6.751800
162.678	6.696070
164.717	6.448340
166.759	6.643810
168.798	6.532960
170.840	6.446850
172.880	6.638870
174.939	6.597570
176.999	6.491550
179.059	6.517900
181.140	6.478280
183.182	6.305150
185.242	6.531310
187.340	6.354910
189.382	6.614990
191.442	6.439990
193.561	6.590600
195.621	6.574860
197.643	6.363540
199.715	6.332960
201.760	6.573010
203.797	6.628990
205.880	6.521080
207.922	6.469400
209.940	6.524800
212.021	6.599820
214.109	6.531600
216.205	6.441710
218.247	6.328340
220.266	6.404910
222.346	6.646950
224.427	6.746720
226.448	6.529700
228.488	6.446180
230.550	6.512150
232.610	6.551860
234.688	6.602960
236.750	6.483090
238.810	6.591860
240.850	6.685790
242.912	6.698500
244.972	6.299490
246.991	6.466160
249.030	6.415100
251.111	6.619190
253.153	6.519410
255.254	6.616780
257.293	6.405380
259.332	6.442620
261.392	6.431000
263.434	6.711330
265.494	6.443580
267.554	6.283420
269.596	6.467060
271.684	6.589350
273.744	6.537240
275.825	6.468240
277.867	6.460070
279.906	6.518160
281.948	6.622110
284.008	6.656550
286.068	6.646280
288.169	6.687650
290.229	6.452680
292.310	6.462310
294.349	6.608050
296.409	6.575050
298.492	6.700930
300.570	6.570710
302.632	6.546580
304.672	6.575570
306.734	6.467410
308.833	6.539430
310.911	6.726220
312.953	6.377920
314.992	6.490750
317.034	6.593410
319.073	6.570820
321.174	6.508180
323.234	6.297950
325.315	6.318710
327.357	6.391530
329.375	6.426360
331.515	6.578860
333.557	6.332120
335.617	6.595140
337.718	6.605680
339.737	6.630060
341.797	6.447980
343.919	6.545240
345.999	6.898980
348.080	6.691440
350.140	6.643900
352.179	6.403030
354.260	6.385610
356.304	6.577220
358.359	6.534260
360.421	6.568520
362.440	6.799190
364.482	6.646770
366.542	6.494530
368.602	6.628760
370.662	6.382680
372.732	6.418430
374.784	6.375430
376.826	6.484170
378.974	6.408700
381.054	6.407440
383.093	6.486470
385.174	6.252590
387.234	6.569450
389.273	6.519460
391.315	6.517930
393.357	6.495230
395.417	6.412630
397.456	6.423280
399.516	6.505900
401.566	6.389810
403.618	6.436840
405.658	6.559760
407.717	6.721370
409.757	6.675620
411.827	6.782870
413.892	6.568000
415.913	6.687980
417.973	6.464540
420.093	6.535010
422.152	6.640520
424.215	6.499990
426.293	6.609380
428.379	6.556380
430.415	6.596910
432.473	6.742730
434.535	6.487650
436.577	6.607810
438.658	6.655790
440.718	6.495530
442.798	6.525600
444.843	6.451510
446.959	6.416940
449.019	6.234560
451.061	6.530940
453.139	6.643950
455.202	6.496600
457.261	6.492900
459.321	6.445700
461.402	6.373800
463.521	6.727160
465.522	6.363610
467.561	6.502790
469.642	6.691180
471.763	6.645150
473.823	6.418340
475.886	6.447500
477.925	6.596110
479.965	6.535500
482.027	6.573160
484.046	6.682370
486.126	6.556220
488.148	6.522260
