Elapsed time [s]	Value [1E-13,.1]
0.000	1.11441E-7
3.035	1.09963E-7
7.057	1.09654E-7
9.068	1.09963E-7
13.088	1.09654E-7
15.101	1.09963E-7
21.132	1.09654E-7
23.143	1.10351E-7
25.151	1.13974E-7
27.165	1.20059E-7
29.173	1.20480E-7
31.184	1.20059E-7
45.259	1.21673E-7
47.270	1.20480E-7
49.281	1.22016E-7
51.294	1.21673E-7
55.314	1.20059E-7
57.325	1.21673E-7
69.399	1.22016E-7
73.418	1.21673E-7
81.462	1.20059E-7
83.471	1.22016E-7
85.482	1.21673E-7
87.490	1.22016E-7
89.504	1.21673E-7
97.543	1.22016E-7
99.556	1.21673E-7
105.589	1.22016E-7
107.618	1.21673E-7
109.611	1.22016E-7
115.642	1.21673E-7
123.683	1.23221E-7
125.694	1.22788E-7
127.705	1.23221E-7
129.716	1.24878E-7
131.727	1.23221E-7
139.779	1.24878E-7
145.807	1.26466E-7
149.826	1.28167E-7
151.837	1.29797E-7
153.848	1.31083E-7
155.859	1.31542E-7
157.868	1.32750E-7
159.881	1.35007E-7
161.900	1.38566E-7
163.901	1.40328E-7
165.912	1.41715E-7
167.920	1.45447E-7
169.931	1.47301E-7
171.942	1.51180E-7
173.953	1.53213E-7
175.964	1.56695E-7
177.973	1.59249E-7
179.984	1.62984E-7
181.995	1.65061E-7
184.003	1.68933E-7
186.017	1.71686E-7
188.028	1.73383E-7
190.039	1.78450E-7
192.050	1.80849E-7
194.058	1.82636E-7
196.069	1.87450E-7
198.080	1.89835E-7
200.089	1.92387E-7
202.100	1.94834E-7
206.119	1.97454E-7
208.130	1.99966E-7
210.139	2.01942E-7
212.150	2.05232E-7
216.172	2.07992E-7
220.191	2.09902E-7
222.202	2.09313E-7
224.211	2.12724E-7
228.230	2.15430E-7
234.263	2.18326E-7
240.291	2.17558E-7
242.302	2.18326E-7
248.335	2.15430E-7
252.357	2.11976E-7
254.365	2.12724E-7
256.379	2.09902E-7
260.399	2.07265E-7
264.418	2.04515E-7
266.429	2.01942E-7
270.451	1.99267E-7
274.473	1.97454E-7
278.495	1.94149E-7
282.515	1.92387E-7
284.523	1.89835E-7
288.560	1.87450E-7
290.556	1.87977E-7
292.564	1.87450E-7
294.578	1.84963E-7
296.589	1.82636E-7
298.600	1.83149E-7
302.625	1.80849E-7
306.644	1.80217E-7
308.658	1.77949E-7
312.677	1.76208E-7
318.710	1.73870E-7
324.741	1.71686E-7
330.771	1.69409E-7
338.810	1.71686E-7
340.821	1.89835E-7
342.835	2.69567E-7
344.846	3.85484E-7
346.857	5.31835E-7
348.868	6.91699E-7
350.879	7.82757E-7
352.890	6.29531E-7
354.901	7.28613E-7
356.912	1.10840E-6
358.923	8.40925E-7
360.934	6.09518E-7
362.945	1.33339E-6
364.966	7.62671E-7
366.967	7.40486E-7
368.975	1.83319E-6
370.986	5.09878E-7
372.997	1.22213E-6
375.008	1.15207E-6
377.019	6.87332E-7
379.030	1.82805E-6
381.041	5.54736E-7
383.050	1.00172E-6
385.061	1.69086E-6
387.069	5.85999E-7
389.080	1.58390E-6
391.091	7.09916E-7
393.102	8.57032E-7
395.113	1.86964E-6
397.122	6.15541E-7
399.135	1.26584E-6
401.146	1.07996E-6
403.157	7.92733E-7
405.168	2.12319E-6
407.179	8.03373E-7
409.190	7.19460E-7
411.204	6.17272E-7
413.215	5.70948E-7
415.226	5.24779E-7
417.237	5.08085E-7
419.248	5.21467E-7
421.262	5.35213E-7
431.319	5.37089E-7
433.333	5.28478E-7
435.344	5.33331E-7
437.355	5.28478E-7
439.366	5.35213E-7
441.377	5.37089E-7
443.388	5.35213E-7
447.412	5.28478E-7
451.447	5.35213E-7
453.458	5.37089E-7
455.469	5.35213E-7
457.478	5.37089E-7
461.500	5.35213E-7
463.521	5.28478E-7
469.544	5.35213E-7
473.563	5.28478E-7
477.583	5.29964E-7
479.594	5.28478E-7
481.605	5.29964E-7
483.616	5.28478E-7
495.682	5.29964E-7
497.690	5.28478E-7
499.701	5.35213E-7
501.710	5.29964E-7
505.732	5.35213E-7
507.740	5.28478E-7
511.762	5.29964E-7
513.773	5.28478E-7
515.782	5.35213E-7
519.806	5.37089E-7
521.820	5.28478E-7
523.828	5.35213E-7
525.839	5.28478E-7
527.850	5.35213E-7
529.861	5.37089E-7
531.872	5.35213E-7
533.883	5.42022E-7
535.894	5.35213E-7
539.919	5.37089E-7
541.927	5.35213E-7
543.938	5.42022E-7
549.969	5.43935E-7
553.988	5.42022E-7
555.999	5.49309E-7
558.010	5.42022E-7
560.021	5.49309E-7
570.074	5.56297E-7
576.102	5.63776E-7
578.121	5.70948E-7
580.132	5.56297E-7
582.143	5.63776E-7
