Elapsed time [s]	Numeric value	Description [NotAtHome,AtHome]
0.000	1	AtHome
240.005	0	NotAtHome
313.120	1	AtHome
315.270	0	NotAtHome
328.176	1	AtHome
330.326	0	NotAtHome
343.306	1	AtHome
345.379	0	NotAtHome
358.282	1	AtHome
360.432	0	NotAtHome
373.335	1	AtHome
375.485	0	NotAtHome
913.115	1	AtHome
915.265	0	NotAtHome
928.168	1	AtHome
930.321	0	NotAtHome
943.224	1	AtHome
945.374	0	NotAtHome
958.277	1	AtHome
960.427	0	NotAtHome
973.330	1	AtHome
975.480	0	NotAtHome
1498.055	1	AtHome
1500.207	0	NotAtHome
1513.108	1	AtHome
1515.260	0	NotAtHome
1528.161	1	AtHome
1530.313	0	NotAtHome
1543.214	1	AtHome
1545.449	0	NotAtHome
1558.267	1	AtHome
1560.419	0	NotAtHome
1573.325	1	AtHome
1575.472	0	NotAtHome
2098.047	1	AtHome
2100.200	0	NotAtHome
2113.100	1	AtHome
2115.253	0	NotAtHome
2128.153	1	AtHome
2130.306	0	NotAtHome
2143.206	1	AtHome
2145.359	0	NotAtHome
2158.259	1	AtHome
2160.412	0	NotAtHome
2173.312	1	AtHome
2175.465	0	NotAtHome
2698.040	1	AtHome
2700.187	0	NotAtHome
2713.093	1	AtHome
2715.245	0	NotAtHome
2728.146	1	AtHome
2730.298	0	NotAtHome
2743.199	1	AtHome
2745.351	0	NotAtHome
2758.257	1	AtHome
2760.404	0	NotAtHome
3298.038	1	AtHome
3300.185	0	NotAtHome
3313.091	1	AtHome
3315.243	0	NotAtHome
3328.144	1	AtHome
3330.296	0	NotAtHome
3343.197	1	AtHome
3345.349	0	NotAtHome
3358.250	1	AtHome
3360.402	0	NotAtHome
3373.302	1	AtHome
3375.455	0	NotAtHome
3913.083	1	AtHome
3915.236	0	NotAtHome
3928.141	1	AtHome
3930.289	0	NotAtHome
3943.194	1	AtHome
3945.342	0	NotAtHome
3958.247	1	AtHome
3960.395	0	NotAtHome
3973.300	1	AtHome
3975.448	0	NotAtHome
4394.799	1	AtHome
4407.664	0	NotAtHome
4472.454	1	AtHome
4839.967	0	NotAtHome
