Elapsed time [s]	Value [-1,361]
0.000	0
237.451	359.9960
239.603	326.2120
241.756	273.9200
243.906	222.4510
246.059	170.9910
248.209	119.4820
250.359	68.00930
252.512	15.74340
254.662	324.2480
256.812	272.7810
258.962	221.3130
261.112	169.8090
263.264	118.3390
265.414	66.06430
267.565	14.56740
269.715	323.1040
271.867	271.6220
274.017	220.1300
276.165	168.6670
278.317	117.1720
280.467	64.90280
282.620	13.43360
284.770	321.9490
286.920	270.4640
289.073	219.0120
291.225	166.7150
293.378	115.2380
295.528	63.77260
297.678	12.26730
299.831	320.7990
301.981	268.5290
304.131	217.0350
306.281	165.5650
308.431	114.0930
310.597	62.59350
312.734	11.13220
314.884	318.8560
317.034	267.3680
319.184	215.9050
321.334	164.4190
323.484	112.9370
325.637	61.46810
327.787	9.175780
329.937	317.7040
332.087	266.2330
334.237	214.7470
336.390	163.2610
338.553	111.7900
340.690	59.49840
342.840	8.031890
344.990	316.5570
347.140	265.0670
349.290	213.5880
351.445	162.1230
353.593	109.8320
355.743	58.36640
357.893	6.875240
360.043	315.4010
362.195	263.9190
364.345	212.4510
366.496	160.1560
368.646	108.6950
370.798	57.20490
372.948	5.726070
375.098	314.2570
377.248	262.7590
379.398	210.4890
381.551	159.0280
383.701	107.5280
385.851	56.05710
388.001	4.587010
390.151	312.2940
392.301	260.8220
394.451	209.3600
396.604	157.8480
398.754	106.3940
400.904	54.90700
403.054	3.414550
405.204	311.1560
407.357	259.6750
409.507	208.1880
411.657	156.7160
413.807	105.2300
415.957	52.95590
418.107	1.491060
420.257	309.9990
422.410	258.5140
424.560	207.0490
426.710	155.5540
428.860	104.0770
431.010	51.81860
433.163	0.3216800
435.313	308.8450
437.463	257.3830
439.613	205.8790
441.763	153.6090
443.913	102.1330
446.063	50.64080
448.216	359.1740
450.366	307.7000
452.516	256.2030
454.666	204.7370
456.816	152.4740
458.969	100.9800
461.119	49.51410
463.269	358.0250
465.419	306.5360
467.569	254.2790
469.722	202.7940
471.872	151.3030
474.022	99.84680
476.172	48.34640
478.322	356.8680
480.472	304.6070
482.622	253.1100
484.775	201.6360
486.925	150.1680
489.075	98.66950
491.225	47.20120
493.375	354.9350
495.527	303.4420
497.677	251.9680
499.828	200.5000
501.978	148.9990
504.130	97.53620
506.280	45.25620
508.428	353.7770
510.580	302.3000
512.730	250.8220
514.883	199.3270
517.031	147.8610
519.183	95.57050
521.333	44.10040
523.483	352.6300
525.633	301.1350
527.783	249.6640
529.936	198.1860
532.086	145.9060
534.241	94.44020
536.386	42.96230
538.536	351.4680
540.686	299.9890
542.836	248.5260
544.989	196.2240
547.139	144.7630
549.289	93.27700
551.439	41.79460
553.589	350.3240
555.742	298.8460
557.892	246.5560
560.042	195.0900
562.192	143.6040
564.342	92.12780
566.492	40.66080
568.642	349.1710
570.795	296.8900
572.945	245.4270
575.095	193.9320
577.245	142.4550
579.395	90.98700
581.548	39.48840
583.739	347.2180
585.848	295.7590
587.998	244.2520
590.151	192.7830
592.301	141.3070
594.451	89.81500
596.601	37.55300
598.751	346.0800
600.903	294.5840
603.054	243.1260
605.206	191.6280
607.356	139.3510
609.509	87.88890
611.659	36.39950
613.809	344.9150
615.964	293.4500
618.109	241.9560
620.262	189.6750
622.412	138.2200
624.562	86.71240
626.712	35.24630
628.862	343.7790
631.015	292.2750
633.165	240.0140
635.317	188.5430
637.467	137.0470
639.617	85.57870
641.767	34.11120
643.920	341.8200
646.070	290.3470
648.220	238.8740
650.370	187.3800
652.523	135.9070
654.673	84.42550
656.823	32.15210
658.978	340.6660
661.131	289.1950
663.281	237.7020
665.431	186.2340
667.584	133.9570
669.739	82.48450
671.884	31.01000
674.034	339.5160
676.184	288.0430
678.334	236.5760
680.484	184.2820
682.637	132.8050
684.787	81.33090
686.942	29.83930
689.087	338.3660
691.237	286.9000
693.389	234.6020
695.540	183.1420
697.690	131.6590
699.840	80.16770
701.992	28.70380
704.140	337.2180
706.290	284.9340
708.442	233.4770
710.592	181.9800
712.743	130.5030
714.893	79.03430
717.045	27.53920
719.195	335.2660
721.345	283.8070
723.495	232.3040
725.645	180.8300
727.798	129.3610
729.948	77.86710
732.098	25.60250
734.251	334.1270
736.401	282.6270
738.551	231.1640
740.701	179.6840
742.856	127.4030
745.011	75.93530
747.154	24.44990
749.304	332.9610
751.454	281.5000
753.607	230.0010
755.772	177.7280
757.907	126.2610
760.057	74.76640
762.207	23.28930
764.357	331.8260
766.507	280.3270
768.660	228.0600
770.810	176.5980
772.960	125.0980
775.110	73.62690
777.260	22.15630
779.412	330.6500
781.562	278.3950
783.713	226.9280
785.863	175.4300
788.015	123.9530
790.165	72.47720
792.313	20.97380
794.465	328.7210
796.615	277.2450
798.766	225.7480
800.916	174.2820
803.068	122.7950
805.218	71.31230
807.368	19.04940
809.518	327.5700
811.668	276.0800
813.821	224.6220
815.971	173.1280
818.121	121.6510
820.271	69.38700
822.421	17.88840
824.574	326.4120
826.724	274.9390
828.874	223.4430
831.024	171.9750
833.182	119.7070
835.327	68.21280
837.477	16.74670
839.629	325.2680
841.780	273.7740
843.930	221.5240
846.090	170.0320
848.240	118.5500
850.390	67.08080
852.540	15.58740
854.693	323.3170
856.843	271.8510
858.993	220.3550
861.143	168.8820
863.293	117.4060
865.446	65.12040
867.596	13.64630
869.746	322.1800
871.896	270.6740
874.046	219.2040
876.199	167.7350
878.349	115.4530
880.499	63.97600
882.649	12.49800
884.799	321.0080
886.949	269.5400
889.099	218.0600
891.252	165.7730
893.402	114.3000
895.554	62.82200
897.702	11.33610
899.852	319.8700
902.004	268.3680
904.154	216.1060
906.304	164.6390
908.455	113.1520
910.607	61.67110
912.757	10.20810
914.915	318.7020
917.057	266.4370
919.207	214.9750
921.357	163.4680
923.508	112.0010
925.660	60.52500
927.810	9.022410
929.960	316.7710
932.110	265.2910
934.260	213.7950
936.413	162.3270
938.563	110.8490
940.713	59.35830
942.863	7.104200
945.013	315.6220
947.163	264.1290
949.313	212.6630
951.466	161.1760
953.616	109.6930
955.766	57.43390
957.916	5.944040
960.069	314.4600
962.219	262.9980
964.369	211.4950
966.522	160.0180
968.672	107.7500
970.824	56.26230
972.972	4.792240
975.122	313.3180
977.274	261.8210
979.425	209.5660
981.575	158.0890
983.725	106.6050
985.877	55.13250
988.027	3.644380
990.177	312.1520
992.327	259.8970
994.480	208.4040
996.630	156.9240
998.780	105.4540
1000.935	53.96040
1003.096	1.697610
1005.236	310.2250
1007.386	258.7220
1009.536	207.2500
1011.688	155.7830
1013.836	104.2920
1015.988	52.02330
1018.138	0.5515140
1020.289	309.0540
1022.439	257.5910
1024.591	206.1150
1026.741	154.6180
1028.896	102.3530
1031.047	50.88080
1033.212	359.3890
1035.347	307.9150
1037.497	256.4350
1039.647	204.9440
1041.799	152.6870
1043.947	101.1980
1046.097	49.71620
1048.247	358.2500
1050.400	306.7490
1052.550	255.2850
1054.700	203.0230
1056.850	151.5220
1059.005	100.0490
1061.152	48.58240
1063.303	357.0780
1065.453	305.6090
1067.603	253.3430
1069.753	201.8400
1071.903	150.3800
1074.053	98.89940
1076.205	47.40560
1078.356	355.1440
1080.506	303.6680
1082.656	252.1750
1084.808	200.7020
1086.958	149.2270
1089.108	97.74320
1091.258	46.27620
1093.409	353.9880
1095.561	302.5080
1097.711	251.0440
1099.861	199.5530
1102.011	148.0640
1104.161	96.60670
1106.311	44.32020
1108.462	352.8380
1110.614	301.3730
1112.764	249.8700
1114.914	198.3950
1117.064	146.9300
1119.214	94.64720
1121.367	43.17410
1123.517	351.6970
1125.667	300.2040
1127.817	248.7370
1129.967	196.4620
1132.117	144.9690
1134.267	93.49760
1136.420	42.01520
1138.570	350.5310
1140.720	299.0640
1142.870	246.7730
1145.020	195.2970
1147.173	143.8370
1149.323	92.33610
1151.473	40.86560
1153.623	349.3920
1155.773	297.1000
1157.926	245.6360
1160.076	194.1620
1162.226	142.6650
1164.376	91.19440
1166.526	39.72170
1168.676	347.4310
1170.826	295.9650
1172.979	244.4890
1175.129	192.9970
1177.279	141.5190
1179.429	90.04260
1181.579	37.76310
1183.732	346.2890
1185.882	294.8060
1187.882	243.3220
1190.081	194.2370
1192.234	142.7440
1194.384	90.46890
1196.534	39.00230
1198.684	347.5040
1200.834	296.0360
1202.984	244.5530
1205.137	193.0720
1207.287	140.8020
1209.437	89.32900
1211.587	37.82770
1213.737	346.3610
1215.890	294.8840
1218.040	243.3940
1220.190	191.1360
1222.340	139.6500
1224.490	88.16880
1226.640	36.69390
1228.790	345.2030
1230.943	293.7290
1233.093	241.4630
1235.243	189.9760
1237.393	138.4890
1239.543	87.02620
1241.696	35.51840
1243.846	344.0570
1245.996	291.7930
1248.146	240.2910
1250.296	188.8180
1252.448	137.3590
1254.599	85.85380
1256.749	34.38760
1258.899	342.1260
1261.049	290.6210
1263.199	239.1560
1265.349	187.6840
1267.501	136.1810
1269.652	84.71870
1271.802	32.44440
1273.952	340.9510
1276.102	289.4800
1278.254	237.9960
1280.404	186.5100
1282.554	135.0510
1284.705	82.77450
1286.857	31.28510
1289.007	339.8180
1291.157	288.3190
1293.307	236.8440
1295.457	185.3860
1297.607	133.0890
1299.758	81.61440
1301.910	30.13990
1304.060	338.6500
1306.210	287.1800
1308.360	235.7090
1310.510	183.4160
1312.663	131.9430
1314.813	80.46610
1316.963	28.97580
1319.113	337.5050
1321.263	286.0240
1323.413	233.7480
1325.563	182.2790
1327.716	130.7980
1329.866	79.30680
1332.016	27.83890
1334.166	336.3550
1336.316	284.0790
1338.469	232.6070
1340.619	181.1170
1342.769	129.6310
1344.919	78.16550
1347.069	26.66820
1349.222	334.4100
1351.372	282.9320
1353.522	231.4430
1355.672	179.9610
1357.822	128.5020
1359.972	76.99970
1362.122	24.74560
1364.275	333.2590
1366.425	281.7750
1368.575	230.3030
1370.725	178.8210
1372.875	127.3270
1375.028	75.06960
1377.178	23.57230
1379.328	332.1050
1381.491	280.6310
1383.628	229.1410
1385.778	177.6600
1387.928	125.4070
1390.081	73.90420
1392.231	22.44290
1394.381	330.9560
1396.531	279.4650
1398.681	227.9870
1400.833	175.7290
1402.984	124.2300
1405.134	72.76770
1407.284	21.27880
1409.436	329.8000
1411.584	277.5380
1413.734	226.0490
1415.886	174.5550
1418.052	123.0900
1420.187	71.59700
1422.337	20.12650
1424.489	327.8620
1426.639	276.3740
1428.789	224.8930
1430.939	173.4270
1433.089	121.9340
1435.242	70.46370
1437.392	18.19250
1439.542	326.6930
1441.692	275.2230
1443.842	223.7570
1445.992	172.2470
1448.142	120.7860
1450.295	68.51950
1452.445	17.02710
1454.595	325.5540
1456.745	274.0760
1458.895	222.5780
1461.058	171.1180
1463.201	118.8520
1465.348	67.35500
1467.496	15.89150
1469.648	324.3990
1471.801	272.9120
1473.948	221.4510
1476.101	169.1640
1478.248	117.6830
1480.406	66.21860
1482.554	14.72390
1484.701	323.2430
1486.854	271.7860
1489.006	219.4910
1491.154	168.0110
1493.307	116.5460
1495.454	65.04390
1497.607	13.57650
1499.754	322.1060
1501.907	269.8260
1504.059	218.3480
1506.207	166.8760
1508.360	115.3810
1510.507	63.91360
1512.660	12.42380
1514.812	320.1480
1516.960	268.6800
1519.112	217.1900
1521.260	165.7070
1523.413	114.2350
1525.560	62.74120
1527.713	10.48800
1529.865	319.0050
1532.013	267.5090
1534.165	216.0310
1536.313	164.5700
1538.466	113.0760
1540.618	60.81020
1542.766	9.336180
1544.918	317.8420
1547.066	266.3710
1549.218	214.8990
1551.371	163.4010
1553.519	111.1370
1555.671	59.65750
1557.819	8.176900
1559.971	316.6980
1562.119	265.2230
1564.271	213.7240
1566.424	161.4750
1568.572	109.9810
1570.724	58.50530
1572.872	7.031250
1575.024	315.5420
1577.177	264.0670
1579.324	211.8100
1581.477	160.2980
1583.624	108.8290
1585.777	57.35960
1587.925	5.866700
1590.077	314.3910
1592.235	262.1310
1594.377	210.6260
1596.530	159.1710
1598.683	107.6750
1600.830	56.19770
1602.983	4.726320
1605.130	312.4490
1607.283	260.9630
1609.430	209.4920
1611.583	158.0040
1613.730	106.5320
1615.883	55.05640
1618.036	2.767240
1620.183	311.2910
1622.336	259.8310
1624.483	208.3280
1626.651	156.8540
1628.789	105.3870
1630.936	53.09740
1633.089	1.624660
1635.236	310.1550
1637.389	258.6510
1639.541	207.1850
1641.689	154.9240
1643.842	103.4300
1645.994	51.95830
1648.142	0.4768070
1650.294	308.9860
1652.447	257.5230
1654.594	205.2480
1656.747	153.7450
1658.895	102.2770
1661.047	50.79380
1663.200	359.3130
1665.347	307.8510
1667.500	255.5650
1669.647	204.0830
1671.800	152.6230
1673.948	101.1190
1676.100	49.65030
1678.253	358.1790
1680.400	305.8910
1682.553	254.4160
1684.700	202.9490
1686.853	151.4500
1689.006	99.97820
1691.158	48.50070
1693.306	356.2220
1695.453	304.7450
1697.606	253.2720
1699.789	201.7740
1701.906	150.3080
1704.059	98.82250
1706.206	46.54780
1708.359	355.0700
1710.506	303.5940
1712.659	252.1050
1714.812	200.6440
1716.959	149.1500
1719.112	96.88890
1721.259	45.40870
1723.412	353.9180
1725.564	302.4390
1727.712	250.9640
1729.865	199.4790
1732.012	147.2080
1734.165	95.72260
1736.312	44.23890
1738.465	352.7640
1740.617	301.3000
1742.765	249.7970
1744.918	197.5460
1747.065	146.0560
1749.218	94.58130
1751.370	43.10200
1753.528	351.6150
1755.670	300.1290
1757.818	247.8770
1759.971	196.3860
1762.123	144.9020
1764.271	93.43170
1766.423	41.93220
1768.571	350.4600
1770.723	298.2020
1772.871	246.7010
1775.023	195.2260
1777.176	143.7640
1779.324	92.25920
1781.476	40.79660
1783.624	348.5300
1785.879	297.0260
1787.929	245.5640
1790.076	194.0910
1792.229	142.5960
1794.377	90.32740
1796.529	38.85160
1798.677	347.3600
1800.829	295.8940
1802.982	244.3980
1805.129	192.9300
1807.282	141.4510
1809.430	89.17030
1811.582	37.68880
1813.730	346.2240
1815.882	294.7250
1818.035	243.2520
1820.182	191.7870
1822.335	139.4930
1824.483	88.02990
1826.635	36.55280
1828.788	345.0520
1830.935	293.5900
1833.088	242.1160
1835.235	189.8230
1837.388	138.3500
1839.541	86.87550
1841.688	35.37820
1843.841	343.9170
1845.993	291.6430
1848.141	240.1490
1850.294	188.6810
1852.441	137.2020
1854.599	85.71450
1856.741	34.25320
1858.894	342.7560
1861.046	290.4810
1863.194	239.0180
1865.347	187.5280
1867.494	136.0440
1869.647	84.57760
1871.799	32.28710
1873.947	340.8130
1876.099	289.3380
1878.247	237.8430
1880.400	186.3710
1882.552	134.9070
1884.700	82.62200
1886.852	31.14890
1889.000	339.6730
1891.152	288.1740
1893.310	236.7100
1895.453	185.2320
1897.605	132.9440
1899.753	81.47640
1901.905	29.98520
1904.053	338.5090
1906.205	287.0440
1908.358	235.5500
1910.506	183.2730
1912.658	131.8070
1914.806	80.31230
1916.958	28.84090
1919.106	337.3690
1921.274	285.8690
1923.411	233.6090
1925.559	182.1380
1927.711	130.6440
1929.859	79.17320
1932.011	27.69390
1934.164	336.2080
1936.311	283.9430
1938.464	232.4560
1940.611	180.9700
1942.764	129.4990
1944.912	78.01040
1947.064	26.52800
1949.217	334.2720
1951.370	282.7780
1953.517	231.3020
1955.670	179.8270
1957.822	128.3460
1959.970	76.07150
1962.122	24.60500
1964.270	333.1040
1966.422	281.6300
1968.575	230.1640
1970.723	178.6660
1972.875	127.1910
1975.023	74.92590
1977.175	23.42810
1979.323	331.9650
1981.475	280.4850
1983.628	228.9920
1985.776	176.7250
1987.928	125.2530
1990.076	73.76480
1992.228	22.30310
1994.381	330.8070
1996.528	279.3230
1998.681	227.8500
2000.829	175.5730
2002.981	124.0930
2005.129	72.62710
2007.281	21.12630
2009.434	329.6550
2011.581	277.3990
2013.734	225.8920
2015.882	174.4150
2018.034	122.9510
2020.187	71.44940
2022.334	19.98460
2024.487	328.5070
2026.634	276.2280
2028.787	224.7570
2030.935	173.2810
2033.087	121.7860
2035.240	70.32390
2037.398	18.04220
2039.540	326.5500
2041.687	275.0850
2043.840	223.6010
2045.993	172.1110
2048.140	120.6470
2050.293	68.36220
