Elapsed time [s]	Value [0,700]
0.000	200.0390
2.991	199.9960
27.716	200.0230
29.760	199.9950
31.818	200.0200
33.878	199.9990
37.977	199.9780
42.122	200.0270
44.180	199.9880
46.219	200.0310
52.435	199.9920
56.578	200.0460
64.818	200.0100
75.035	199.9840
79.137	200.0070
81.197	199.9470
83.298	199.9740
87.379	200.0040
93.541	199.9690
103.820	199.9180
105.865	199.9760
110.023	200.0110
112.106	199.9740
118.247	199.9520
120.292	199.9930
128.514	199.9330
130.558	199.9670
132.613	200.0040
134.675	200.0410
136.795	200.0060
140.896	199.9790
142.936	200.0130
145.001	199.9780
147.038	200.0160
155.334	199.9820
157.394	199.9570
161.514	200.0050
165.672	200.0570
167.753	200.0240
169.864	200.0030
176.088	200.0610
178.148	200.0350
180.190	199.9800
182.252	199.9580
184.271	199.9900
188.393	200.0310
190.433	200.0110
215.082	200.0480
217.148	200.0020
221.224	199.9660
223.322	199.9920
225.380	200.0220
227.440	200.0530
229.574	200.0040
231.650	200.0240
248.155	200.0570
250.282	199.9990
262.636	200.0370
264.701	199.9990
266.764	200.0470
268.798	200.0030
272.918	199.9780
277.040	199.9460
279.082	199.9900
281.160	199.9620
285.241	199.9380
293.525	199.9920
295.567	199.9630
297.627	199.9880
299.725	199.9480
312.049	199.9200
314.109	199.9870
320.235	200.0410
322.297	199.9750
324.331	200.0150
326.448	199.9840
328.490	199.9600
334.693	199.9860
336.732	199.9620
338.815	199.9830
347.173	200.0160
353.356	199.9830
355.395	199.9320
357.437	199.9780
375.948	199.9990
380.009	200.0290
386.191	199.9840
392.312	200.0040
394.372	199.9530
396.411	199.9920
415.051	199.9450
419.269	199.9200
429.638	199.9580
441.995	199.9290
446.094	199.9540
456.363	199.9840
458.402	199.9430
460.457	199.9780
464.579	199.9370
466.637	199.9720
468.725	199.9460
481.198	199.8950
483.237	199.9300
489.469	199.9700
491.482	199.9470
495.623	199.9970
499.743	199.9430
501.782	199.9680
505.925	199.9370
510.006	199.9640
514.147	199.9430
516.209	199.9160
520.409	199.9950
522.448	199.9660
530.770	200.0140
532.807	199.9660
545.174	200.0160
551.310	199.9870
557.410	200.0240
559.455	199.9840
563.572	200.0300
565.617	199.9780
567.672	200.0530
569.693	200.0810
571.735	200.0540
575.837	200.0770
584.107	200.0470
586.175	200.0790
594.484	200.0380
596.539	200.0950
608.927	200.1180
613.039	200.1430
623.346	200.1130
625.391	200.1500
627.428	200.1150
629.467	200.1360
633.587	200.1070
639.708	200.1550
641.747	200.1200
647.968	200.0950
652.160	200.0300
654.258	200.0650
666.603	200.0330
670.722	200.0090
672.744	200.0500
678.882	199.9810
683.005	200.0150
685.065	199.9810
687.166	199.9460
689.226	199.9790
691.268	200.0000
695.388	199.9780
697.427	199.9250
699.510	199.9550
701.549	199.9900
703.609	199.9690
705.718	199.9430
711.960	199.9670
716.041	199.9450
722.182	199.9110
724.265	199.9530
728.370	199.9190
730.504	199.9650
738.749	199.9950
742.854	199.9590
746.948	199.9840
748.990	199.9380
751.070	199.9870
753.153	200.0270
761.334	199.9840
765.577	200.0070
767.619	200.0490
769.638	200.0190
771.680	200.0450
773.719	200.0100
781.933	200.0350
786.053	199.9890
790.214	200.0700
792.256	200.0440
794.316	200.0100
802.538	199.9890
808.697	200.0150
812.840	199.9780
816.939	199.9990
819.020	200.0640
821.121	200.0320
823.165	199.9990
825.202	200.0340
827.301	200.0080
831.400	199.9840
850.004	199.9440
852.025	200.0110
856.122	199.9770
860.283	199.9400
864.364	200.0110
866.424	199.9720
870.511	200.0190
872.565	199.9720
878.686	200.0060
880.746	199.9770
882.788	200.0130
891.092	199.9820
895.276	199.9530
897.315	199.9750
901.497	200.0070
911.838	200.0320
913.921	199.9620
915.960	200.0040
918.041	200.0440
920.101	200.0150
924.162	200.0500
926.201	200.0070
930.344	200.0300
934.425	200.0620
936.503	200.0080
950.992	200.0470
953.034	200.0120
955.153	200.0490
957.172	200.0080
961.315	199.9780
963.375	200.0230
969.575	199.9900
971.615	199.9280
973.677	199.9890
979.896	200.0140
982.017	199.9860
992.242	200.0120
1002.483	199.9690
1004.623	200.0020
1010.815	200.0270
1014.976	199.9610
1017.044	199.9820
1019.125	200.0160
1021.187	199.9750
1023.242	200.0140
1025.364	199.9470
1029.463	199.9920
1031.505	199.9700
1033.565	200.0290
1039.727	200.0080
1041.828	200.0330
1043.908	200.0120
1046.027	199.9910
1056.332	200.0110
1058.410	200.0330
1060.475	200.0090
1062.535	199.9890
1064.593	200.0380
1070.698	199.9880
1076.878	200.0140
1080.997	200.0560
1083.078	200.0320
1091.279	200.0080
1093.321	199.9830
1101.504	200.0080
1105.624	200.0550
1107.663	199.9850
1117.904	199.9430
1122.006	199.9700
1126.125	200.0000
1128.209	199.9760
1134.414	200.0180
1138.519	199.9760
1140.540	199.9990
1146.740	199.9730
1157.061	200.0090
1161.224	200.0540
1163.323	200.0110
1175.626	200.0330
1183.806	200.0580
1190.128	200.0230
1194.248	200.0520
1196.328	200.0300
1198.391	200.0030
1200.430	200.0350
1202.472	199.9800
1204.532	200.0050
1212.772	200.0280
1214.811	199.9620
1220.973	200.0270
1223.012	200.0030
1225.082	199.9830
1231.306	199.9540
1233.366	199.9940
1237.527	199.9720
