Elapsed time [s]	Value [0,100]
0.000	3.464220
1.233	3.654850
3.295	3.586210
5.335	3.617210
7.413	3.627050
9.534	3.644230
11.594	3.618640
13.675	3.619850
15.696	3.682790
17.756	3.656830
19.795	3.615170
21.876	3.573090
23.977	3.702400
26.016	3.557120
28.097	3.580250
30.159	3.631780
32.219	3.579480
34.279	3.646020
36.401	3.594750
38.440	3.680210
40.521	3.679000
42.601	3.578940
44.682	3.726270
46.755	3.587320
48.792	3.583180
50.898	3.627690
52.953	3.633900
54.992	3.557780
57.052	3.500540
59.117	3.595870
61.174	3.588210
63.214	3.607070
65.274	3.604050
67.336	3.610880
69.437	3.608580
71.518	3.602150
73.578	3.674570
75.617	3.745260
77.659	3.504030
79.719	3.641120
81.838	3.639210
83.880	3.656150
85.919	3.595550
87.979	3.641540
90.060	3.598720
92.099	3.668690
94.180	3.628130
96.222	3.733090
98.341	3.650290
100.380	3.551230
102.463	3.700530
104.523	3.606840
106.663	3.666410
108.723	3.737920
110.783	3.545910
112.866	3.748800
114.926	3.646150
116.945	3.724440
118.986	3.680120
121.028	3.725130
123.047	3.610520
125.107	3.694750
127.167	3.660870
129.188	3.638650
131.248	3.648910
133.308	3.560140
135.417	3.518110
137.459	3.706790
139.498	3.620480
141.520	3.595720
143.580	3.708470
145.642	3.591130
147.702	3.552210
149.721	3.642150
151.822	3.555800
153.861	3.614850
155.903	3.677780
157.963	3.713090
160.002	3.671110
162.044	3.621210
164.166	3.577040
166.223	3.554440
168.283	3.675800
170.364	3.598080
172.426	3.515560
174.486	3.532060
176.528	3.528690
178.568	3.595870
180.607	3.761400
182.649	3.698320
184.688	3.625340
186.727	3.527390
188.787	3.582560
190.868	3.738740
192.910	3.652320
194.970	3.607600
196.991	3.682510
199.030	3.604640
201.090	3.700450
203.132	3.625440
205.195	3.580940
207.257	3.691940
209.366	3.570730
211.439	3.614110
213.499	3.568100
215.541	3.571980
217.619	3.754470
219.702	3.647010
221.741	3.705890
223.760	3.576190
225.822	3.515360
227.862	3.587970
230.014	3.628230
232.077	3.635820
234.116	3.530320
236.197	3.633900
238.277	3.571020
240.337	3.600400
242.379	3.681390
244.398	3.529920
246.458	3.543330
248.518	3.599820
250.614	3.730140
252.674	3.609930
254.775	3.618910
256.879	3.611070
258.939	3.634420
260.978	3.523960
263.020	3.551710
265.041	3.612450
267.080	3.610850
269.161	3.641670
271.182	3.632910
273.222	3.649700
275.261	3.570550
277.383	3.685020
279.401	3.584830
281.482	3.661880
283.604	3.707200
285.733	3.661780
287.752	3.606690
289.871	3.682600
291.910	3.659670
293.970	3.567990
296.051	3.707940
298.111	3.661610
300.153	3.649410
302.192	3.689270
304.234	3.698790
306.294	3.643840
308.333	3.608780
310.450	3.763260
312.510	3.665730
314.590	3.523210
316.671	3.645500
318.713	3.587680
320.770	3.650710
322.833	3.683920
324.872	3.641440
326.973	3.688600
329.095	3.821180
331.175	3.638450
333.235	3.656740
335.277	3.641300
337.337	3.723120
339.397	3.649400
341.457	3.611280
343.556	3.679120
345.616	3.623610
347.717	3.658140
349.784	3.709080
351.806	3.618470
353.866	3.690260
355.905	3.741340
357.947	3.509610
359.986	3.632630
362.028	3.774650
364.088	3.688330
366.184	3.632180
368.221	3.669430
370.281	3.644950
372.323	3.639020
374.383	3.626640
376.463	3.733910
378.523	3.594210
380.604	3.589210
382.643	3.596640
384.703	3.653870
386.781	3.714340
388.864	3.608500
390.924	3.730320
392.963	3.623710
395.005	3.673620
397.083	3.730810
399.104	3.720410
401.205	3.612580
403.286	3.664000
405.367	3.642630
407.447	3.582430
409.528	3.671200
411.585	3.649290
413.606	3.656140
415.648	3.824550
417.747	3.764680
419.789	3.655020
421.849	3.629210
423.909	3.781660
426.030	3.775520
428.070	3.679550
430.109	3.637890
432.192	3.733030
434.270	3.671200
436.312	3.684960
438.351	3.689180
440.452	3.747790
442.492	3.717440
444.554	3.689440
446.614	3.644860
448.654	3.746050
450.693	3.694220
452.773	3.708600
454.836	3.674010
456.875	3.725490
458.915	3.687010
460.954	3.736000
463.016	3.691990
465.076	3.740910
467.118	3.670280
469.199	3.798470
471.277	3.774400
473.337	3.736050
477.477	3.738730
479.519	3.814820
481.579	3.787900
483.680	3.705930
485.761	3.710410
487.821	3.737040
489.860	3.694230
491.943	3.763140
493.982	3.751920
496.004	3.687630
498.082	3.827080
500.121	3.840570
502.181	3.758470
504.262	3.805630
506.363	3.816520
508.405	3.766150
510.439	3.692530
512.483	3.727350
514.566	3.792740
516.667	3.762990
518.707	3.717300
520.790	3.633070
522.829	3.805570
524.930	3.715020
527.029	3.762960
529.130	3.693240
531.172	3.629170
533.211	3.807480
537.293	3.724360
539.332	3.663080
541.428	3.830100
543.470	3.783050
545.509	3.706900
547.551	3.665020
549.590	3.729340
551.650	3.734700
553.731	3.762260
555.752	3.706450
557.833	3.696820
559.913	3.806890
562.012	3.674790
564.092	3.684360
566.173	3.747900
568.233	3.573240
570.275	3.570790
572.294	3.771970
574.335	3.667230
576.395	3.670230
578.476	3.542560
580.556	3.645450
582.598	3.582280
584.640	3.633230
586.659	3.568780
588.773	3.661440
590.869	3.720630
592.908	3.663400
594.968	3.597340
597.069	3.590570
599.111	3.583490
601.153	3.650680
603.193	3.617440
605.232	3.575220
607.310	3.578650
609.393	3.563860
611.432	3.515270
613.474	3.533540
615.493	3.551150
617.532	3.505720
619.574	3.526870
621.655	3.627540
623.715	3.529390
625.777	3.528730
627.847	3.583660
629.889	3.588450
631.949	3.598130
634.030	3.536450
636.108	3.552790
638.129	3.543470
640.230	3.498870
642.290	3.642830
644.430	3.509510
646.490	3.603490
648.630	3.608710
650.672	3.535580
652.711	3.668920
654.771	3.473090
656.813	3.552720
658.932	3.630540
660.974	3.543470
663.075	3.553860
665.155	3.565920
667.195	3.685910
669.255	3.586880
671.338	3.589210
673.416	3.588380
675.476	3.584170
677.520	3.675290
679.557	3.695410
681.638	3.642360
683.679	3.563990
685.719	3.676220
687.758	3.636010
689.818	3.605710
691.878	3.497500
693.920	3.726290
695.959	3.692080
698.022	3.612060
700.061	3.652510
702.139	3.613020
704.163	3.703910
706.182	3.689890
708.257	3.626270
710.358	3.688680
