Elapsed time [s]	Value [0,700]
0.000	199.9720
0.303	200.0360
2.322	200.0700
4.361	200.0300
6.421	199.9910
8.502	200.0360
10.582	200.0150
14.743	200.0420
16.785	200.0030
18.830	200.0240
20.905	199.9950
22.965	200.0520
25.025	199.9660
27.067	200.0050
29.127	199.9760
33.247	200.0210
37.328	200.0000
39.391	200.0320
43.490	199.9940
45.529	200.0400
47.612	200.0020
51.799	199.9670
53.841	199.9990
57.961	200.0250
59.982	199.9990
64.087	199.9650
68.242	200.0530
70.328	200.0200
74.489	199.9860
78.589	200.0440
82.649	199.9860
86.828	199.9650
90.928	200.0230
97.128	199.9870
99.149	200.0330
101.227	200.0110
103.269	199.9740
105.342	200.0060
107.404	199.9630
109.565	199.9930
113.705	199.9670
123.897	200.0250
126.008	199.9780
128.086	200.0010
132.188	199.9640
134.227	199.9860
138.311	199.9550
140.371	199.9780
146.530	200.0070
152.713	199.9800
154.755	199.9560
156.815	199.9320
158.854	200.0090
162.984	200.0300
167.096	199.9970
169.156	199.9450
171.257	199.9220
173.299	199.9540
175.359	199.9810
177.399	199.9600
183.599	199.9990
189.745	199.9760
195.925	200.0120
200.084	200.0430
202.102	200.0090
204.165	200.0370
206.204	199.9990
212.345	200.0490
216.465	200.0260
228.910	200.0550
231.011	200.0230
233.091	200.0460
237.175	200.0250
249.476	200.0650
253.557	200.0090
255.640	199.9840
257.682	200.0690
259.737	199.9750
261.797	200.0000
270.006	200.0230
274.079	200.0500
276.139	200.0030
280.261	200.0440
282.321	200.0150
284.366	199.9870
288.530	199.9350
290.587	200.0000
298.729	200.0220
300.768	199.9930
319.341	199.9600
321.419	199.9340
323.541	199.9850
325.583	199.9570
329.762	199.9960
352.635	200.0260
354.656	199.9740
356.739	199.9360
358.820	199.9770
369.163	200.0300
371.203	199.9970
383.503	199.9660
385.545	200.0010
387.587	199.9750
389.644	199.9410
397.866	199.9730
402.045	200.0250
404.084	199.9950
420.507	200.0430
426.669	200.0200
428.729	199.9950
434.849	200.0290
436.891	199.9910
440.975	200.0570
445.092	200.0300
451.275	199.9820
453.335	200.0040
457.516	200.0370
459.618	199.9880
463.838	199.9530
470.097	200.0120
474.158	199.9630
478.278	200.0200
480.338	199.9990
482.380	199.9750
490.581	200.0450
494.742	200.0150
503.023	199.9790
505.083	200.0260
509.185	200.0020
513.284	200.0340
517.386	199.9960
519.464	199.9580
521.506	200.0040
525.690	199.9810
527.768	200.0110
529.810	199.9570
531.916	199.9800
536.018	200.0010
538.060	200.0290
540.120	200.0000
542.162	200.0320
546.261	200.0530
548.342	200.0030
554.457	199.9480
558.600	200.0030
562.782	200.0240
564.821	199.9590
568.941	199.9900
577.181	199.9600
579.261	199.9820
583.384	199.9540
587.519	200.0370
589.633	199.9620
591.742	199.9830
593.799	200.0070
597.927	200.0340
599.984	199.9980
604.065	200.0290
606.102	200.0050
610.263	199.9820
616.425	199.9480
618.485	200.0060
628.651	200.0270
641.062	200.0060
663.814	200.0490
665.856	200.0260
667.898	199.9930
678.213	200.0530
680.219	199.9990
682.279	200.0530
684.318	200.0010
690.521	200.0390
694.638	199.9880
696.701	200.0140
702.878	200.0540
704.938	200.0240
711.138	199.9860
713.198	200.0090
717.321	200.0310
