Elapsed time [s]	Value [0,100]
0.000	5.241800
0.471	5.183970
2.531	5.184970
4.572	5.217820
6.612	5.205150
8.695	5.166380
10.737	5.197290
12.835	5.224610
14.895	5.160240
16.976	5.227400
19.018	5.200340
21.057	5.177340
23.099	5.141580
25.159	5.298520
27.219	5.201340
29.258	5.241230
31.300	5.193300
33.360	5.164190
35.399	5.238790
37.498	5.182780
39.560	5.168910
41.649	5.186020
43.729	5.255910
45.789	5.167690
47.849	5.209860
49.961	5.212650
52.000	5.179130
54.021	5.188280
56.061	5.213220
58.120	5.120720
60.160	5.194220
62.181	5.219140
64.241	5.238000
66.283	5.244850
68.343	5.130990
70.462	5.194430
72.545	5.195700
74.623	5.212110
76.665	5.229360
78.725	5.160080
80.764	5.215360
82.845	5.217500
84.866	5.279890
86.947	5.219900
88.989	5.185200
91.087	5.121340
93.132	5.208440
95.207	5.236690
97.267	5.183820
99.330	5.218800
101.369	5.215390
103.470	5.233470
105.530	5.215750
107.598	5.210770
109.665	5.207570
111.746	5.185410
113.808	5.213030
115.850	5.255180
117.908	5.197780
119.949	5.214220
121.989	5.197930
124.010	5.135140
126.127	5.243030
128.187	5.173220
130.249	5.248170
132.350	5.228120
134.390	5.202890
138.509	5.218080
140.531	5.212630
142.609	5.174170
144.671	5.225610
146.752	5.212180
148.791	5.186660
150.833	5.158470
152.872	5.256090
156.995	5.246870
159.075	5.125560
161.156	5.246200
163.234	5.176940
165.253	5.214800
167.315	5.235710
169.334	5.229760
171.394	5.265330
173.474	5.249090
175.516	5.245460
177.635	5.213090
179.677	5.246140
181.737	5.235630
183.818	5.187830
185.870	5.223750
187.896	5.215660
189.977	5.243420
192.040	5.152540
194.079	5.274020
196.139	5.141550
198.178	5.224080
200.220	5.211700
202.339	5.228770
204.399	5.191420
206.482	5.240880
208.545	5.224240
210.602	5.219630
212.641	5.221800
214.704	5.178480
216.761	5.230200
218.842	5.231640
220.884	5.182080
222.967	5.216950
225.027	5.212440
227.149	5.213780
229.268	5.180310
231.330	5.200200
233.372	5.211420
235.432	5.170910
237.471	5.182830
239.490	5.223110
241.571	5.116420
243.672	5.226960
245.714	5.163340
247.735	5.197070
249.774	5.127740
251.821	5.158880
253.897	5.178880
255.977	5.159640
260.056	5.262470
262.077	5.189650
264.140	5.177790
266.218	5.207860
268.260	5.213350
270.299	5.179280
272.341	5.187750
274.362	5.191390
276.422	5.176940
278.464	5.197360
280.537	5.165250
282.620	5.223390
284.659	5.159300
286.753	5.222020
288.854	5.225180
290.973	5.189080
293.054	5.191500
295.134	5.169710
297.174	5.142690
299.195	5.202390
301.234	5.193560
303.274	5.202440
305.315	5.216360
307.355	5.228960
309.417	5.243270
311.477	5.135340
313.496	5.222060
315.538	5.206440
317.577	5.194570
319.658	5.203330
321.738	5.285390
323.760	5.196090
325.820	5.233490
327.841	5.200410
329.919	5.206150
331.981	5.220770
334.021	5.236980
336.063	5.169350
338.143	5.249210
340.182	5.176360
342.204	5.200480
344.297	5.262530
346.416	5.171880
348.515	5.211440
350.675	5.199680
352.738	5.228460
354.798	5.223420
356.858	5.244320
358.959	5.199480
361.001	5.181770
363.099	5.217510
365.139	5.229010
367.198	5.223590
369.279	5.166840
371.339	5.270640
373.404	5.215480
375.485	5.220190
377.545	5.219580
379.604	5.237020
381.726	5.238140
383.766	5.232620
385.787	5.186180
387.826	5.265360
389.907	5.273660
391.967	5.221930
394.006	5.252330
396.087	5.261850
398.131	5.181960
400.150	5.255230
402.207	5.172080
404.275	5.215930
406.438	5.267380
408.511	5.222640
410.645	5.204500
412.687	5.233460
414.706	5.208140
416.807	5.243530
418.867	5.162490
420.888	5.177390
422.948	5.216370
424.967	5.202600
427.068	5.250270
429.149	5.243810
431.250	5.261120
433.310	5.162650
435.349	5.193140
437.411	5.288550
439.471	5.155840
441.531	5.153990
443.591	5.199290
445.633	5.213410
447.693	5.206000
449.794	5.204750
451.844	5.181840
453.932	5.204160
455.974	5.174360
458.093	5.202720
460.135	5.239240
462.236	5.187700
464.335	5.266500
466.395	5.257560
468.465	5.149710
470.597	5.203080
472.675	5.197720
474.737	5.192340
476.797	5.216370
478.857	5.158870
480.938	5.216890
482.998	5.211490
485.058	5.221810
487.100	5.220210
489.139	5.193780
491.199	5.180540
493.241	5.190530
495.319	5.127630
497.361	5.207300
499.423	5.233600
501.463	5.235630
503.484	5.208330
505.523	5.125810
507.545	5.193030
509.607	5.237280
511.667	5.177600
513.706	5.149580
515.748	5.216510
517.772	5.227920
519.806	5.241720
521.848	5.188600
523.934	5.162200
525.989	5.211280
528.108	5.242910
530.129	5.203010
532.197	5.247350
534.259	5.222610
536.317	5.134350
538.359	5.203820
540.419	5.153350
542.460	5.194060
