Elapsed time [s]	Value [0,2000]
0.000	1617.430
2.765	1617.250
13.013	1616.990
19.275	1616.820
25.463	1616.530
31.576	1616.350
35.665	1616.170
46.005	1615.840
52.206	1615.660
58.406	1615.470
62.508	1615.300
70.689	1615.020
79.001	1614.780
87.317	1614.520
91.479	1614.270
101.843	1614.000
108.022	1613.770
116.206	1613.550
124.466	1613.240
132.713	1612.920
140.971	1612.670
151.353	1612.390
153.395	1612.180
159.536	1611.990
169.756	1611.770
175.879	1611.570
182.062	1611.310
190.304	1611.040
200.586	1610.760
202.666	1610.580
210.929	1610.410
219.169	1610.200
221.249	1609.980
229.554	1609.730
235.754	1609.520
241.934	1609.330
250.194	1609.120
256.317	1608.820
262.479	1608.580
270.701	1608.370
278.922	1608.050
287.149	1607.860
293.327	1607.650
299.468	1607.450
305.673	1607.210
311.889	1607.040
318.077	1606.860
322.191	1606.630
330.444	1606.450
336.683	1606.280
338.738	1606.110
346.939	1605.880
353.083	1605.710
355.140	1605.530
365.363	1605.210
373.584	1605.030
377.763	1604.810
385.980	1604.500
394.266	1604.280
400.389	1604.110
404.489	1603.840
410.668	1603.670
418.931	1603.490
425.072	1603.260
429.151	1603.070
435.333	1602.880
439.497	1602.700
451.934	1602.390
458.096	1602.200
462.182	1601.950
472.497	1601.660
482.699	1601.340
488.882	1601.170
497.188	1600.840
503.407	1600.620
509.563	1600.390
515.725	1600.210
521.882	1599.970
598.241	1600.130
600.301	1599.950
625.046	1600.110
658.126	1599.880
660.186	1600.080
689.100	1599.890
709.684	1600.120
713.803	1599.900
724.070	1600.090
734.310	1599.920
742.509	1600.100
752.775	1599.860
754.855	1600.070
779.575	1599.830
781.601	1599.990
1098.945	1600.170
1103.041	1600.010
1490.351	1599.960
1552.298	1600.170
1554.342	1599.960
1560.481	1600.160
1564.580	1599.840
1566.640	1600.020
1669.786	1599.860
1673.886	1600.040
1684.191	1599.860
1688.336	1600.080
1700.737	1599.860
1702.776	1600.090
1735.586	1599.890
1743.779	1600.100
1756.221	1599.920
1807.710	1600.110
1809.769	1599.900
1830.256	1600.080
1873.427	1599.890
1877.567	1600.110
1904.393	1599.930
1912.555	1600.100
1920.795	1599.890
1924.899	1600.060
1970.156	1599.900
1974.255	1600.080
1986.579	1599.870
1990.740	1600.090
1994.839	1599.910
2009.290	1600.090
2015.449	1599.920
2069.172	1600.100
2083.556	1599.930
2118.518	1600.160
2120.562	1599.960
2250.163	1600.120
2256.369	1599.900
2260.468	1600.120
2262.528	1599.950
2293.370	1600.110
2295.436	1599.870
2297.511	1600.050
2322.230	1599.860
2328.369	1600.020
2483.142	1599.850
2487.283	1600.090
2505.858	1599.890
2514.082	1600.100
2518.161	1599.930
2522.265	1600.100
2532.586	1599.890
2536.711	1600.070
2553.128	1599.870
2555.245	1600.080
2567.563	1599.910
2575.875	1600.080
2623.321	1599.900
2650.002	1600.100
2666.507	1599.870
2672.667	1600.120
2699.528	1599.920
2705.698	1600.120
2715.972	1599.920
2720.097	1600.090
2724.196	1599.900
2748.848	1600.070
2752.927	1599.900
2754.987	1600.070
2796.196	1599.890
2804.436	1600.060
2868.170	1599.890
2896.870	1600.140
2905.156	1599.950
2936.163	1600.110
2944.341	1599.940
2946.386	1600.110
2950.506	1599.940
2956.644	1600.110
2960.744	1599.940
2966.949	1600.130
2971.048	1599.930
2983.470	1600.140
2999.934	1599.950
3185.380	1600.150
3187.398	1599.970
3222.453	1600.130
3226.547	1599.950
3333.880	1600.110
3338.000	1599.910
3377.010	1600.150
3379.050	1599.990
3712.790	1600.200
3714.855	1599.980
3815.937	1600.160
3817.971	1599.970
4058.582	1600.140
4064.767	1599.910
4066.806	1600.160
4068.866	1599.960
4204.899	1600.120
4211.140	1599.870
4215.307	1600.090
4217.361	1599.890
4219.380	1600.060
4322.279	1599.890
4332.563	1600.080
4470.605	1599.910
4495.298	1600.100
4503.497	1599.890
4505.541	1600.150
4509.661	1599.930
4534.406	1600.120
4542.651	1599.870
4546.756	1600.060
4550.876	1599.890
4555.057	1600.130
4557.097	1599.950
4561.196	1600.130
4567.319	1599.940
4573.519	1600.100
4581.800	1599.910
4583.860	1600.080
4587.996	1599.910
4606.550	1600.150
4608.631	1599.970
4816.576	1600.130
4818.611	1599.870
4822.694	1600.040
