Elapsed time [s]	Value [0,100]
0.000	36.81100
0.849	36.86210
2.888	36.84500
4.948	36.72980
6.967	36.87880
9.048	36.79060
11.090	36.72010
13.129	36.82770
15.173	36.77070
17.295	36.60100
19.425	36.82520
21.436	36.67160
23.516	36.80570
25.581	36.85370
27.644	36.69500
29.683	36.66430
31.725	36.68100
33.805	36.55750
35.865	36.86160
37.946	36.74870
40.006	36.72460
42.135	36.70930
44.167	36.69920
46.248	36.74020
48.349	36.64930
50.388	36.68300
52.466	36.85150
54.510	36.71700
56.550	36.69720
58.571	36.65370
60.610	36.70430
62.668	36.80530
64.748	36.82910
66.829	36.60670
68.868	36.66660
70.928	36.86720
72.970	36.61130
75.079	36.72250
77.118	36.59430
79.160	36.70830
81.243	36.68000
83.319	36.42610
85.420	36.71690
87.480	36.72410
89.540	36.66200
91.620	36.76660
93.680	36.63330
95.740	36.65330
97.862	36.62640
99.919	36.64000
102.002	36.60680
104.044	36.57680
106.143	36.75630
108.205	36.66850
110.283	36.72400
112.325	36.70630
114.444	36.62120
116.486	36.62550
118.567	36.53950
120.627	36.58820
122.707	36.51740
124.726	36.75890
126.788	36.47950
128.810	36.81860
130.849	36.56790
132.930	36.69750
135.028	36.42060
137.109	36.51430
139.169	36.65180
141.211	36.61130
143.250	36.61760
145.310	36.52050
147.359	36.60100
149.430	36.48830
151.472	36.63560
153.534	36.71740
155.594	36.37810
157.675	36.59510
159.735	36.79220
161.756	36.43660
163.816	36.70050
165.876	36.55180
167.964	36.41990
169.998	36.55730
172.097	36.46540
174.139	36.66360
176.219	36.60130
178.259	36.46420
180.339	36.72090
182.407	36.48920
184.441	36.56120
186.521	36.73740
188.581	36.61010
190.608	36.53900
192.701	36.46080
194.723	36.43790
196.744	36.60490
198.783	36.41310
200.882	36.48460
202.921	36.64010
204.981	36.45470
207.082	36.65000
209.163	36.39070
211.205	36.54650
213.285	36.48510
215.325	36.44990
217.364	36.29980
219.406	36.53150
223.541	36.47750
225.601	36.31050
227.661	36.37440
229.721	36.69870
231.822	36.34210
233.882	36.48840
235.901	36.50380
237.943	36.43810
