Elapsed time [s]	Value [0,2000]
0.000	1617.450
0.767	1617.250
6.928	1617.050
13.067	1616.840
19.334	1616.630
25.522	1616.430
31.684	1616.220
37.887	1616.010
44.067	1615.810
50.228	1615.600
56.406	1615.400
62.629	1615.190
68.806	1614.980
74.958	1614.780
81.163	1614.570
87.418	1614.360
93.621	1614.160
99.860	1613.950
106.084	1613.740
112.284	1613.540
118.528	1613.330
124.646	1613.130
130.767	1612.920
136.967	1612.710
143.111	1612.510
149.332	1612.300
155.535	1612.100
161.694	1611.890
167.876	1611.680
174.097	1611.480
180.277	1611.270
186.439	1611.070
192.583	1610.860
198.742	1610.660
204.942	1610.450
211.122	1610.240
217.299	1610.040
223.479	1609.830
229.662	1609.630
235.888	1609.420
242.063	1609.220
248.263	1609.010
254.365	1608.810
260.540	1608.600
266.679	1608.400
272.882	1608.190
279.080	1607.980
285.241	1607.780
291.383	1607.580
297.503	1607.370
303.626	1607.160
309.870	1606.960
316.091	1606.750
322.253	1606.550
328.500	1606.340
334.662	1606.130
340.860	1605.930
347.039	1605.720
353.142	1605.520
359.342	1605.310
365.484	1605.110
371.684	1604.900
377.846	1604.700
384.028	1604.490
390.187	1604.280
396.408	1604.080
402.588	1603.870
408.809	1603.660
414.930	1603.460
421.092	1603.250
427.253	1603.050
433.415	1602.840
439.634	1602.640
445.855	1602.430
451.975	1602.230
458.137	1602.020
464.296	1601.820
470.499	1601.610
476.638	1601.400
482.800	1601.200
488.956	1601.000
495.185	1600.790
501.403	1600.580
507.545	1600.380
513.724	1600.170
519.886	1600.000
