Elapsed time [s]	Value [0,1]
0.000	1.32262E-3
7.686	1.32239E-3
9.704	1.32276E-3
11.726	1.34047E-3
17.792	1.32268E-3
19.808	1.30555E-3
21.832	1.29066E-3
23.848	1.27222E-3
27.888	1.27186E-3
29.910	1.27939E-3
31.931	1.28739E-3
33.952	1.28876E-3
35.971	1.30419E-3
37.995	1.30534E-3
40.011	1.28948E-3
42.032	1.28837E-3
44.054	1.30537E-3
46.072	1.30558E-3
48.091	1.32308E-3
50.112	1.32269E-3
52.134	1.32349E-3
54.155	1.32301E-3
58.200	1.32276E-3
60.216	1.30560E-3
62.238	1.30653E-3
64.257	1.30613E-3
66.278	1.30586E-3
68.297	1.30525E-3
70.318	1.30826E-3
72.339	1.30702E-3
74.358	1.32207E-3
76.379	1.32255E-3
78.398	1.32276E-3
80.419	1.30716E-3
82.441	1.30581E-3
84.462	1.30537E-3
86.481	1.30505E-3
88.512	1.30570E-3
90.523	1.30498E-3
92.542	1.30673E-3
94.563	1.30515E-3
96.582	1.32035E-3
98.603	1.32264E-3
100.625	1.33001E-3
102.651	1.32702E-3
104.665	1.32311E-3
106.686	1.32263E-3
112.747	1.32247E-3
114.766	1.32280E-3
116.790	1.32263E-3
118.806	1.32287E-3
120.843	1.32264E-3
134.977	1.32288E-3
136.990	1.32262E-3
145.073	1.33770E-3
147.094	1.34032E-3
149.113	1.33557E-3
151.139	1.34032E-3
153.156	1.32463E-3
155.174	1.34041E-3
157.196	1.33404E-3
159.220	1.32264E-3
163.262	1.30538E-3
165.278	1.30507E-3
167.315	1.30469E-3
169.318	1.30502E-3
175.382	1.30534E-3
177.401	1.30474E-3
179.420	1.31257E-3
181.441	1.32259E-3
189.521	1.32290E-3
191.543	1.32263E-3
193.564	1.33638E-3
195.583	1.32483E-3
197.604	1.32262E-3
201.644	1.32280E-3
203.665	1.32262E-3
205.689	1.31237E-3
207.708	1.30491E-3
211.751	1.32265E-3
215.793	1.32986E-3
217.807	1.33971E-3
219.828	1.34047E-3
221.852	1.33622E-3
223.868	1.34017E-3
227.908	1.34047E-3
229.929	1.34028E-3
231.951	1.34047E-3
235.991	1.34076E-3
238.012	1.34012E-3
240.031	1.34040E-3
242.052	1.34024E-3
244.074	1.34047E-3
246.092	1.34019E-3
248.126	1.34046E-3
250.135	1.34113E-3
252.156	1.34055E-3
256.196	1.34038E-3
260.236	1.34005E-3
262.258	1.34044E-3
270.340	1.34072E-3
272.359	1.34011E-3
274.378	1.33986E-3
276.399	1.32282E-3
286.500	1.35412E-3
288.540	1.35793E-3
290.556	1.35827E-3
294.599	1.35788E-3
296.620	1.36448E-3
298.639	1.37335E-3
300.660	1.37467E-3
304.700	1.35853E-3
306.721	1.35786E-3
310.761	1.35820E-3
316.828	1.36106E-3
318.849	1.37473E-3
320.863	1.37269E-3
322.884	1.37392E-3
324.905	1.37519E-3
326.924	1.37369E-3
328.945	1.37549E-3
332.988	1.38777E-3
335.007	1.38996E-3
337.028	1.41466E-3
339.047	1.51030E-3
341.068	2.09659E-3
343.090	4.74139E-3
345.108	1.07945E-2
347.130	1.72010E-2
349.148	2.28540E-2
351.170	3.37121E-2
353.191	3.10912E-2
355.212	2.67817E-2
357.231	4.30583E-2
359.250	4.15397E-2
361.271	2.33190E-2
363.295	4.28554E-2
365.314	4.63797E-2
367.332	2.49976E-2
369.354	6.41318E-2
371.375	2.22705E-2
373.394	3.81401E-2
375.420	7.80330E-2
377.439	2.37852E-2
379.460	5.52823E-2
381.476	2.59361E-2
383.498	3.06292E-2
385.516	7.91234E-2
387.538	2.23960E-2
389.557	4.32282E-2
391.578	5.07083E-2
393.602	2.56619E-2
395.618	6.44485E-2
397.639	2.29243E-2
399.658	3.48941E-2
401.679	8.84764E-2
403.701	2.36681E-2
405.724	7.15666E-2
407.746	3.15830E-2
409.765	2.67392E-2
411.799	2.33293E-2
413.828	2.23460E-2
415.844	2.07365E-2
417.865	1.96847E-2
419.884	1.96500E-2
421.908	1.98486E-2
423.924	1.99488E-2
425.945	1.99671E-2
429.988	1.99530E-2
432.007	1.99237E-2
434.028	1.99024E-2
438.099	1.99144E-2
440.092	1.99665E-2
442.108	1.99843E-2
444.129	1.99721E-2
446.153	1.99680E-2
448.172	1.99525E-2
450.191	1.99668E-2
454.231	1.99559E-2
456.252	1.99406E-2
458.271	1.99765E-2
460.292	2.00188E-2
462.313	1.99858E-2
466.356	2.00013E-2
470.396	1.99875E-2
472.420	1.99765E-2
474.436	1.99539E-2
476.460	1.99466E-2
478.476	1.99350E-2
482.516	1.99225E-2
484.538	1.99512E-2
492.618	1.99830E-2
494.639	2.00013E-2
498.679	1.99766E-2
500.703	1.99556E-2
502.737	1.99389E-2
504.740	2.00242E-2
506.764	2.00687E-2
