Elapsed time [s]	Value [0,70]
0.000	34.98950
6.074	34.99450
10.173	34.98790
12.225	34.99590
18.374	34.99030
24.525	34.99560
30.682	34.99930
32.727	34.99540
53.231	35.00010
63.484	34.99490
69.643	34.99910
75.784	34.99230
77.834	35.00010
83.986	34.99350
88.085	34.99820
102.437	34.99260
106.539	34.99990
108.589	34.99560
114.740	35.00290
116.803	34.99790
118.840	35.00150
124.991	34.99420
131.143	34.99910
139.344	35.00560
141.393	34.99430
143.443	34.99980
157.801	34.99480
161.900	35.00110
168.052	34.99750
180.349	35.00290
186.501	34.99770
188.551	35.00190
196.752	34.99680
213.159	34.99080
215.204	34.99840
231.606	34.99310
233.655	34.99850
262.366	34.99290
268.512	34.99670
293.115	35.00370
297.253	34.99840
301.355	34.99480
305.454	35.00020
323.909	34.99660
325.961	35.00210
342.361	34.99810
346.463	35.00360
348.512	34.99510
350.565	35.00160
352.614	34.99430
354.664	34.99870
360.815	34.99470
362.865	34.99880
391.570	35.00280
395.669	35.00740
399.771	35.00040
410.022	35.00630
412.072	34.99830
418.223	35.00250
422.328	34.99720
442.826	35.00110
453.077	34.99750
455.127	35.00460
463.328	35.00090
471.532	35.00450
475.636	35.00080
489.989	35.00720
494.088	35.00300
498.185	34.99660
504.336	35.00320
512.535	34.99950
516.637	34.99580
524.838	35.00080
530.989	34.99210
537.138	34.99700
567.893	35.00200
569.945	34.99250
574.044	34.99600
582.246	34.98820
586.345	34.99210
606.854	34.99680
610.951	34.99200
615.050	34.99870
617.100	34.99220
619.152	34.99680
621.202	34.99320
623.251	34.99710
635.554	34.99170
639.653	34.99820
645.805	35.00190
649.904	34.99620
656.063	34.99240
660.155	34.99930
668.359	34.99460
672.458	35.00050
674.513	34.99680
680.659	35.00360
682.714	34.99980
684.761	34.99520
692.962	35.00360
697.066	34.99780
707.312	34.99400
711.414	34.99770
719.656	34.99410
723.768	34.99890
731.959	34.99410
734.009	35.00020
736.058	34.99610
738.108	35.00130
740.158	34.99760
742.210	34.99410
748.361	34.99960
772.965	35.00440
781.166	35.00040
785.265	35.00620
787.315	35.00210
791.417	34.99480
795.516	35.00090
818.070	35.00480
826.271	34.99870
846.775	35.00490
848.825	34.99930
850.874	34.99360
854.979	34.99820
857.028	35.00190
871.378	34.99800
873.428	35.00480
875.480	34.99920
879.579	35.00450
881.632	35.00070
883.681	34.99720
885.731	35.00200
889.835	35.00550
891.882	35.00150
893.932	35.00540
898.034	35.00140
904.183	34.99400
906.235	34.99990
922.637	35.00540
926.736	35.00170
928.789	35.00530
936.987	35.00040
943.139	35.00420
945.188	34.99740
951.340	35.00170
965.692	35.00580
975.948	34.99690
977.993	35.00230
984.144	34.99850
988.246	35.00310
1006.698	35.00720
1010.800	35.00170
1023.100	35.00580
1037.453	34.99980
1039.513	35.00440
1041.557	35.00030
1043.607	34.99490
1045.659	35.00080
1047.709	34.99710
1055.905	35.00150
1092.811	34.99770
1094.861	35.00120
1121.516	35.00580
1125.618	34.99940
1137.957	35.00370
1140.007	34.99880
1142.059	35.00370
1146.161	35.00000
1156.440	34.99650
1158.461	35.00130
1162.563	34.99570
1164.613	35.00390
1174.864	34.99960
1181.015	35.00500
1189.216	35.00030
1201.517	34.99580
1213.820	35.00050
1219.971	35.00490
1222.021	34.99780
1226.120	35.00250
1228.172	34.99770
1242.522	35.00270
1244.572	34.99860
1246.624	34.99510
1263.026	34.99150
1265.076	34.99960
1267.128	35.00340
1269.178	34.99950
1271.227	35.00340
1275.327	34.99850
1322.484	35.00350
1326.586	34.99800
1330.685	35.00630
1332.735	35.00280
1336.836	34.99800
1340.938	35.00690
1347.087	35.00170
1353.239	34.99750
1365.539	35.00730
1367.591	35.00080
1381.944	34.99650
1392.195	35.00580
1394.244	34.99670
1398.346	35.00450
1402.448	35.00090
1404.503	35.00540
1406.550	35.00180
1412.696	35.00960
1416.798	35.00220
1425.004	35.00710
1443.456	35.00310
1457.804	34.99780
1468.052	35.00460
1472.156	34.99450
1474.206	34.99940
1490.608	35.00050
1496.757	34.99070
1498.807	34.99770
1500.861	35.00350
1502.911	35.00000
1511.110	34.99510
1513.159	35.00100
1521.363	34.99680
1548.018	34.99040
1552.118	34.99840
1558.308	34.99320
1574.710	34.99750
1576.765	34.99230
1582.914	34.99930
1587.013	34.99490
1613.669	34.99900
1615.718	34.99510
1617.768	34.99930
1634.170	34.99100
1640.324	34.99780
1642.374	34.99400
1658.776	34.98830
1660.826	34.99400
1664.925	34.98950
1669.040	34.99600
1681.327	35.00020
1685.427	34.99020
1689.531	34.99580
1697.735	34.99160
1701.829	34.99730
1712.082	35.00430
1714.132	34.99950
1753.085	34.99390
1759.239	34.99790
1763.344	35.00570
1765.393	34.99900
1767.438	35.00650
1771.542	34.99980
1773.592	35.00360
1777.691	34.99990
1781.790	35.00390
1785.900	34.99780
1794.093	35.00130
1802.292	35.00500
1816.645	35.00000
1820.749	35.00620
1826.898	35.00090
1835.102	35.00790
1855.608	35.00430
1880.204	35.00840
1892.507	35.00390
1904.810	35.00740
1906.870	35.00260
1913.013	35.00950
1919.162	35.00430
1931.460	35.00980
1933.515	35.00570
1966.319	35.00970
1968.369	35.00250
1972.468	35.00830
1976.614	35.00370
1984.813	35.00000
1990.961	34.99640
1993.016	35.00170
1999.165	34.99710
2009.419	35.00070
2013.518	34.99590
2021.716	35.00130
2029.920	34.99600
2031.970	34.99990
2036.069	34.99480
2042.223	34.99910
2054.526	35.00260
2077.077	34.99630
2079.127	35.00050
2095.529	35.00560
2107.832	35.00130
2146.791	34.99650
2157.039	35.00220
2159.088	34.99350
2163.188	34.99790
2167.287	35.00190
2173.441	34.99830
2175.491	35.00370
2177.540	34.99850
2179.590	35.00860
2181.640	35.00280
2191.893	35.00690
2193.948	35.00170
2202.141	35.00660
2216.494	35.01140
2218.548	35.00680
2230.851	35.00200
2232.896	35.00590
2243.149	35.00130
2245.199	35.00750
2247.248	35.00330
2249.298	35.01020
2257.502	35.00420
2263.651	35.00810
2271.854	35.01240
2273.904	35.00640
2280.058	35.01100
2292.361	35.00480
2294.406	35.00990
2308.763	35.01900
2310.808	35.01310
2314.917	35.00720
2319.012	35.01130
2323.116	35.00700
2325.166	35.01060
2329.265	35.01710
2333.369	35.01340
2343.628	35.00860
2347.722	35.01350
2351.821	35.00910
2353.871	35.01520
2360.020	35.00310
2362.069	35.01000
2364.119	35.00330
2370.273	35.01010
2372.323	35.00480
2376.422	35.00850
2382.571	35.01370
2384.621	35.00510
2392.829	35.00890
2396.965	35.00530
2403.114	34.99950
2405.163	35.00570
2415.417	34.99850
2417.476	35.00530
2425.665	35.00140
2429.769	35.00710
2431.819	35.00200
2435.923	35.00950
2437.968	35.00180
2440.023	35.00620
2442.072	35.00060
2444.122	35.00780
2450.276	35.00120
2474.877	35.00670
2478.981	35.00200
2499.477	35.00660
2509.731	34.99900
2524.083	35.00470
2528.183	35.00050
2530.232	35.00780
2532.282	35.01150
2534.332	35.00760
2536.386	35.00380
2542.535	35.00970
2546.635	35.00510
2548.684	35.00900
2550.734	35.00310
2554.838	35.00680
2567.136	35.00140
2571.240	35.00840
2573.290	35.00390
2581.489	35.01140
2585.588	35.00750
2593.792	35.01200
2601.995	35.00750
2610.194	35.01120
2624.546	35.00460
2628.646	35.01010
2638.899	35.00610
2655.301	35.01170
2659.401	35.00740
2673.753	35.00340
2686.056	35.01290
2690.155	35.00850
2694.255	35.00340
2702.458	35.00780
2716.811	35.00120
2720.910	35.00620
2727.059	35.01140
2729.109	35.00510
2733.213	34.99950
2739.362	35.00890
2751.665	35.00330
2757.814	35.00810
2770.122	35.00280
2772.167	35.00710
2774.221	34.99840
2780.370	34.99340
2784.475	34.99960
2786.524	35.00450
2798.822	34.99780
2809.070	34.99200
2811.120	34.99780
2839.866	34.99320
2841.921	34.99740
2846.021	34.99310
2854.219	34.98960
2862.423	34.99490
2899.327	34.98430
2903.426	34.99220
2919.833	35.00060
2921.883	34.99270
2923.932	34.99730
2930.081	34.99320
2942.384	34.98920
2948.538	34.99340
2958.787	34.98890
2962.886	34.99260
2966.985	34.99960
2969.035	34.99450
2973.144	34.98960
2977.238	34.99540
2979.288	34.99120
2985.437	34.98630
2987.492	34.99060
2989.541	34.99480
3001.844	34.98850
3007.993	34.99260
3020.291	34.98850
3026.445	34.98320
3028.495	34.98720
3034.649	34.98120
3036.699	34.98510
3042.847	34.98930
3046.947	34.98500
3048.996	34.98880
3051.051	34.98320
3055.150	34.98830
3075.652	34.98390
3077.702	34.98980
3079.751	34.98520
3081.806	34.98990
3085.910	34.98120
3087.955	34.98580
3102.308	34.98960
3110.516	34.98420
3120.759	34.98830
3126.908	34.99350
3135.112	34.98880
3147.410	34.99470
3153.564	34.98880
3169.966	34.99360
3182.269	34.98970
3188.423	34.99610
3198.677	34.99020
3200.721	34.99540
3208.925	34.99080
3223.272	34.99530
3229.452	35.00070
3233.525	34.99700
3237.681	35.00080
3239.716	34.99160
3241.770	34.99530
3243.820	34.99910
3247.919	34.99390
3266.371	35.00170
3317.628	35.00600
3319.677	34.99980
3321.732	35.00460
3325.831	34.99960
3334.030	35.00510
3356.586	35.00990
3358.636	35.00270
3366.834	35.00650
3379.137	35.00230
3389.391	35.00650
3393.490	35.00120
3399.639	35.00620
3401.694	35.00020
3409.892	34.99650
3413.991	35.00180
3432.448	35.00790
3436.548	35.00280
3440.647	34.99550
3442.697	34.99990
3446.796	35.00550
3455.000	34.99880
3461.148	35.00360
3463.198	34.99730
3469.352	35.00660
3473.451	34.99470
3479.600	34.99850
3500.107	35.00250
3514.454	35.00680
3524.708	35.00300
3534.961	35.00730
3539.060	35.00190
3547.264	35.00600
3551.374	35.00100
3555.463	34.99640
3557.512	35.00360
3573.915	35.00920
3582.118	35.00550
3586.218	34.99800
3588.267	35.00160
3596.466	35.00790
3598.521	35.00370
3610.818	34.99820
3612.873	35.00310
3621.072	35.00690
3623.121	35.00050
3625.171	35.00410
3627.221	35.00060
3629.275	34.99570
3635.424	35.00340
3645.672	34.99820
3664.171	35.00350
3668.270	34.99340
3670.325	35.00070
3672.380	34.99550
3676.479	34.99910
3699.025	35.00310
3703.124	34.99940
3709.355	35.00430
3711.343	34.99840
3717.477	34.99390
3719.526	34.99900
3735.929	34.99550
3742.083	34.99900
3746.182	35.00350
3752.331	34.99610
3754.380	35.00010
3772.837	35.00480
3778.986	35.00040
3793.339	34.99340
3795.389	34.99750
3797.438	35.00380
3801.538	35.00000
3805.642	34.99620
3815.895	35.00000
3832.298	34.99560
3836.397	35.00050
3838.446	34.99470
3848.695	34.99910
3852.799	34.99440
3856.898	35.00050
3861.003	34.99470
3871.251	34.99080
3877.400	34.99430
3891.758	34.99050
3893.802	34.99410
3902.006	34.98990
3906.105	34.99560
3920.458	35.00190
3922.507	34.99310
3924.557	34.99770
3928.656	34.99270
3930.706	34.99880
3938.910	34.99330
3945.058	34.99750
3959.411	34.99360
3963.516	34.99850
3967.615	34.99360
3969.664	34.99800
3979.913	34.99430
3981.967	34.99950
3996.315	35.00680
3998.370	35.00000
4004.519	34.99560
4006.568	35.00050
4018.871	34.99360
4022.970	34.99970
4025.025	34.99570
4029.124	35.00080
4033.229	34.99640
4041.433	34.99260
4043.477	34.99730
4053.730	35.00100
4076.276	35.00590
4078.372	35.00150
4084.521	35.00710
4086.571	35.00090
4090.675	35.00660
4092.725	35.00270
4096.829	34.99900
4107.078	35.00360
4115.276	34.99700
4117.326	35.00540
4121.425	34.99960
4125.535	35.00350
4131.678	35.00830
4139.882	34.99910
4141.932	35.00520
4156.284	34.99680
4160.384	35.00290
4164.483	35.00720
4180.885	35.00310
4189.089	34.99870
4191.138	35.00270
4201.392	35.00770
4207.541	35.00260
4234.196	34.99750
4236.246	35.00190
4242.395	35.00750
4244.444	35.00340
4264.946	34.99800
4266.996	35.00500
4269.050	35.00090
4271.100	34.99720
4281.348	35.00110
4283.403	34.99620
4301.855	35.00630
4303.905	34.99630
4305.954	35.00240
4314.153	34.99280
4316.208	35.00230
4320.307	34.99660
4324.406	35.00300
4326.456	34.99770
4328.505	35.00270
4332.610	34.99760
4334.659	35.00120
4336.709	34.99430
4340.808	34.99970
4344.908	35.00460
4346.962	35.00030
4349.007	35.00700
4351.062	34.99750
4357.211	35.00170
4361.310	35.00530
4363.359	34.99940
4375.668	34.99440
4379.762	35.00030
4402.318	35.00620
4406.417	34.99960
4435.123	35.00550
4441.271	35.00110
4447.425	34.99590
4453.574	35.00340
4457.674	34.99570
4459.723	35.00160
4467.927	34.99760
4476.126	35.00330
4480.230	34.99340
4486.379	34.99940
4500.773	34.99350
4502.833	34.99870
4506.927	35.00360
4508.976	34.99880
4511.026	34.99460
4519.225	34.99000
4539.731	34.98640
4541.781	34.99020
4556.133	34.99390
4582.784	34.99010
4584.839	34.99470
4597.137	34.99060
4599.186	34.99630
4603.291	35.00050
4611.489	34.99290
4615.588	34.99860
4617.643	34.99000
4619.693	34.99490
4625.842	35.00210
4627.897	34.99210
4629.941	34.99790
4654.547	34.99350
4662.746	34.99720
4675.054	34.99280
4677.098	34.99950
4683.252	34.99390
4685.302	34.99840
4695.550	35.00420
4697.600	34.99530
4699.654	35.00580
4701.704	34.99840
4705.803	34.99190
4707.853	35.00040
4732.459	35.00590
4734.509	34.99930
4736.558	35.00540
4740.657	35.00070
4748.866	35.00470
4755.020	35.00050
4757.065	35.00740
4763.219	35.00370
4773.467	35.00830
4777.572	35.00370
4793.969	35.00010
4798.073	35.00860
4802.172	35.00490
4810.371	35.00890
4816.525	35.00360
4830.878	35.00760
