Elapsed time [s]	Value [0,100]
0.000	5.399880
0.785	5.351310
2.837	5.386920
4.889	5.335750
6.936	5.267980
8.986	5.337900
11.038	5.351020
13.085	5.267790
15.137	5.238990
17.187	5.347680
19.239	5.486720
21.294	5.383820
23.338	5.326910
25.388	5.261190
27.443	5.255380
29.490	5.191130
31.545	5.263230
33.589	5.296880
35.641	5.372430
37.691	5.341570
39.741	5.380460
41.790	5.250270
43.843	5.446200
45.892	5.373390
47.942	5.208310
49.994	5.285500
52.044	5.309070
54.093	5.271570
56.143	5.235020
58.195	5.307270
60.245	5.348430
62.294	5.291600
64.344	5.367100
66.396	5.315470
68.446	5.300030
70.496	5.212770
72.545	5.425940
74.595	5.333280
76.647	5.300520
78.697	5.287470
80.746	5.265950
82.796	5.298170
84.848	5.414910
86.898	5.332970
88.947	5.269760
90.997	5.285540
93.049	5.342840
95.099	5.322740
97.149	5.346690
99.201	5.306260
101.250	5.350830
103.300	5.456080
105.350	5.343200
107.402	5.303860
109.452	5.337060
111.501	5.281610
113.553	5.227920
115.616	5.303480
117.653	5.347360
119.702	5.242370
121.752	5.403010
123.804	5.345580
125.854	5.473590
127.903	5.339610
129.953	5.286250
132.005	5.435860
134.055	5.312580
136.105	5.315250
138.157	5.245890
140.204	5.306290
142.256	5.396800
144.306	5.344180
146.355	5.336590
148.405	5.415580
150.457	5.382250
152.507	5.303960
154.556	5.332740
156.609	5.423710
158.658	5.414780
160.708	5.392250
162.758	5.261320
164.810	5.287100
166.859	5.340280
168.909	5.253250
170.961	5.385620
173.011	5.404940
175.104	5.393970
177.154	5.390320
179.204	5.332130
181.253	5.186740
183.303	5.249420
185.355	5.272500
187.405	5.326140
189.454	5.356680
191.507	5.184620
193.556	5.405610
195.606	5.363960
197.655	5.463860
199.713	5.314900
201.760	5.336300
203.807	5.408080
205.859	5.378150
207.909	5.445510
209.958	5.566270
212.008	5.389570
214.060	5.354270
216.110	5.324230
218.160	5.407040
220.214	5.357050
222.259	5.362120
224.311	5.305140
226.361	5.363580
228.410	5.272040
230.462	5.337470
232.512	5.292290
234.562	5.280470
236.614	5.279360
238.664	5.328400
240.713	5.234820
242.763	5.435230
244.813	5.313440
246.862	5.327710
248.914	5.528990
250.964	5.300530
253.014	5.330720
255.063	5.272020
257.115	5.303240
259.165	5.364060
261.215	5.444490
263.267	5.388980
265.317	5.405550
267.366	5.357070
269.416	5.261780
273.518	5.286570
275.567	5.357230
277.617	5.409350
279.669	5.360780
281.719	5.348200
283.771	5.377480
285.823	5.289080
287.873	5.359390
289.923	5.389430
291.975	5.233280
294.024	5.290560
296.074	5.293120
298.121	5.348800
300.171	5.394300
302.220	5.375020
304.270	5.408640
306.322	5.203520
308.372	5.186640
310.421	5.316490
312.474	5.299840
314.523	5.265020
316.573	5.349340
318.623	5.209720
320.675	5.256620
322.724	5.425130
324.774	5.299250
326.824	5.259140
328.876	5.372600
330.926	5.283160
332.975	5.379340
335.027	5.283820
337.077	5.445650
339.127	5.336860
341.176	5.336160
343.306	5.301190
345.278	5.278750
347.330	5.332720
349.383	5.444490
351.432	5.327890
353.484	5.461880
355.534	5.361150
357.584	5.217660
359.628	5.439960
361.678	5.373600
363.730	5.267860
365.780	5.316840
367.829	5.369690
369.882	5.446770
371.931	5.317130
373.981	5.198600
376.030	5.214280
378.083	5.377200
380.130	5.393130
382.182	5.342470
384.234	5.356000
386.284	5.271080
388.333	5.288940
390.383	5.315060
392.433	5.267300
394.485	5.180680
396.535	5.282450
398.584	5.344140
400.634	5.444130
402.686	5.361400
404.736	5.378090
406.785	5.320400
408.835	5.357470
410.887	5.310870
412.937	5.382860
414.986	5.339080
417.036	5.313250
419.086	5.369740
421.138	5.251800
423.188	5.374060
425.237	5.306410
427.289	5.420850
429.339	5.337390
431.389	5.452460
433.438	5.324300
435.491	5.408130
437.540	5.287210
439.590	5.368780
441.647	5.336210
443.699	5.393250
445.741	5.335110
447.791	5.270590
449.843	5.261510
451.893	5.374880
453.942	5.348770
455.992	5.104130
458.044	5.293230
460.096	5.356780
462.154	5.345680
464.193	5.265830
466.243	5.376590
468.295	5.312000
470.345	5.316750
472.394	5.276030
474.449	5.304990
476.496	5.247530
478.551	5.276490
480.595	5.319550
482.658	5.422640
484.697	5.340900
486.757	5.244440
490.849	5.265320
492.898	5.264180
494.948	5.410550
496.998	5.483870
499.050	5.468700
501.100	5.369320
503.149	5.340940
505.199	5.268340
507.251	5.215680
509.301	5.386830
511.350	5.270080
513.400	5.356060
515.452	5.381010
517.502	5.370310
519.551	5.333800
521.601	5.305750
523.653	5.305100
525.703	5.310670
527.753	5.407950
529.802	5.500980
531.852	5.428010
533.904	5.375900
535.954	5.449090
538.003	5.404880
540.053	5.475400
542.105	5.389510
544.155	5.269240
546.204	5.228900
548.257	5.328120
550.306	5.301140
552.356	5.350160
554.406	5.304080
556.458	5.393930
558.507	5.341730
560.557	5.439100
562.609	5.326620
564.659	5.365660
566.709	5.276290
568.758	5.270110
570.808	5.379840
572.863	5.458200
574.910	5.317420
576.959	5.462240
579.009	5.335930
581.061	5.402940
583.111	5.515290
585.160	5.402700
587.210	5.350820
589.262	5.355860
591.312	5.417290
593.362	5.383630
595.455	5.422880
597.507	5.286770
599.557	5.376310
601.606	5.389850
603.656	5.396510
605.708	5.363200
607.758	5.339640
609.808	5.500470
611.857	5.398350
613.907	5.334160
615.964	5.324850
618.009	5.365570
620.058	5.392610
622.113	5.383730
624.160	5.347780
626.210	5.349410
628.259	5.300610
630.309	5.364630
632.361	5.334070
634.411	5.344530
636.461	5.497630
638.510	5.392400
640.562	5.304690
642.612	5.383550
644.662	5.294170
646.719	5.268610
648.763	5.363250
650.813	5.466010
652.863	5.427770
654.915	5.398570
656.965	5.364890
659.014	5.335210
661.064	5.289340
663.116	5.333570
665.168	5.316530
667.218	5.442280
669.265	5.396110
671.317	5.382510
673.367	5.284040
675.417	5.366680
677.466	5.494690
679.516	5.306620
681.568	5.261200
683.618	5.436510
685.667	5.515740
687.717	5.410920
689.769	5.430450
691.819	5.320230
693.868	5.291730
695.918	5.349770
697.970	5.438270
700.020	5.420870
702.070	5.435980
704.122	5.388110
706.171	5.422890
708.229	5.497790
710.271	5.371050
712.320	5.313430
714.372	5.413190
716.422	5.389380
718.472	5.371390
720.524	5.345420
722.574	5.371460
724.623	5.346850
726.673	5.244090
728.725	5.298830
730.775	5.402040
732.827	5.429800
734.874	5.399460
736.926	5.371000
738.976	5.309800
741.025	5.421800
743.075	5.447090
745.125	5.337650
747.177	5.390370
749.227	5.379190
751.276	5.343710
753.326	5.382620
755.378	5.366890
757.428	5.305230
759.477	5.293150
761.530	5.388260
763.579	5.364510
765.629	5.516740
767.678	5.316390
769.731	5.382610
771.780	5.413620
773.830	5.268320
775.882	5.179640
777.932	5.348610
779.981	5.385070
782.031	5.377940
784.081	5.321240
786.133	5.290570
788.183	5.397220
790.240	5.448140
792.282	5.421040
794.334	5.284150
796.384	5.322690
798.433	5.354140
800.483	5.366380
802.535	5.325900
804.585	5.383980
806.634	5.375600
808.684	5.392390
810.734	5.424570
812.786	5.378440
814.836	5.405760
816.885	5.298880
818.937	5.227000
820.987	5.374510
823.037	5.354170
825.086	5.373680
827.139	5.445780
829.188	5.451710
831.238	5.350160
835.340	5.376340
837.389	5.303280
839.439	5.409290
841.491	5.367230
843.541	5.300120
845.590	5.467170
847.640	5.241110
849.692	5.482170
851.742	5.440480
853.792	5.453110
855.841	5.388660
857.891	5.392350
859.943	5.332800
861.993	5.428110
864.047	5.207910
866.092	5.385140
868.144	5.370030
870.194	5.317160
872.243	5.405200
874.293	5.310050
876.345	5.392550
878.395	5.311330
880.450	5.341220
882.497	5.451120
884.546	5.317000
886.601	5.323520
888.648	5.362080
890.698	5.299970
892.748	5.459430
894.810	5.356740
896.855	5.318620
898.899	5.306170
900.949	5.440080
902.998	5.412380
905.048	5.403910
907.100	5.301660
909.152	5.365090
911.199	5.349270
913.249	5.395060
915.301	5.392660
917.351	5.433970
919.401	5.298570
921.450	5.261470
923.500	5.311790
925.552	5.241950
927.602	5.301850
929.651	5.270640
931.701	5.305970
933.753	5.299340
935.803	5.281750
937.852	5.588240
939.905	5.424030
941.954	5.437450
944.004	5.357560
946.054	5.441990
948.106	5.481300
950.155	5.485040
952.205	5.259600
954.257	5.329770
956.307	5.375600
958.357	5.361020
960.406	5.407660
962.456	5.337580
964.508	5.273790
966.558	5.322970
968.607	5.381520
970.657	5.216760
972.709	5.257900
974.759	5.372650
976.808	5.430540
978.858	5.391630
980.913	5.223010
982.973	5.399280
985.015	5.547180
987.059	5.392480
989.109	5.394590
991.164	5.210420
993.211	5.275950
995.260	5.438760
997.312	5.357650
999.362	5.354320
1001.412	5.296280
1003.464	5.354560
1005.516	5.329330
1007.563	5.278690
1009.613	5.351370
1011.665	5.357330
1013.715	5.343900
1015.808	5.224510
1017.858	5.276160
1019.907	5.312570
1021.957	5.330080
1024.012	5.305040
1026.064	5.367640
1028.109	5.214890
1030.158	5.310140
1032.210	5.308940
1034.260	5.419630
1036.310	5.411500
1038.385	5.284820
