Elapsed time [s]	Value [0,1]
0.000	1.32177E-3
3.380	1.32555E-3
5.399	1.32464E-3
7.420	1.33163E-3
9.442	1.33360E-3
11.460	1.34068E-3
13.482	1.34043E-3
15.500	1.33679E-3
17.522	1.32715E-3
19.551	1.31386E-3
21.562	1.29580E-3
23.583	1.28079E-3
25.602	1.27517E-3
27.626	1.27265E-3
29.644	1.28492E-3
31.666	1.29545E-3
33.684	1.30076E-3
35.706	1.30334E-3
37.727	1.30320E-3
39.748	1.29740E-3
41.767	1.29768E-3
43.786	1.30498E-3
45.807	1.31549E-3
47.826	1.32146E-3
49.850	1.32703E-3
51.869	1.32989E-3
53.890	1.33074E-3
55.909	1.32607E-3
57.930	1.32235E-3
59.951	1.31428E-3
61.970	1.30854E-3
63.991	1.30813E-3
66.010	1.31447E-3
68.031	1.31703E-3
70.053	1.31745E-3
72.074	1.31596E-3
74.093	1.32309E-3
76.114	1.32629E-3
78.133	1.31923E-3
80.164	1.31083E-3
82.175	1.30635E-3
84.194	1.30730E-3
86.215	1.31404E-3
88.237	1.31616E-3
92.277	1.31845E-3
94.298	1.31674E-3
96.325	1.32174E-3
98.338	1.32982E-3
100.357	1.33525E-3
102.378	1.33321E-3
104.400	1.32797E-3
106.421	1.32344E-3
108.442	1.32683E-3
110.461	1.32717E-3
112.482	1.32639E-3
114.501	1.32700E-3
116.522	1.32612E-3
118.544	1.32424E-3
120.562	1.31978E-3
122.584	1.32191E-3
124.602	1.32050E-3
126.624	1.32235E-3
128.645	1.32903E-3
130.664	1.33333E-3
132.685	1.33030E-3
134.704	1.32806E-3
136.725	1.32672E-3
138.746	1.32720E-3
140.768	1.32672E-3
142.786	1.33143E-3
144.808	1.33668E-3
146.829	1.33767E-3
148.848	1.33572E-3
150.869	1.33766E-3
152.888	1.33480E-3
154.909	1.33697E-3
156.930	1.33611E-3
158.952	1.32644E-3
160.971	1.31996E-3
162.992	1.31037E-3
165.011	1.30349E-3
167.032	1.30455E-3
169.053	1.31250E-3
171.072	1.31549E-3
173.093	1.31654E-3
175.112	1.31770E-3
177.133	1.31608E-3
179.157	1.31840E-3
181.176	1.32131E-3
183.195	1.32996E-3
185.216	1.33244E-3
187.237	1.33186E-3
189.256	1.33216E-3
191.277	1.33294E-3
193.296	1.33637E-3
195.317	1.33267E-3
197.339	1.33249E-3
199.360	1.33173E-3
201.379	1.33244E-3
203.400	1.32521E-3
205.419	1.31919E-3
207.440	1.31630E-3
209.461	1.31663E-3
211.483	1.33531E-3
213.501	1.33441E-3
215.523	1.33592E-3
217.544	1.33805E-3
219.563	1.33985E-3
221.584	1.33570E-3
223.603	1.33796E-3
225.624	1.33732E-3
227.646	1.33933E-3
229.664	1.33603E-3
231.686	1.34044E-3
233.704	1.33762E-3
235.728	1.33656E-3
237.747	1.34048E-3
241.787	1.34300E-3
243.806	1.34492E-3
245.827	1.34532E-3
247.848	1.34437E-3
