Elapsed time [s]	Value [0,100]
0.000	0
173.835	6.38138E-3
175.856	0.1548120
177.875	0.3584800
179.901	0.6342120
181.918	0.9668900
183.939	1.411700
185.958	1.883410
187.976	2.425770
190.000	3.024030
192.019	3.692300
194.040	4.428290
196.059	5.230420
198.080	6.098830
200.102	6.882870
202.123	7.729120
204.142	8.498390
206.163	9.258490
208.184	10.01370
210.208	10.76510
212.224	11.52190
214.243	12.26400
216.264	13.00540
218.283	13.74980
220.304	14.48330
222.326	15.29640
224.347	16.02290
226.366	16.75620
228.387	17.47730
230.414	18.20450
232.430	18.93190
234.451	19.64450
236.470	20.36600
238.496	21.08780
240.515	21.80950
242.536	22.60330
244.558	23.32480
246.574	24.04640
248.593	24.78050
250.614	25.50820
252.635	26.24880
254.654	26.98200
256.675	27.72570
258.694	28.46600
260.715	29.21980
262.739	30.03930
264.758	30.79870
266.792	31.55970
268.798	32.31840
270.819	33.09070
272.838	33.85370
274.859	34.63130
276.883	35.40090
278.902	36.18550
280.921	37.04590
282.945	37.83030
284.961	38.62480
286.982	39.41190
289.001	40.21130
291.022	41.00470
293.043	41.79780
295.062	42.60610
297.083	43.41690
299.102	44.22250
301.123	45.10810
303.147	45.92840
305.166	46.73950
307.185	47.55070
309.206	48.37780
311.256	49.19500
313.246	50.02510
315.268	50.84820
317.286	51.67570
319.308	52.51090
321.329	53.42290
323.350	54.25200
325.369	55.09500
327.390	55.93010
329.409	56.76510
331.430	57.61320
333.452	58.45440
335.470	59.29570
337.492	60.13690
339.510	60.95790
341.532	61.72600
343.553	62.07610
345.572	62.27080
347.593	62.42410
349.612	62.46280
351.643	62.47270
353.665	62.71870
355.686	62.93830
357.705	62.68220
359.726	62.63020
361.747	63.37620
363.766	62.91100
365.787	62.72740
367.806	63.47470
369.827	62.67540
371.849	63.42140
373.870	63.11790
375.889	62.67670
377.910	63.58020
379.929	62.90640
381.950	62.95000
383.972	63.39600
385.990	62.63840
388.012	63.56670
390.033	63.00160
392.054	62.79950
394.078	63.49710
396.097	62.71340
398.118	63.41700
400.137	63.30010
402.158	62.57040
404.174	63.60350
406.196	63.20720
408.217	63.23890
410.236	63.22180
412.257	63.21280
414.276	63.20230
434.481	63.20900
503.175	63.21560
868.909	63.22200
1392.197	63.23930
1394.216	63.29320
1396.237	63.25800
1398.259	63.28430
1400.280	63.27740
1493.224	63.27980
1689.207	63.30030
1691.225	63.32200
4784.596	45.00000
