Elapsed time [s]	Value [0,1E-05]
0.000	1.11561E-7
3.262	1.10124E-7
9.323	1.10098E-7
17.406	1.10120E-7
19.425	1.10108E-7
21.446	1.10138E-7
23.467	1.10152E-7
25.486	1.14452E-7
27.507	1.20352E-7
31.558	1.20372E-7
35.592	1.20355E-7
45.691	1.21343E-7
47.710	1.21126E-7
49.731	1.21878E-7
51.758	1.21862E-7
53.774	1.21881E-7
55.795	1.20377E-7
57.817	1.21890E-7
61.857	1.21905E-7
65.897	1.21876E-7
82.060	1.20705E-7
84.081	1.21892E-7
88.123	1.21905E-7
92.161	1.21884E-7
96.204	1.21869E-7
98.225	1.21884E-7
110.345	1.21897E-7
116.409	1.21911E-7
118.430	1.21897E-7
122.470	1.21882E-7
124.492	1.23440E-7
126.510	1.23454E-7
130.553	1.25017E-7
132.572	1.23508E-7
134.593	1.23452E-7
140.654	1.24960E-7
142.681	1.25019E-7
144.694	1.26063E-7
146.716	1.26628E-7
148.737	1.27991E-7
150.756	1.28219E-7
152.777	1.29838E-7
154.796	1.31446E-7
156.817	1.33015E-7
158.838	1.34690E-7
160.865	1.36019E-7
162.879	1.38311E-7
164.905	1.40149E-7
166.921	1.43401E-7
168.940	1.45490E-7
170.961	1.48723E-7
172.980	1.51171E-7
175.001	1.54790E-7
177.023	1.57024E-7
179.044	1.60853E-7
181.063	1.63315E-7
183.084	1.67165E-7
185.108	1.69421E-7
187.129	1.72056E-7
189.145	1.75951E-7
191.164	1.78687E-7
193.185	1.82415E-7
195.204	1.85015E-7
197.225	1.87442E-7
199.247	1.89857E-7
201.268	1.92271E-7
203.287	1.94750E-7
205.306	1.97180E-7
207.327	1.99570E-7
209.353	2.00614E-7
211.369	2.02248E-7
213.388	2.04823E-7
215.410	2.04854E-7
217.431	2.07457E-7
219.452	2.08465E-7
221.471	2.10114E-7
223.492	2.11470E-7
225.511	2.12788E-7
227.532	2.13445E-7
229.554	2.15515E-7
233.609	2.18156E-7
235.625	2.18222E-7
237.644	2.18291E-7
239.665	2.18066E-7
247.748	2.16633E-7
249.767	2.15342E-7
