Elapsed time [s]	Value [0,100]
0.000	0
175.359	0.1178510
177.378	0.3120370
179.399	0.5726370
181.421	0.8946570
183.442	1.283570
185.461	1.737560
187.482	2.256820
189.501	2.839750
191.522	3.552620
193.543	4.273950
195.562	5.062490
197.583	5.917470
199.602	6.725260
201.623	7.498450
203.645	8.265610
205.666	9.027460
207.685	9.784780
209.706	10.54100
211.725	11.37090
213.746	12.11390
215.767	12.86140
217.786	13.60060
219.807	14.33710
221.829	15.07440
223.850	15.80450
225.869	16.53620
227.890	17.26230
229.911	17.98620
231.930	18.78640
233.952	19.50030
235.970	20.22170
237.992	20.94340
240.010	21.66520
242.032	22.38690
244.053	23.10850
246.074	23.83010
248.093	24.56010
250.114	25.29000
252.133	26.10140
254.157	26.83540
256.176	27.57360
258.194	28.31810
260.216	29.07070
262.237	29.81570
264.256	30.57280
266.277	31.32440
268.296	32.09130
270.317	32.86180
272.338	33.70120
274.360	34.47750
276.378	35.24670
278.400	36.03050
280.421	36.80550
282.440	37.59600
284.461	38.38780
286.490	39.17570
288.514	39.96990
290.533	40.84600
292.554	41.63910
294.575	42.44610
296.597	43.25350
298.621	44.06160
300.637	44.86680
302.658	45.68510
304.677	46.49630
306.698	47.30740
308.717	48.21430
310.738	49.03150
312.772	49.85980
314.781	50.68350
316.800	51.50650
318.821	52.34490
320.842	53.17410
322.861	54.00310
324.882	54.84370
326.901	55.67970
328.925	56.59820
330.944	57.44430
332.965	58.28640
334.984	59.12750
337.005	59.96860
339.024	60.79720
341.045	61.54580
343.066	62.00990
345.085	62.21290
347.106	62.29120
349.125	62.39220
351.146	62.51630
353.168	62.80520
355.189	62.74740
357.208	62.58310
359.229	63.00240
361.248	63.15040
363.269	62.61710
365.290	63.33580
367.309	63.07250
369.331	62.58690
371.352	63.60510
373.373	62.85460
375.392	63.04590
377.413	63.35240
379.432	62.60970
381.453	63.57160
383.475	62.98800
385.493	62.80450
387.515	63.47940
389.536	62.75510
391.555	63.28180
393.576	63.24250
395.595	62.64740
397.616	63.56320
399.635	62.91630
401.656	63.05720
403.677	63.28020
405.699	0
