Elapsed time [s]	Value [0,1]
0.000	9.48035E-4
0.692	9.45675E-4
2.711	9.47151E-4
6.751	9.47490E-4
8.772	9.47175E-4
10.793	9.46062E-4
12.812	9.47514E-4
14.833	9.47066E-4
16.852	9.46691E-4
18.874	9.48022E-4
20.895	9.47841E-4
22.916	9.47308E-4
24.935	9.62461E-4
26.956	9.78170E-4
28.980	9.62412E-4
30.996	9.63453E-4
33.018	9.61347E-4
35.036	9.63429E-4
37.058	9.64675E-4
39.079	9.53214E-4
41.100	9.47115E-4
43.119	9.47333E-4
45.138	9.47659E-4
47.159	9.57729E-4
49.180	9.61565E-4
51.202	9.62945E-4
53.220	9.51677E-4
55.242	9.46667E-4
57.266	9.47538E-4
59.282	9.63090E-4
61.308	9.46498E-4
63.322	9.64990E-4
65.343	9.61928E-4
67.362	9.61190E-4
69.383	9.61819E-4
71.404	9.63453E-4
73.426	9.62231E-4
75.445	9.62824E-4
77.466	9.63453E-4
79.487	9.75495E-4
81.506	9.78024E-4
83.530	9.77141E-4
85.546	9.62436E-4
87.572	9.60246E-4
89.589	9.61492E-4
91.610	9.63114E-4
93.629	9.62836E-4
95.650	9.60730E-4
97.671	9.62255E-4
99.690	9.77577E-4
101.711	9.79344E-4
103.730	9.78158E-4
105.754	9.77419E-4
107.773	9.77928E-4
109.797	9.77044E-4
111.813	9.78460E-4
113.834	9.64458E-4
115.855	9.77637E-4
117.874	9.77855E-4
119.898	9.60609E-4
121.919	9.62110E-4
123.938	9.61384E-4
125.957	9.46740E-4
127.978	9.51980E-4
130.002	9.62533E-4
132.021	9.58043E-4
134.039	9.63078E-4
136.061	9.61892E-4
138.079	9.62013E-4
140.101	9.62618E-4
142.122	9.63647E-4
144.146	9.61154E-4
146.162	9.62146E-4
148.186	9.60875E-4
150.236	9.46171E-4
152.224	9.46800E-4
156.264	9.47429E-4
158.285	9.46026E-4
160.306	9.49160E-4
162.330	9.63066E-4
164.346	9.47175E-4
166.370	9.48434E-4
168.386	9.46945E-4
170.405	9.61940E-4
172.429	9.63405E-4
174.450	9.62231E-4
176.472	9.77431E-4
178.498	9.74599E-4
180.514	9.62194E-4
182.533	9.61747E-4
184.554	9.58588E-4
186.573	9.44936E-4
188.594	9.46062E-4
190.613	9.45106E-4
192.637	9.61129E-4
194.656	9.62908E-4
196.674	9.60669E-4
198.698	9.63090E-4
200.717	9.62642E-4
202.736	9.62134E-4
204.762	9.63126E-4
206.776	9.61444E-4
208.797	9.62582E-4
210.826	9.62485E-4
212.840	9.60791E-4
214.858	9.62170E-4
216.880	9.61928E-4
218.899	9.62098E-4
222.941	9.60294E-4
224.960	9.61977E-4
226.981	9.61613E-4
229.005	9.64179E-4
231.021	9.63961E-4
233.043	9.64954E-4
235.069	9.63429E-4
237.085	9.78968E-4
241.125	9.78012E-4
243.144	9.77468E-4
245.168	9.77032E-4
247.184	9.78012E-4
249.205	9.79162E-4
251.227	9.77383E-4
253.248	9.77492E-4
255.267	9.77177E-4
257.288	9.62679E-4
259.307	9.62243E-4
261.328	9.64143E-4
263.349	9.47127E-4
265.368	9.47333E-4
267.389	9.48349E-4
269.411	9.47127E-4
271.432	9.56894E-4
273.451	9.61250E-4
275.477	9.62424E-4
277.491	9.63320E-4
279.512	9.62376E-4
281.531	9.48083E-4
283.552	9.48894E-4
285.574	9.46473E-4
287.592	9.47236E-4
289.614	9.46764E-4
291.643	9.48035E-4
293.664	9.48724E-4
295.685	9.46328E-4
297.704	9.44973E-4
299.725	9.48724E-4
301.747	9.45529E-4
303.768	9.44948E-4
305.787	9.46909E-4
307.808	9.48688E-4
309.845	9.47103E-4
311.853	9.45662E-4
313.869	9.46098E-4
315.888	9.59726E-4
317.909	9.47538E-4
319.933	9.50237E-4
321.952	9.54001E-4
323.971	9.60960E-4
325.992	9.46836E-4
328.011	9.64131E-4
330.032	9.50503E-4
332.053	9.46038E-4
334.072	9.45832E-4
336.093	9.46643E-4
338.112	9.46038E-4
340.134	9.44767E-4
342.155	9.46812E-4
344.176	9.53493E-4
346.195	9.47768E-4
348.216	9.47078E-4
350.237	9.49414E-4
352.261	9.47417E-4
354.283	9.46921E-4
356.301	9.45638E-4
358.323	9.47151E-4
360.339	9.47768E-4
362.360	9.48107E-4
364.379	9.46909E-4
366.400	9.47405E-4
368.419	9.45106E-4
370.440	9.47127E-4
372.462	9.43641E-4
374.480	9.45783E-4
376.502	9.44852E-4
378.523	9.46715E-4
380.542	9.46195E-4
384.584	9.45566E-4
386.608	9.46352E-4
388.624	9.47708E-4
390.648	9.46703E-4
392.670	9.61747E-4
394.686	9.62594E-4
396.705	9.62037E-4
398.726	9.47187E-4
400.747	9.46643E-4
402.766	9.59907E-4
404.787	9.62921E-4
406.806	9.60875E-4
408.827	9.60694E-4
410.849	9.47308E-4
412.870	9.45687E-4
414.889	9.47320E-4
416.910	9.60367E-4
418.931	9.61831E-4
420.950	9.61505E-4
422.971	9.47732E-4
424.990	9.46062E-4
427.011	9.46280E-4
429.033	9.44827E-4
431.057	9.45118E-4
433.073	9.48047E-4
435.094	9.46558E-4
437.113	9.46062E-4
439.134	9.59181E-4
441.155	9.51157E-4
443.174	9.46292E-4
445.195	9.47393E-4
447.217	9.44222E-4
449.238	9.46558E-4
451.257	9.47587E-4
453.278	9.49656E-4
455.297	9.48035E-4
457.318	9.45675E-4
459.342	9.45905E-4
461.363	9.47466E-4
463.382	9.45057E-4
465.398	9.45820E-4
467.422	9.46715E-4
469.443	9.44912E-4
471.465	9.46437E-4
475.505	9.46679E-4
477.524	9.45263E-4
479.545	9.47417E-4
481.566	9.47986E-4
483.585	9.46824E-4
485.606	9.45626E-4
487.625	9.44876E-4
489.646	9.46655E-4
491.668	9.45142E-4
493.689	9.45759E-4
495.713	9.50225E-4
497.732	9.50758E-4
499.750	9.62122E-4
501.769	9.46013E-4
503.790	9.61601E-4
505.809	9.48022E-4
507.830	9.45082E-4
509.852	9.47877E-4
511.873	9.46546E-4
513.892	9.46933E-4
515.913	9.46437E-4
517.932	9.45517E-4
519.953	9.46389E-4
521.974	9.47623E-4
523.993	9.48095E-4
526.014	9.47708E-4
528.033	9.47478E-4
530.057	9.45529E-4
532.076	9.46776E-4
534.097	9.61262E-4
536.116	9.47538E-4
538.137	9.46824E-4
542.177	9.47708E-4
544.199	9.46752E-4
546.217	9.45723E-4
548.239	9.47284E-4
550.260	9.47538E-4
552.281	9.54763E-4
554.303	9.47175E-4
556.324	9.30958E-4
558.345	9.30377E-4
560.361	9.31345E-4
562.388	9.30546E-4
564.407	9.31442E-4
566.423	9.31067E-4
568.444	9.30534E-4
570.468	9.29469E-4
572.484	9.31914E-4
574.508	9.46425E-4
576.529	9.47103E-4
578.545	9.47659E-4
580.567	9.47441E-4
582.585	9.48216E-4
584.609	9.38764E-4
586.631	9.38474E-4
588.657	9.30825E-4
592.702	9.30195E-4
594.718	9.29469E-4
596.737	9.46800E-4
598.759	9.30050E-4
600.780	9.30668E-4
604.835	9.31539E-4
606.841	9.30329E-4
608.863	9.43714E-4
610.881	9.46776E-4
612.903	9.45094E-4
614.921	9.47175E-4
616.943	9.32858E-4
618.964	9.43980E-4
620.985	9.47308E-4
623.004	9.46134E-4
625.023	9.46982E-4
627.044	9.47272E-4
629.065	9.45989E-4
631.087	9.47780E-4
633.105	9.47030E-4
635.127	9.46740E-4
637.148	9.44307E-4
639.167	9.31418E-4
