Elapsed time [s]	Value [0,70]
0.000	35.00030
1.104	34.99650
13.404	35.00020
15.454	34.99600
25.710	35.00290
31.859	34.99800
33.911	34.99450
40.060	35.00310
42.110	34.99920
54.410	35.00340
62.611	34.99470
64.663	34.99950
68.768	35.00520
72.862	34.99570
74.914	35.00130
76.974	35.00520
89.267	34.99700
91.316	35.00520
95.416	35.00090
107.719	35.00520
120.047	35.00140
124.121	34.99720
126.176	35.00080
128.220	34.99640
130.270	35.00060
134.372	34.99580
150.774	34.99170
152.829	34.99850
156.925	34.99250
163.077	34.99710
171.283	34.99360
173.328	34.98890
175.377	34.99410
197.931	34.98900
199.981	34.99380
210.236	34.98900
212.284	34.99330
228.686	34.98780
230.738	34.99150
238.937	34.99720
255.339	34.99130
267.642	34.99730
271.741	34.99010
275.843	35.00060
292.245	34.99690
294.295	35.00070
298.394	34.99720
306.595	35.00300
310.697	34.99710
323.003	35.00180
335.300	34.99590
347.601	35.00180
357.854	34.99780
378.356	35.00210
390.661	35.00760
392.708	35.00260
394.758	35.00710
417.358	35.00200
427.609	34.99840
435.807	35.00280
448.110	35.00790
452.210	35.00260
456.309	35.00910
458.361	35.00130
462.460	34.99730
466.562	35.00270
468.612	34.99860
487.064	35.00290
491.165	35.00650
493.215	35.00090
509.623	34.99630
511.667	35.00240
515.769	35.00850
517.818	35.00160
521.920	35.00560
523.970	35.00120
528.069	34.99680
532.171	35.00100
538.325	35.01010
540.380	35.00610
554.725	35.00140
556.774	35.00910
558.824	35.00100
562.926	34.99740
575.226	34.99310
579.328	35.00310
583.427	34.99340
585.482	35.00050
616.232	34.99580
618.284	35.00200
630.585	34.99620
634.689	34.99200
638.801	34.99640
669.541	35.00270
673.645	34.99810
681.844	35.00260
690.042	34.99580
698.243	34.99990
708.497	34.99570
712.596	34.99940
716.698	34.99590
720.797	35.00280
735.150	34.99840
743.351	35.00260
749.502	34.99760
761.805	34.99350
767.954	34.99890
770.006	35.00290
772.056	34.99580
778.220	34.99070
780.257	34.99930
786.408	34.99520
794.610	34.99110
796.659	34.99560
804.876	35.00020
811.012	34.99650
825.364	35.00330
829.464	34.99950
854.113	35.00350
864.359	34.99800
872.563	35.00210
878.712	34.99730
882.813	35.00090
899.218	34.99670
905.367	35.00180
919.717	34.99570
921.772	35.00520
923.835	34.99620
934.070	34.99110
936.122	34.99660
938.172	35.00230
940.221	34.99770
948.425	35.00220
950.472	34.99840
952.522	34.99470
958.673	34.99860
960.725	34.99370
962.780	34.99860
973.026	35.00390
987.378	34.99300
989.428	34.99800
991.478	35.00340
1028.384	34.99980
1030.436	35.00570
1044.786	35.00970
1048.888	35.00380
1052.987	35.00980
1055.040	35.00590
1057.089	34.99950
1059.139	35.00560
1063.241	35.01130
1065.301	35.00660
1075.541	34.99950
1077.591	35.00480
1098.095	34.99810
1100.145	35.00190
1108.346	34.99730
1110.395	35.00300
1114.497	35.00800
1120.649	35.00340
1132.949	35.00990
1135.001	35.00190
1141.150	35.00680
1143.200	35.00180
1149.351	35.00720
1155.505	35.00210
1159.602	34.99850
1176.007	35.00250
1182.156	35.00630
1186.258	35.00070
1200.610	35.00530
1206.759	35.00030
1208.809	34.99520
1210.861	35.00140
1212.913	34.99560
1221.112	35.00040
1229.315	35.00680
1231.365	34.99450
1233.417	35.00290
1237.517	34.99910
1241.616	35.00290
1243.665	34.99850
1266.260	34.99460
1272.412	35.00100
1276.511	34.99630
1286.762	35.00120
1290.864	34.99770
1297.015	34.99260
1299.065	34.99820
1307.266	35.00490
1311.365	34.99450
1315.467	34.99940
1325.723	34.99580
1327.770	35.00330
1329.820	34.99480
1333.922	34.99930
1340.073	34.99440
1342.123	34.99800
1356.473	35.00270
1366.726	35.00630
1372.878	35.00240
1374.927	34.99850
1381.076	35.00520
1383.128	35.01250
1385.211	35.00730
1387.228	35.00340
1397.481	34.99930
1405.682	35.00370
1422.084	34.99780
1430.283	35.00400
1436.434	34.99970
1438.484	34.99440
1440.536	35.00020
1446.685	34.99380
1448.737	34.99830
1467.187	34.99400
1471.291	34.99910
1473.341	34.99410
1479.490	35.00130
1483.594	34.99590
1487.698	34.99190
1489.748	34.99580
1506.145	34.99010
1508.195	34.99690
1510.244	34.99220
1530.746	34.99590
1536.900	34.99970
1538.950	34.99360
1553.302	35.00120
1555.352	34.99360
1557.407	34.98730
1559.456	34.99160
1565.605	34.99580
1567.655	34.99210
1575.853	34.99560
1582.007	34.99920
1584.057	34.99550
1604.559	35.00160
1608.663	34.99350
1612.762	35.00600
1614.812	34.99510
1616.862	35.00410
1620.961	34.99900
1625.060	34.99330
1629.165	35.00060
1633.269	34.99310
1635.313	34.99780
1641.462	34.99390
1645.562	34.99740
1647.616	34.99340
1649.666	34.99730
1655.815	34.99210
1668.118	34.98770
1674.267	34.98390
1678.428	34.98990
1686.611	34.99340
1688.661	34.98830
1692.765	34.99320
1694.815	34.98920
1698.914	34.99280
1703.013	34.98590
1705.063	34.99250
1729.674	34.99600
1746.071	34.98930
1756.330	34.99280
1760.424	34.98720
