Elapsed time [s]	Value [0,100]
0.000	3.651800
1.377	3.791100
3.429	3.672680
5.479	3.680660
7.528	3.696030
9.578	3.763900
11.630	3.799480
13.680	3.655680
15.732	3.787460
17.782	3.835920
19.831	3.772900
21.881	3.776730
23.933	3.715620
25.983	3.591780
28.051	3.719870
30.082	3.707450
32.132	3.768460
34.184	3.879230
36.234	3.771360
38.283	3.780980
40.335	3.624920
42.385	3.775410
44.442	3.724200
46.484	3.672570
48.537	3.740510
50.586	3.748010
52.636	3.727930
54.688	3.653550
56.738	3.639670
58.787	3.798160
60.837	3.735350
62.889	3.893220
64.939	3.779130
66.989	3.761960
69.038	3.667200
71.088	3.726370
73.140	3.832570
75.190	3.737180
77.239	3.672130
79.289	3.708220
81.341	3.620010
83.391	3.767650
85.440	3.686090
87.490	3.745640
89.542	3.831990
91.592	3.687650
93.642	3.669130
95.691	3.787710
97.743	3.821360
99.793	3.871650
101.843	3.771540
103.892	3.760630
105.944	3.766230
107.994	3.679490
110.044	3.761450
112.096	3.678080
114.146	3.637520
116.203	3.652600
118.247	3.739060
120.297	3.786790
122.347	3.780790
124.396	3.894210
126.446	3.825080
128.498	3.864650
130.548	3.677330
132.597	3.786900
134.647	3.840300
136.697	3.726080
138.749	3.820780
140.799	3.902660
142.848	3.837660
144.898	3.806780
146.950	3.729970
149.000	3.787580
151.049	3.839360
153.099	3.716580
155.151	3.753580
157.201	3.921580
159.250	3.816500
161.303	3.775160
163.352	3.730640
165.402	3.797590
167.452	3.748650
169.504	3.733690
171.553	3.846910
173.603	3.913920
175.653	3.801080
177.705	3.871870
179.755	3.813970
181.804	3.778340
183.854	3.755280
185.906	3.710920
187.953	3.708250
190.005	3.796830
192.055	3.779060
194.107	3.847700
196.157	3.807970
198.206	3.822260
200.272	3.817460
202.306	3.801790
204.358	3.751210
206.408	3.713210
208.457	3.771350
210.507	3.864080
212.559	3.772650
214.609	3.730660
216.658	3.687860
218.711	3.744270
220.760	3.770410
222.810	3.782680
224.859	3.884550
226.912	3.883450
228.964	3.926790
231.011	3.833310
233.063	3.757120
235.154	3.802070
237.206	3.813550
239.258	3.575170
241.303	3.668400
243.355	3.797640
245.405	3.732910
247.454	3.835850
249.507	3.784360
251.556	3.708050
253.611	3.839440
255.668	3.772930
257.715	3.814740
259.757	3.851740
261.807	3.878040
263.859	3.818000
265.909	3.792900
267.966	3.627130
270.008	3.859780
272.058	3.874130
274.110	3.777020
276.160	3.672670
278.212	3.595920
280.259	3.692670
282.311	3.757830
284.361	3.763120
286.410	3.855510
288.460	3.624500
290.512	3.837120
292.562	3.882600
294.611	3.771920
296.661	3.724110
298.711	3.887140
300.763	3.806060
302.813	3.697640
304.862	3.782220
306.914	3.680840
308.964	3.711940
311.014	3.924710
313.063	3.820410
315.116	3.718260
317.165	3.766300
319.215	3.746550
321.285	3.784090
323.317	3.764830
325.366	3.745430
327.416	3.677930
329.468	3.733220
331.518	3.729380
333.567	3.680790
335.617	3.932370
337.667	3.884540
339.719	3.824730
341.769	3.866800
343.818	3.971690
345.868	3.802880
347.920	3.689890
349.972	3.774180
352.019	3.743330
354.069	3.812720
356.121	3.730750
358.171	3.815550
360.236	3.864950
362.270	3.827850
364.322	3.828310
366.372	3.827270
368.422	3.855980
370.474	3.764290
372.523	3.808080
374.573	3.729080
376.623	3.759110
378.675	3.756310
380.725	3.797000
382.774	3.795060
384.824	3.719040
386.876	3.696320
388.926	3.688940
390.975	3.673660
393.025	3.717650
395.077	3.696410
397.127	3.721020
399.176	3.700490
401.229	3.694000
403.281	3.786250
405.328	3.659490
407.380	3.757160
409.430	3.737300
411.479	3.693260
413.529	3.708520
415.581	3.802290
417.631	3.861910
419.681	3.812720
421.730	3.791970
423.780	3.722200
425.832	3.853700
427.882	3.898650
429.931	3.844350
431.984	3.818250
434.033	3.798340
