Elapsed time [s]	Value [0,1]
0.000	9.58787E-4
0.105	9.53248E-4
2.126	9.51770E-4
4.148	9.52435E-4
6.169	9.54938E-4
8.188	9.60942E-4
10.209	9.60830E-4
12.228	9.59465E-4
14.249	9.54625E-4
16.270	9.55810E-4
18.289	9.55501E-4
20.310	9.58528E-4
22.329	9.58960E-4
24.350	9.68684E-4
26.372	9.88348E-4
28.393	9.76062E-4
30.412	9.73699E-4
32.433	9.68565E-4
34.452	9.66118E-4
36.473	9.68064E-4
38.494	9.64837E-4
40.513	9.63791E-4
42.534	9.65925E-4
44.556	9.61690E-4
46.577	9.63180E-4
48.596	9.75186E-4
50.617	9.71785E-4
52.636	9.66111E-4
54.657	9.62949E-4
56.679	9.65539E-4
58.697	9.66671E-4
60.729	9.65288E-4
62.737	9.67093E-4
64.759	9.69337E-4
66.780	9.75835E-4
68.806	9.76722E-4
70.820	9.78057E-4
72.841	9.77340E-4
74.863	9.77658E-4
76.881	9.76805E-4
78.903	9.80155E-4
80.924	9.83249E-4
82.943	9.83667E-4
84.964	9.75361E-4
86.983	9.72897E-4
89.004	9.70946E-4
93.044	9.74090E-4
95.065	9.80364E-4
97.087	9.77482E-4
99.105	9.83188E-4
101.127	9.87273E-4
103.148	9.85214E-4
105.167	9.85476E-4
107.188	9.86372E-4
109.207	9.84477E-4
111.228	9.86758E-4
113.250	9.81614E-4
115.271	9.86531E-4
117.290	9.86865E-4
119.311	9.78954E-4
121.330	9.71368E-4
123.351	9.70443E-4
125.372	9.64518E-4
127.391	9.65892E-4
129.412	9.66164E-4
131.431	9.64367E-4
133.452	9.70258E-4
135.474	9.73947E-4
137.495	9.70621E-4
139.514	9.69313E-4
141.535	9.75071E-4
143.554	9.76518E-4
145.575	9.77468E-4
147.596	9.76817E-4
149.615	9.66492E-4
151.636	9.63351E-4
153.660	9.62403E-4
155.679	9.61629E-4
157.698	9.62152E-4
159.719	9.64218E-4
161.738	9.68662E-4
163.759	9.62669E-4
165.780	9.60718E-4
167.799	9.64512E-4
169.821	9.66731E-4
171.842	9.72421E-4
173.863	9.77363E-4
175.882	9.83657E-4
177.903	9.85360E-4
179.932	9.71797E-4
181.943	9.68228E-4
183.965	9.65841E-4
185.983	9.64686E-4
188.005	9.63800E-4
190.023	9.63478E-4
192.045	9.74302E-4
194.066	9.71164E-4
196.085	9.70271E-4
198.106	9.72658E-4
200.125	9.71483E-4
202.146	9.73408E-4
204.167	9.74755E-4
206.189	9.71529E-4
208.207	9.75230E-4
210.236	9.72410E-4
212.250	9.75242E-4
214.269	9.76840E-4
216.290	9.75905E-4
218.309	9.70903E-4
220.330	9.72033E-4
222.351	9.70419E-4
224.373	9.70899E-4
226.392	9.76494E-4
228.413	9.74385E-4
230.432	9.68237E-4
232.453	9.73308E-4
236.493	9.82237E-4
238.525	9.90148E-4
240.546	9.97381E-4
242.572	9.95183E-4
244.591	9.89887E-4
246.597	9.93137E-4
248.618	9.88163E-4
250.637	9.88701E-4
252.658	9.93624E-4
254.677	9.84140E-4
256.698	9.79750E-4
258.717	9.69854E-4
260.738	9.67164E-4
262.760	9.62166E-4
264.781	9.64037E-4
266.800	9.62240E-4
268.821	9.63780E-4
270.842	9.66087E-4
272.861	9.65649E-4
274.882	9.71395E-4
276.914	9.74271E-4
278.922	9.72171E-4
280.944	9.61585E-4
282.973	9.52560E-4
284.984	9.62906E-4
287.005	9.55953E-4
289.024	9.52852E-4
291.045	9.52448E-4
293.067	9.49748E-4
295.085	9.52005E-4
297.107	9.50678E-4
299.125	9.55537E-4
301.165	9.53926E-4
303.168	9.50249E-4
305.189	9.50825E-4
307.208	9.49748E-4
309.227	9.50466E-4
311.256	9.48997E-4
313.269	9.59355E-4
315.291	9.66787E-4
317.309	9.64187E-4
319.331	9.65662E-4
321.352	9.66044E-4
323.371	9.71046E-4
325.392	9.64154E-4
327.411	9.69216E-4
329.432	9.66890E-4
331.453	9.60954E-4
333.475	9.64706E-4
335.494	9.63628E-4
337.515	9.56389E-4
339.534	9.60426E-4
341.555	9.61593E-4
343.576	9.63967E-4
345.595	9.65394E-4
347.616	9.63463E-4
349.635	9.65738E-4
351.656	9.62350E-4
353.678	9.59587E-4
355.699	9.58797E-4
357.718	9.54507E-4
359.739	9.53479E-4
361.760	9.54552E-4
363.779	9.55527E-4
365.800	9.56811E-4
367.819	9.59036E-4
369.840	9.60064E-4
371.862	9.59566E-4
373.883	9.55360E-4
375.902	9.53214E-4
377.923	9.54379E-4
379.942	9.58686E-4
381.963	9.61700E-4
383.984	9.62460E-4
386.003	9.61515E-4
388.024	9.60523E-4
390.046	9.62326E-4
392.067	9.71341E-4
394.091	9.68154E-4
396.115	9.65776E-4
398.131	9.62313E-4
400.150	9.61421E-4
402.176	9.67018E-4
404.187	9.68662E-4
406.209	9.68388E-4
408.227	9.69049E-4
410.249	9.66737E-4
412.270	9.61275E-4
414.291	9.62041E-4
416.310	9.66802E-4
418.331	9.68765E-4
420.350	9.65524E-4
422.371	9.60992E-4
424.408	9.57139E-4
426.417	9.56033E-4
428.433	9.59447E-4
430.454	9.60432E-4
432.473	9.58800E-4
434.494	9.58519E-4
436.513	9.62387E-4
438.534	9.65650E-4
440.555	9.66620E-4
442.577	9.64393E-4
444.595	9.62102E-4
446.617	9.63691E-4
448.636	9.61943E-4
450.657	9.60930E-4
452.678	9.64542E-4
454.697	9.61906E-4
456.718	9.59998E-4
458.737	9.63168E-4
460.758	9.60000E-4
462.780	9.62397E-4
464.801	9.56240E-4
466.820	9.60766E-4
468.841	9.57227E-4
470.867	9.56602E-4
472.881	9.55801E-4
474.902	9.55155E-4
476.921	9.52894E-4
478.942	9.53926E-4
480.964	9.57397E-4
482.985	9.57127E-4
485.004	9.54938E-4
487.025	9.57350E-4
489.044	9.57020E-4
491.065	9.59468E-4
493.086	9.62882E-4
495.105	9.63676E-4
497.129	9.63949E-4
499.148	9.67102E-4
501.169	9.61117E-4
503.188	9.67990E-4
505.209	9.64949E-4
507.228	9.64144E-4
509.249	9.64649E-4
511.270	9.63683E-4
513.289	9.62468E-4
515.311	9.60159E-4
517.329	9.58242E-4
519.351	9.59577E-4
521.372	9.60165E-4
523.401	9.54650E-4
525.417	9.55340E-4
527.433	9.58885E-4
529.452	9.57346E-4
531.473	9.59511E-4
533.495	9.65616E-4
535.513	9.57356E-4
537.532	9.52582E-4
539.556	9.53229E-4
541.577	9.50535E-4
543.596	9.51083E-4
547.636	9.58109E-4
549.657	9.63251E-4
551.679	9.64975E-4
553.697	9.62448E-4
555.719	9.46517E-4
557.737	9.48347E-4
559.759	9.43916E-4
561.780	9.44062E-4
563.799	9.45292E-4
565.820	9.47086E-4
567.841	9.46513E-4
569.863	9.42843E-4
571.882	9.43458E-4
573.903	9.50414E-4
575.927	9.58405E-4
577.943	9.57376E-4
579.964	9.52093E-4
581.983	9.49752E-4
584.004	9.50213E-4
586.023	9.49784E-4
588.044	9.47610E-4
590.066	9.44151E-4
592.087	9.43993E-4
594.106	9.43190E-4
596.127	9.50724E-4
598.148	9.42686E-4
600.167	9.41399E-4
602.188	9.39819E-4
604.207	9.41615E-4
606.236	9.45725E-4
608.250	9.46638E-4
610.271	9.52551E-4
612.290	9.57645E-4
614.311	9.60027E-4
616.330	9.48568E-4
618.351	9.49223E-4
620.372	9.53595E-4
622.391	9.50836E-4
624.412	9.51834E-4
626.431	9.51502E-4
628.453	9.52975E-4
630.474	9.51795E-4
632.495	9.53957E-4
634.514	9.55522E-4
636.535	9.50938E-4
638.554	9.48670E-4
640.575	9.44220E-4
642.597	9.49998E-4
