Elapsed time [s]	Value [0,1E-05]
0.000	1.11564E-7
2.453	1.10196E-7
4.475	1.10113E-7
20.635	1.10142E-7
22.656	1.10156E-7
26.699	1.20142E-7
28.717	1.20354E-7
42.867	1.20454E-7
44.883	1.20615E-7
46.902	1.21282E-7
48.923	1.21833E-7
50.944	1.21650E-7
52.963	1.21879E-7
54.984	1.20639E-7
57.003	1.21716E-7
59.024	1.21874E-7
61.046	1.21895E-7
81.248	1.21113E-7
83.270	1.21844E-7
85.291	1.21887E-7
87.310	1.21874E-7
91.355	1.21887E-7
105.494	1.21903E-7
109.534	1.21887E-7
123.686	1.23130E-7
125.704	1.23460E-7
129.747	1.24927E-7
131.766	1.24253E-7
133.787	1.23476E-7
135.806	1.23460E-7
137.827	1.23473E-7
139.848	1.23934E-7
141.870	1.25008E-7
143.889	1.24994E-7
145.912	1.26597E-7
147.931	1.26611E-7
149.952	1.28219E-7
151.974	1.29732E-7
153.990	1.30294E-7
156.011	1.31511E-7
158.033	1.33194E-7
160.054	1.34900E-7
162.073	1.37610E-7
164.094	1.40026E-7
166.113	1.41863E-7
168.134	1.44895E-7
170.155	1.47299E-7
172.182	1.50637E-7
174.208	1.53047E-7
176.217	1.56660E-7
178.238	1.59000E-7
180.259	1.62828E-7
182.278	1.65165E-7
184.297	1.69156E-7
186.318	1.71578E-7
188.339	1.74745E-7
190.358	1.78110E-7
192.379	1.80503E-7
194.398	1.82935E-7
196.419	1.86688E-7
198.441	1.89417E-7
200.462	1.91865E-7
202.486	1.94301E-7
204.502	1.96409E-7
206.521	1.97207E-7
208.545	1.99707E-7
210.564	2.02251E-7
212.582	2.04356E-7
214.604	2.04858E-7
216.627	2.07410E-7
218.646	2.07483E-7
220.667	2.10114E-7
224.705	2.12778E-7
226.726	2.12748E-7
228.748	2.15477E-7
232.788	2.16253E-7
234.806	2.18215E-7
238.849	2.18123E-7
240.868	2.18086E-7
248.950	2.15399E-7
250.972	2.15370E-7
252.990	2.12630E-7
255.012	2.12652E-7
257.033	2.10008E-7
259.052	2.09204E-7
261.073	2.07318E-7
263.097	2.07342E-7
265.113	2.04719E-7
267.135	2.02226E-7
269.156	2.00844E-7
271.175	1.99612E-7
275.215	1.97105E-7
277.236	1.95006E-7
279.257	1.94654E-7
281.276	1.92390E-7
283.297	1.92167E-7
285.319	1.89777E-7
287.340	1.89737E-7
289.361	1.87379E-7
293.401	1.86200E-7
295.423	1.85000E-7
297.444	1.82676E-7
301.484	1.82193E-7
303.505	1.80398E-7
307.545	1.78739E-7
309.567	1.78125E-7
313.607	1.75894E-7
317.647	1.73865E-7
319.668	1.73667E-7
325.727	1.71486E-7
329.769	1.71515E-7
331.791	1.69365E-7
339.876	1.75177E-7
341.892	2.10047E-7
343.911	3.22396E-7
345.932	4.81132E-7
347.954	5.21906E-7
349.975	6.11863E-7
351.994	8.08215E-7
354.015	9.15387E-7
356.034	6.61134E-7
358.055	7.08489E-7
360.076	1.20307E-6
362.095	7.75362E-7
364.116	7.08194E-7
366.135	1.53265E-6
368.156	5.54919E-7
370.178	1.02039E-6
372.199	1.39980E-6
374.225	6.12645E-7
376.239	1.54292E-6
378.258	7.56219E-7
380.279	8.73130E-7
382.300	1.70562E-6
384.319	5.57788E-7
386.340	1.25662E-6
388.362	1.11267E-6
390.383	7.21501E-7
392.402	1.67788E-6
394.423	6.20954E-7
396.442	1.01136E-6
398.463	1.38018E-6
400.484	6.03438E-7
402.503	1.62347E-6
404.525	6.72774E-7
406.546	1.22011E-6
408.575	7.55879E-7
410.596	6.46934E-7
412.615	5.89280E-7
414.636	5.43215E-7
416.655	5.15755E-7
420.700	5.28577E-7
422.716	5.35464E-7
430.796	5.35298E-7
432.818	5.28708E-7
434.839	5.28586E-7
438.879	5.35301E-7
440.898	5.35426E-7
446.972	5.28785E-7
448.983	5.31632E-7
451.004	5.32186E-7
453.026	5.35500E-7
459.082	5.35443E-7
461.103	5.35348E-7
463.125	5.28700E-7
465.146	5.28575E-7
467.165	5.30722E-7
469.186	5.33253E-7
471.205	5.34239E-7
473.226	5.30728E-7
475.247	5.28615E-7
479.287	5.28753E-7
485.349	5.28694E-7
487.373	5.28888E-7
489.389	5.28674E-7
491.410	5.28563E-7
493.429	5.28630E-7
499.490	5.34042E-7
501.512	5.28730E-7
505.554	5.35469E-7
507.573	5.28886E-7
509.594	5.28726E-7
515.658	5.35425E-7
519.696	5.35356E-7
521.717	5.28588E-7
523.738	5.35440E-7
525.757	5.33611E-7
527.778	5.35437E-7
531.834	5.35519E-7
533.865	5.42100E-7
535.887	5.35716E-7
537.908	5.35426E-7
539.927	5.35536E-7
541.948	5.36946E-7
543.977	5.41779E-7
545.988	5.42261E-7
548.017	5.42174E-7
552.049	5.42119E-7
554.071	5.42189E-7
556.092	5.48172E-7
558.111	5.42229E-7
560.132	5.49126E-7
566.194	5.49457E-7
568.215	5.49154E-7
570.234	5.53242E-7
572.252	5.56213E-7
574.274	5.56145E-7
576.295	5.62931E-7
578.316	5.68442E-7
580.335	5.57467E-7
582.356	5.61192E-7
584.378	5.63286E-7
586.396	5.55453E-7
590.439	5.57556E-7
592.458	5.56130E-7
594.484	5.49152E-7
596.503	5.54013E-7
598.519	5.49379E-7
600.540	5.43831E-7
602.559	5.49106E-7
604.580	5.50747E-7
606.602	5.49186E-7
608.623	5.45445E-7
610.642	5.49035E-7
612.663	5.45340E-7
614.682	5.42173E-7
616.706	5.47526E-7
618.724	5.42340E-7
620.743	5.42161E-7
622.765	5.49066E-7
624.783	5.42163E-7
630.847	5.42265E-7
634.887	5.42208E-7
638.927	5.42407E-7
640.949	5.42189E-7
642.967	5.41511E-7
644.989	5.42196E-7
649.029	5.56195E-7
651.055	5.63289E-7
655.090	5.62813E-7
657.111	5.63271E-7
659.133	5.63338E-7
661.151	5.56266E-7
665.199	5.63351E-7
669.234	5.63274E-7
671.261	5.56060E-7
679.336	5.56129E-7
683.381	5.56203E-7
685.402	5.56096E-7
689.442	5.56205E-7
691.458	5.56079E-7
693.477	5.56215E-7
695.498	5.56153E-7
699.541	5.56018E-7
703.581	5.49708E-7
705.600	5.56110E-7
709.642	5.56013E-7
711.666	5.56133E-7
715.706	5.51566E-7
717.725	5.49178E-7
719.744	5.49238E-7
725.805	5.49139E-7
729.845	5.49022E-7
733.885	5.49144E-7
743.992	5.49220E-7
746.008	5.49130E-7
748.029	5.45939E-7
750.051	5.48975E-7
752.069	5.49238E-7
754.091	5.49183E-7
756.112	5.49121E-7
