Elapsed time [s]	Value [0,1300]
0.000	1039.950
1.611	1040.070
15.977	1039.870
22.180	1040.010
105.023	1039.890
107.044	1040.040
170.894	1039.900
177.015	1040.040
226.477	1039.910
232.788	1040.050
251.270	1039.930
273.881	1040.070
277.980	1039.960
286.191	1040.080
296.463	1039.940
302.627	1040.100
312.826	1039.960
321.043	1039.850
327.254	1040.010
570.800	1039.890
572.863	1040.000
601.653	1039.890
603.713	1040.030
614.036	1039.920
618.135	1040.040
640.843	1039.930
644.922	1040.070
649.062	1039.940
663.489	1040.070
702.461	1039.930
704.572	1040.070
710.752	1039.930
714.880	1040.060
733.347	1039.930
737.503	1040.050
747.772	1039.920
753.954	1040.030
807.510	1039.920
817.727	1040.050
821.811	1039.930
856.969	1040.070
869.313	1039.900
873.461	1040.050
877.514	1039.910
881.637	1040.070
887.994	1039.960
896.267	1040.090
898.374	1039.980
964.408	1040.150
968.476	1040.010
997.349	1040.120
1005.560	1039.970
1038.478	1040.090
1057.002	1039.980
1137.736	1040.090
1141.835	1039.960
1170.561	1040.070
1176.720	1039.930
1191.109	1040.100
1195.208	1039.940
1209.571	1040.080
1213.696	1039.970
1228.023	1040.100
1234.141	1039.960
1248.643	1040.080
1252.768	1039.970
1277.593	1040.090
1279.673	1039.920
1281.736	1040.060
1308.579	1039.940
1310.621	1040.050
1320.910	1039.920
1331.133	1040.100
1335.255	1039.890
1337.336	1040.030
1349.755	1040.190
1353.877	1040.020
1423.951	1039.910
1428.117	1040.040
1490.067	1040.000
1556.016	1040.110
1562.253	1039.980
1613.705	1040.110
1615.744	1039.970
1642.472	1040.080
1648.631	1039.970
1673.294	1040.080
1679.453	1039.970
1710.316	1040.090
1718.473	1039.960
1733.047	1040.070
1761.933	1039.960
1798.975	1040.130
1805.217	1040.020
1831.903	1039.910
1836.049	1040.070
1848.368	1039.960
1871.032	1040.070
1877.191	1039.950
1885.436	1040.070
1899.871	1039.930
1908.137	1040.070
1922.572	1039.950
1943.053	1040.060
1951.297	1039.950
1957.451	1040.130
1961.556	1039.910
1969.775	1040.040
1982.227	1039.920
1984.277	1040.040
2021.418	1039.930
2040.024	1040.070
2048.238	1039.920
2050.319	1040.030
2064.661	1039.880
2066.721	1040.000
2072.942	1040.130
2075.002	1039.990
2317.873	1039.870
2321.952	1039.990
2818.562	1040.100
2820.606	1039.980
2855.589	1040.090
2863.829	1039.980
3129.524	1040.130
3131.543	1040.020
3135.648	1039.850
3139.788	1039.960
3156.195	1040.070
3172.634	1039.960
3213.946	1040.070
3220.105	1039.960
3275.662	1040.070
3288.026	1039.950
3302.569	1040.080
3306.694	1039.960
3358.110	1040.070
3366.314	1039.920
3368.353	1040.030
3399.237	1039.910
3401.276	1040.020
3463.049	1039.880
3473.390	1039.990
3586.588	1040.100
3588.700	1039.950
3603.140	1040.070
3607.249	1039.930
3611.323	1040.040
3710.447	1039.920
3716.689	1040.050
3720.788	1039.890
3726.927	1040.050
3733.070	1039.910
3737.170	1040.040
3792.927	1039.870
3797.088	1040.020
3813.552	1040.160
3817.631	1040.050
3823.811	1039.910
3836.134	1040.040
3846.357	1039.880
3848.396	1040.000
3918.357	1040.110
3922.476	1039.940
3924.500	1040.120
3930.701	1039.980
3945.100	1040.090
3947.144	1039.960
3963.619	1040.070
3978.038	1039.950
4004.791	1040.060
4031.638	1039.910
4039.867	1040.080
4068.613	1039.970
4241.761	1040.080
4252.056	1039.970
4270.595	1040.100
4278.820	1039.870
4285.020	1039.980
4289.145	1040.120
4293.286	1039.870
4297.405	1040.060
4309.832	1039.950
4359.183	1040.160
4363.267	1039.990
4449.830	1039.870
4453.945	1040.010
4464.250	1039.870
4472.449	1039.990
4521.861	1040.100
4523.921	1039.990
4530.044	1039.860
4536.286	1040.000
4542.528	1040.110
4548.687	1039.880
4552.838	1040.000
4670.372	1040.110
4674.492	1040.000
4676.511	1039.890
4678.592	1040.040
4711.684	1039.930
4721.948	1040.060
4742.645	1039.910
4750.885	1040.020
4825.002	1039.900
4831.161	1040.010
