Elapsed time [s]	Value [0,100]
0.000	17.01860
0.164	16.89490
2.201	16.93870
4.261	16.96030
6.303	16.99120
8.347	16.98640
10.361	16.92030
12.403	16.98260
14.442	17.02720
16.484	17.09240
18.503	17.07840
20.542	16.86460
22.563	17.01320
24.603	17.00600
26.645	17.00880
28.725	16.92180
30.746	17.06720
32.786	17.08300
34.807	17.09140
36.826	16.99220
38.865	16.86630
40.907	17.05310
43.003	16.84820
45.104	17.01730
47.144	17.07110
49.211	16.87740
51.292	16.90550
53.393	16.92210
55.473	17.15330
57.554	16.93700
59.673	16.89420
61.694	17.05480
63.754	16.91310
65.835	16.82360
67.918	16.93340
69.996	16.98810
72.077	16.90820
74.116	16.94110
76.178	17.17540
78.259	16.98150
80.319	17.09280
82.340	17.01130
84.418	16.89120
86.499	17.01380
88.579	17.11250
90.680	17.13610
92.800	16.87180
94.847	17.11220
96.940	16.90430
99.021	16.99330
101.083	17.00110
103.122	17.02250
105.223	17.11980
107.304	16.81710
109.385	16.91940
111.445	16.99470
113.486	16.98320
115.544	16.87000
117.627	17.04550
119.705	16.97160
121.788	17.01330
123.827	17.09560
125.869	16.99800
127.909	17.13890
129.948	17.02840
132.008	16.99930
134.088	16.98840
136.130	17.16050
138.208	16.91910
140.289	16.93960
142.331	16.91050
144.352	17.06550
146.433	17.08910
148.472	17.04230
150.532	16.97840
152.574	17.00670
154.634	16.99920
156.655	17.05520
158.694	17.02230
160.813	16.92170
162.876	16.80380
164.918	17.04400
166.996	16.91960
169.056	16.96930
171.118	17.10060
173.158	17.05020
175.218	16.94470
177.257	17.00750
179.337	17.06560
181.418	16.96860
183.501	17.01830
185.561	17.09510
187.580	16.91960
189.622	16.86370
191.640	17.00540
193.680	16.92130
195.742	17.06350
197.820	16.90880
199.901	16.94670
201.981	17.07120
204.062	16.99750
206.163	16.98080
208.184	17.01380
210.244	17.02050
212.263	16.96620
214.325	17.10470
216.406	16.94780
218.487	16.87070
220.526	16.96260
222.627	16.86650
224.690	16.98560
226.770	17.16940
228.871	16.93010
230.911	16.90660
232.970	16.94610
234.992	16.95920
237.031	17.05210
239.130	16.84280
241.192	16.94040
245.333	17.01950
247.372	16.92300
249.411	16.95490
251.471	16.99630
253.513	16.95210
255.553	16.92710
257.571	17.01680
259.652	17.07690
261.694	16.85280
263.733	16.99050
265.793	17.02700
267.835	17.05430
269.895	16.96330
271.934	17.00730
273.981	16.86580
276.062	16.95290
278.101	17.15380
280.161	17.09180
282.203	16.92420
284.263	17.14240
286.343	16.78830
288.403	16.95500
290.476	17.00780
292.534	16.98080
294.596	16.89480
296.638	17.00170
298.680	17.04810
300.719	17.00360
302.761	16.79290
304.839	16.89270
306.917	16.99930
308.959	16.96910
310.998	17.06580
313.079	16.97400
315.159	17.01310
317.240	16.99060
319.279	16.88060
321.360	17.16130
323.461	16.99070
325.521	16.93570
327.599	16.93060
329.661	16.84790
331.724	16.92960
333.763	17.02350
335.823	17.08760
337.868	16.87830
339.925	17.04630
342.003	16.98490
344.076	17.00480
346.177	16.85840
348.296	17.11590
350.397	16.97980
352.436	17.01870
354.496	17.08270
356.556	16.81910
358.598	17.01760
360.697	17.07340
362.777	17.10310
364.858	17.10010
366.900	17.03610
368.960	16.86080
371.020	16.92440
373.059	17.03240
375.119	16.88500
377.161	16.98250
379.182	16.96110
381.222	17.06700
383.281	16.90890
385.362	17.07620
387.445	17.08550
389.484	16.99010
391.503	17.21700
393.545	17.06060
395.605	16.86090
397.683	17.01760
399.766	17.01190
401.805	17.02490
403.827	17.05890
405.918	16.88370
408.037	16.88580
410.097	17.07510
412.139	16.84960
414.157	17.04930
416.238	16.82170
418.280	16.98600
420.319	16.92870
422.400	17.17300
424.501	17.10000
426.561	16.96350
428.600	17.00610
430.642	16.94530
432.679	16.94020
434.700	16.99010
436.791	17.01350
438.810	16.95370
440.911	16.92660
442.971	17.08650
445.010	16.92150
447.073	16.98000
449.114	16.93400
451.213	17.09950
453.296	17.00260
455.415	17.04830
457.457	16.81770
459.517	17.00250
461.556	16.97740
463.658	16.96720
465.697	17.08360
467.826	16.95670
469.886	16.89970
471.977	17.10590
474.037	17.07310
476.076	17.07080
478.157	16.93660
480.217	17.10570
482.297	17.00080
484.360	16.94920
486.399	17.02030
488.459	17.07110
490.540	16.91900
492.620	16.98470
494.680	17.00260
496.761	17.04220
498.841	17.01600
500.883	16.84730
502.923	17.12720
504.983	17.04290
507.063	17.13090
509.102	17.00470
511.165	17.01470
513.243	17.03440
515.285	16.92010
517.324	17.03240
519.405	17.05850
521.465	16.96800
523.628	16.99640
525.566	17.01210
527.608	17.06460
529.671	16.99930
531.757	17.03610
533.798	17.05410
535.820	16.89650
537.880	16.97720
539.978	17.06170
542.059	16.89240
544.101	16.92110
546.161	16.95800
548.200	17.17630
550.242	16.96450
552.302	16.98800
554.416	16.95360
556.458	16.86660
558.559	17.21090
560.598	16.92680
562.679	16.93600
564.759	16.89020
566.819	17.04700
568.882	17.04520
570.942	17.12060
573.002	16.97190
575.062	17.06720
577.121	17.01810
579.181	16.90630
581.244	17.03440
583.327	16.93370
585.397	16.92290
589.558	17.11520
591.600	16.87800
593.640	17.04640
595.700	16.94460
597.721	17.00050
599.799	16.97730
601.820	17.15620
603.901	16.99770
605.940	17.07710
608.062	16.97210
610.083	17.10490
612.161	17.01710
614.221	17.09020
616.263	17.15120
618.302	16.91080
620.383	16.99410
622.445	17.00710
624.497	16.90690
626.578	17.01380
628.617	16.96220
630.639	16.90550
632.701	17.09100
634.782	17.05650
636.821	16.98460
638.922	16.99140
641.003	17.18280
643.063	16.92660
645.143	16.83060
647.242	16.94690
649.330	17.10790
651.372	16.91110
653.411	16.94380
655.471	16.98290
657.513	17.04870
659.552	16.88840
661.633	16.99520
663.713	16.85250
665.753	16.94830
667.813	16.87960
669.855	17.04390
671.935	16.93990
673.998	16.90160
676.058	17.02160
678.097	16.91210
680.157	16.90240
682.217	16.93740
684.259	16.84910
686.314	16.99650
688.376	16.99860
690.415	16.91150
692.496	17.03420
694.556	16.89610
696.616	16.96520
698.676	17.00780
700.718	16.99070
702.816	16.91680
704.876	16.89770
706.939	16.95300
709.019	16.89780
711.038	17.20750
713.098	16.95520
715.119	16.90490
717.159	16.96050
719.203	16.84110
721.322	16.92180
723.367	16.93720
725.383	16.95610
727.422	16.96230
729.492	16.92810
731.542	16.98990
733.602	16.97310
735.644	16.95740
737.665	16.73140
739.725	16.92710
741.767	16.95030
743.891	16.90330
745.905	16.90120
748.006	17.06360
750.027	16.95400
752.108	16.95140
754.147	17.00640
756.228	17.02710
758.308	16.99470
760.350	16.89880
762.410	17.07250
764.511	16.91000
766.574	16.99080
768.634	16.77260
770.673	16.96020
772.800	16.93760
774.839	16.92950
776.902	16.90620
778.941	16.94880
781.001	16.90000
783.043	17.00670
785.124	16.88870
787.163	16.78330
789.223	16.89720
791.283	16.87250
793.345	16.92030
795.405	16.91790
797.465	16.90330
799.525	16.89980
801.588	16.99160
803.648	16.98800
805.707	16.95870
807.747	17.00010
809.830	16.99400
811.869	16.80340
813.909	16.88800
815.951	17.10130
818.010	16.84840
820.050	16.84610
822.107	17.01040
824.165	16.94610
826.250	16.95720
828.310	17.05560
830.419	16.91680
832.502	16.99900
834.541	16.87640
836.563	16.99180
838.602	16.92910
840.644	16.90680
842.686	16.97110
844.725	17.06550
846.806	16.78980
848.866	17.01710
850.926	16.99250
852.968	17.00510
855.028	16.90490
857.067	16.84520
859.189	16.96530
861.233	16.86980
863.270	16.93130
865.350	16.95320
867.431	17.03280
869.509	17.00180
871.551	16.91580
873.611	16.80300
875.691	17.01240
877.733	17.18460
879.793	16.96310
881.832	16.91240
883.918	16.90550
885.957	16.89370
888.092	17.09130
890.201	16.88780
892.343	17.03490
894.383	16.94660
896.443	16.88550
898.482	16.99640
900.544	16.94090
902.584	16.99690
904.682	16.81140
906.745	16.90360
908.787	16.95630
910.826	16.91040
912.865	16.95380
914.933	17.10940
916.967	16.96900
919.086	16.87240
921.128	16.80170
923.188	16.82140
925.248	16.99460
927.329	16.95490
931.451	16.93300
933.511	16.94300
935.612	17.09170
937.652	17.00470
939.712	16.96230
941.774	16.83000
943.834	17.04150
945.933	17.06200
948.072	16.97560
950.194	16.93990
952.233	16.94960
954.255	16.98680
956.294	16.97960
958.336	16.89500
960.396	16.99630
962.476	16.96600
964.557	16.76620
966.578	16.95990
968.620	17.02190
970.680	16.87900
972.737	17.07260
974.839	16.95970
976.899	16.86780
978.920	17.11590
980.998	16.84510
983.081	16.89230
985.159	16.81970
987.221	17.03540
989.240	16.98310
991.323	16.95080
993.404	16.89780
995.484	17.05230
997.524	16.73820
999.584	16.76730
1001.646	16.96440
1003.665	16.98040
1005.745	17.01090
1007.890	16.90210
1009.966	16.98640
1011.995	17.00030
1014.075	16.89160
1016.135	17.19990
1018.174	16.89660
1020.214	17.03510
1022.297	16.95210
1024.316	17.03050
1026.396	16.99280
1028.456	17.05160
1030.477	16.96560
1032.599	16.89010
1034.639	17.00750
1036.678	16.96300
1038.717	16.93520
1040.777	16.90760
1042.860	16.89980
1044.900	16.98670
1046.960	16.94870
1048.999	16.94050
1051.020	16.78160
1053.060	16.85570
1055.125	17.01520
1057.205	16.97470
1059.265	17.01570
1061.307	16.95550
1063.367	16.86930
1065.455	16.94600
1069.614	16.93630
1071.676	17.00300
1073.816	17.13960
1075.896	16.85680
1077.977	16.95800
1080.058	16.95110
1082.097	16.98810
1084.157	16.95630
1086.237	16.93780
1088.318	16.89280
1090.401	16.95550
1092.461	16.91820
1094.500	16.95150
1096.601	16.97980
1098.682	17.04600
1100.762	16.81450
1102.843	16.94090
1104.903	17.09790
1106.984	16.91340
1111.044	16.87540
1113.086	16.93990
1115.146	16.85090
1117.227	16.88010
1119.325	17.07840
1121.385	16.97680
1123.424	16.87840
1125.492	17.06190
1127.624	17.09960
1129.715	16.95810
1131.795	16.96980
1133.835	16.94490
1135.936	16.85310
1137.978	16.82000
1140.017	16.90740
1142.056	17.04550
1144.078	16.91770
1146.120	16.87520
1148.180	16.83110
1150.260	17.04170
1152.302	16.93510
1154.362	16.98850
1156.401	17.03750
1158.461	16.99480
1160.483	16.92590
1162.563	16.93310
1164.682	16.90560
1166.724	16.93040
1168.764	16.93600
1170.803	16.98040
1172.845	17.02010
1174.905	16.89110
1176.944	17.05030
1179.027	16.88330
1181.067	16.94730
1183.126	16.88190
1185.166	16.95210
1187.208	17.03870
1189.293	16.80530
1191.356	16.81190
1193.434	17.09120
1195.476	16.97520
1197.515	16.80600
1199.616	16.88310
1201.676	16.99160
1203.718	16.89160
1205.757	16.88050
1207.817	16.90240
1209.857	16.88040
1211.958	17.16310
1213.997	16.87290
1216.039	16.81680
1218.120	16.85300
1220.162	16.95830
1222.180	17.08850
1224.261	16.86230
1226.341	16.83850
1228.363	16.87940
1230.423	16.88670
1232.524	16.85620
1234.622	16.94740
1236.682	17.08520
1238.745	16.78760
1240.805	17.07850
1242.844	17.00070
1244.966	16.89410
1247.046	16.94910
1249.088	16.60880
1251.148	16.96170
1253.190	16.92000
1255.271	16.98660
1257.351	16.78940
1259.393	17.09360
1261.412	17.02060
1263.472	16.92320
1265.514	16.82620
1267.553	17.10810
1269.592	16.88570
1271.632	17.00510
1273.653	17.02880
1275.695	16.88770
1277.714	16.68790
1279.753	17.09540
1281.875	16.80930
1283.935	16.95940
1285.974	16.84120
1288.057	17.08570
1290.117	16.87160
1292.156	17.00390
1294.257	16.94100
1296.299	16.83860
1298.419	16.89580
1300.499	16.88900
1302.559	16.85870
1304.681	16.95410
1306.779	17.06000
1308.839	16.95220
1310.961	16.80380
1313.116	16.93690
1317.257	16.91850
