Elapsed time [s]	Value [0,1300]
0.000	1139.980
74.739	1140.100
76.799	1139.980
134.619	1140.130
136.681	1139.930
140.819	1140.050
163.458	1139.920
165.497	1140.050
169.578	1139.860
171.659	1140.030
179.932	1139.890
186.122	1140.100
188.185	1139.950
237.652	1140.110
239.694	1139.920
243.813	1140.090
245.894	1139.950
266.439	1140.090
268.497	1139.940
285.025	1140.090
287.106	1139.930
309.729	1140.080
330.282	1139.930
338.524	1140.070
340.561	1139.930
342.600	1140.070
346.741	1139.920
348.801	1140.060
357.028	1139.930
365.244	1140.050
373.489	1139.920
387.867	1140.040
519.757	1139.860
521.817	1139.990
651.848	1139.770
674.407	1139.900
686.710	1140.130
688.729	1139.910
703.089	1140.070
705.172	1139.950
719.489	1140.080
721.549	1139.960
857.675	1140.150
859.734	1140.020
878.333	1139.900
880.352	1140.050
894.676	1139.920
896.757	1140.080
907.177	1139.930
919.560	1140.050
923.680	1139.890
925.725	1140.030
936.027	1139.910
938.066	1140.050
942.129	1139.890
944.171	1140.100
948.343	1139.950
950.372	1140.150
952.491	1139.930
954.528	1140.050
975.171	1139.890
977.218	1140.030
983.434	1139.900
985.473	1140.030
993.746	1139.910
995.804	1140.120
997.845	1139.920
999.926	1140.060
1016.310	1139.930
1018.391	1140.060
1026.672	1139.900
1028.734	1140.040
1063.774	1139.870
1065.813	1140.040
1069.897	1139.920
1071.959	1140.050
1086.317	1139.910
1092.451	1140.030
1131.842	1139.910
1142.105	1140.030
1150.327	1139.910
1154.447	1140.060
1156.548	1139.940
1164.731	1140.100
1168.851	1139.970
1279.992	1140.090
1282.032	1139.910
1284.053	1140.070
1286.134	1139.930
1288.173	1140.080
1290.215	1139.960
1298.465	1140.120
1300.507	1139.880
1302.636	1140.020
1306.738	1139.900
1308.780	1140.120
1312.939	1139.840
1314.983	1140.100
1319.100	1139.980
1383.077	1140.170
1385.211	1139.930
1397.502	1140.050
1401.668	1139.930
1407.886	1140.080
1414.107	1139.910
1416.149	1140.070
1434.632	1139.950
1440.791	1140.120
1444.875	1140.000
1490.212	1139.930
1492.251	1140.050
1504.574	1139.910
1506.634	1140.040
1510.754	1139.900
1519.035	1140.060
1521.095	1139.940
1531.436	1140.060
1554.147	1139.930
1556.191	1140.070
1564.390	1139.940
1572.573	1140.060
1589.058	1139.940
1609.569	1140.140
1611.629	1139.970
1661.428	1140.150
1663.509	1139.950
1677.928	1140.090
1680.009	1139.880
1684.134	1140.070
1686.209	1139.930
1690.252	1140.090
1694.351	1139.890
1696.411	1140.090
1700.510	1139.910
1702.576	1140.110
1704.615	1139.950
1729.277	1140.080
1731.296	1139.960
1743.718	1140.080
1745.778	1139.900
1747.879	1140.020
1799.408	1139.900
1801.468	1140.030
1803.559	1139.910
1807.632	1140.130
1809.672	1139.870
1811.711	1140.010
1916.459	1139.880
1918.493	1140.050
1930.883	1139.920
1932.938	1140.050
1937.063	1139.900
1945.308	1140.090
1959.779	1139.970
2021.552	1140.100
2023.632	1139.930
2027.731	1140.140
2029.796	1139.930
2033.916	1140.060
2044.216	1139.940
2050.380	1140.090
2054.541	1139.920
2064.882	1140.060
2066.989	1139.890
2069.069	1140.080
2077.273	1139.940
2124.620	1140.060
2141.121	1139.930
2143.180	1140.080
2155.463	1139.930
2157.523	1140.090
2161.627	1139.970
2171.906	1140.090
2173.987	1139.970
2182.252	1140.090
2186.393	1139.970
2225.403	1140.100
2227.463	1139.960
2231.562	1140.090
2237.685	1139.970
2247.985	1140.100
2250.024	1139.880
2254.165	1140.060
2264.526	1139.930
2266.571	1140.120
2268.589	1139.970
2272.689	1140.120
2274.728	1139.990
2604.354	1140.110
2606.393	1139.970
2629.017	1140.110
2633.116	1139.930
2637.236	1140.050
2639.280	1139.930
2649.575	1140.080
2651.619	1139.910
2666.116	1140.050
2682.729	1139.900
2684.769	1140.070
2697.128	1139.930
2699.168	1140.060
2711.574	1139.930
2719.813	1140.090
2721.935	1139.880
2726.070	1140.090
2728.136	1139.940
2730.175	1140.090
2732.255	1139.880
2734.295	1140.030
2750.785	1139.910
2761.048	1140.070
2771.312	1139.920
2775.452	1140.040
2777.533	1139.910
2800.254	1140.120
2802.298	1139.870
2804.338	1139.990
2824.880	1140.110
2826.940	1139.990
2837.204	1139.850
2839.269	1139.990
2968.885	1139.840
2970.951	1140.040
2979.231	1139.880
2981.271	1140.040
3014.122	1139.880
3016.156	1140.090
3020.327	1139.940
3049.151	1140.070
3069.807	1139.950
3117.304	1140.090
3119.348	1139.950
3135.745	1140.070
3139.891	1139.900
3141.951	1140.090
3144.052	1139.870
3146.133	1140.020
3253.249	1139.900
3255.314	1140.060
3276.058	1139.940
3280.219	1140.060
3288.423	1139.880
3290.462	1140.020
3294.587	1139.860
3296.647	1140.040
3321.330	1140.210
3323.370	1139.890
3325.430	1140.040
3348.048	1139.920
3360.330	1140.100
3362.375	1139.950
3382.917	1140.070
3384.987	1139.930
3401.555	1140.050
3426.176	1139.920
3428.220	1140.050
3504.423	1139.860
3506.524	1140.020
3562.142	1139.880
3564.264	1140.100
3568.425	1139.980
3605.426	1140.110
3607.466	1139.890
3609.505	1140.050
3617.750	1139.900
3621.927	1140.070
3623.971	1139.920
3626.010	1140.100
3630.130	1139.920
3638.432	1140.090
3642.495	1139.950
3677.540	1140.080
3679.620	1139.940
3683.807	1140.130
3685.918	1139.940
3687.999	1140.060
3692.139	1139.930
3714.819	1140.050
3758.207	1139.930
3764.412	1140.120
3766.493	1139.960
3838.251	1140.090
3840.311	1139.950
3902.109	1139.830
3904.133	1140.070
3922.713	1139.920
3928.893	1140.100
3931.005	1139.890
3933.064	1140.050
3955.672	1139.920
3957.732	1140.040
4025.463	1139.890
4027.502	1140.020
4171.894	1139.870
4173.928	1140.010
4206.918	1139.890
4208.998	1140.070
4213.097	1139.950
4219.221	1140.080
4225.369	1139.920
4245.928	1140.040
4250.048	1139.910
4254.152	1140.090
4260.373	1139.920
4262.453	1140.050
4278.907	1139.930
4324.221	1140.080
4330.421	1139.960
4386.101	1140.090
4412.906	1140.210
4414.945	1140.060
4417.011	1140.210
4423.129	1140.090
4464.235	1139.930
