Elapsed time [s]	Value [0,100]
0.000	25.02600
1.323	25.16360
3.365	25.03970
5.445	25.05180
7.467	25.06020
9.545	25.10210
11.605	25.04040
13.644	25.21830
15.665	25.09130
17.707	25.07880
19.767	25.16710
21.806	25.04400
23.928	25.14540
25.967	25.12490
28.033	24.91010
30.108	25.18750
32.152	25.12990
34.207	25.00540
36.252	25.17380
38.288	24.94240
40.310	25.22030
42.349	24.98050
44.419	24.92560
46.451	25.11980
48.470	25.01510
50.550	25.03090
52.649	25.13880
54.711	25.10510
56.771	25.09780
58.813	25.24720
60.891	24.88350
62.933	25.03540
64.972	25.15110
67.014	25.08220
69.033	25.14040
71.072	25.17710
73.114	25.06890
75.179	24.98110
77.260	25.19900
79.335	24.94700
81.357	25.10310
83.437	25.00990
85.541	25.06880
87.606	25.16160
89.681	25.08430
91.821	24.99680
93.904	25.08430
95.962	25.14560
98.021	25.15810
100.063	24.97560
102.121	25.03150
104.163	25.14470
106.264	25.02760
108.324	25.04450
110.404	25.03790
112.444	25.11460
116.587	25.06340
118.711	25.08490
120.748	25.20530
122.828	25.04440
126.909	25.25540
128.967	24.91640
131.009	25.11160
133.089	25.05410
135.198	25.02850
137.261	25.22270
139.341	25.04330
141.401	25.05380
143.440	25.17610
145.482	25.06090
147.540	25.01590
149.623	25.17160
151.706	24.98400
153.784	25.09430
155.846	25.13940
157.886	24.94020
159.907	25.14800
161.988	25.11790
164.068	25.05820
166.128	25.11300
170.248	25.07440
172.331	24.88830
174.391	25.21620
176.430	24.98860
178.472	25.13570
180.512	25.01290
182.551	25.14930
184.631	25.01930
186.653	25.23780
188.723	24.95110
190.762	25.00990
192.825	25.04520
194.885	25.06780
196.965	25.20350
199.025	25.08620
201.085	25.02380
203.127	25.17450
205.184	25.07040
207.247	24.94090
209.307	25.05110
211.387	25.09870
215.448	25.09530
217.529	25.20970
219.571	25.11390
221.628	24.98780
223.688	25.17510
225.750	24.96950
227.790	25.19640
229.860	25.27300
231.943	24.91750
234.003	25.09960
236.042	25.08260
238.123	24.98580
240.162	25.21960
242.204	25.00630
244.323	25.09380
246.368	25.23850
248.484	24.91480
250.503	25.26040
252.545	24.98350
254.605	25.07610
256.706	25.14180
258.787	25.10920
260.932	25.06610
265.028	25.01960
267.129	25.15790
269.192	25.18370
271.211	24.93750
273.273	25.16660
275.338	25.04010
277.419	25.15880
279.461	24.97370
281.541	25.21180
283.619	24.88620
285.720	25.22560
287.762	24.94010
289.802	25.08030
291.841	25.09570
293.883	25.08220
295.943	25.11320
298.023	24.95510
300.042	25.17640
302.123	25.02920
304.185	25.12050
306.224	25.17050
308.264	25.05840
310.303	25.13740
312.366	25.07380
314.405	25.06980
316.444	25.00970
318.486	25.12060
320.580	24.98290
322.601	25.02490
324.661	25.19390
326.741	25.04090
328.822	25.02740
330.861	25.10470
332.903	25.03440
335.020	25.01440
337.100	25.02680
339.181	25.20050
341.225	25.01170
343.311	25.06940
345.260	25.17770
347.302	25.03860
349.341	25.00970
351.401	25.29420
353.443	25.05000
355.462	24.94880
357.525	25.07440
359.584	25.00200
361.639	25.17020
363.722	25.07800
365.803	25.13680
367.863	25.15420
369.941	25.10410
372.003	25.02450
374.063	25.12040
376.082	25.09390
378.142	25.00960
380.222	25.11090
382.285	25.05900
384.327	25.15930
386.446	24.91380
388.467	25.16570
390.527	24.98890
392.567	25.07890
394.678	25.07430
396.717	25.01870
398.757	25.17980
400.819	24.99200
402.882	25.13550
404.962	24.95030
407.022	25.14020
409.082	25.06850
411.142	25.09950
413.181	25.11370
415.221	25.24070
417.322	24.98500
419.364	25.20840
421.424	25.20220
423.445	24.94660
425.484	25.08120
427.544	25.05840
429.625	25.06630
431.726	25.10310
433.791	25.08340
