Elapsed time [s]	Value [0,1600]
0.000	1105.030
0.571	1104.880
4.753	1104.550
6.795	1104.380
8.834	1104.240
10.873	1104.050
12.892	1103.890
14.975	1103.640
17.017	1103.500
19.056	1103.270
23.158	1102.960
25.241	1102.780
27.278	1102.510
31.380	1102.360
33.440	1102.080
37.560	1101.810
39.622	1101.540
41.708	1101.350
43.791	1101.200
47.957	1100.930
50.004	1100.750
52.041	1100.610
54.080	1100.480
56.140	1100.300
58.203	1100.060
62.305	1099.770
68.441	1099.650
76.765	1099.480
78.787	1099.650
91.208	1099.760
101.449	1099.870
126.212	1100.140
132.410	1099.990
142.714	1100.100
150.892	1099.980
161.197	1100.110
169.530	1099.960
183.929	1100.070
200.292	1099.940
206.580	1100.060
208.663	1099.950
216.844	1100.110
227.228	1099.980
283.022	1100.100
293.267	1099.940
305.627	1100.070
320.008	1099.940
336.413	1100.060
350.920	1099.940
359.142	1100.070
375.562	1099.950
383.825	1100.080
385.887	1099.940
392.010	1100.050
400.248	1099.940
414.827	1100.050
441.611	1099.910
456.054	1100.060
478.919	1099.950
487.180	1100.160
495.381	1099.980
501.542	1100.100
503.602	1099.980
552.853	1100.100
554.933	1099.980
594.219	1100.100
596.338	1099.910
602.562	1100.050
610.742	1099.910
614.883	1100.050
627.206	1099.920
631.267	1100.040
643.547	1099.930
656.025	1100.060
674.528	1099.950
680.744	1100.070
701.331	1099.950
709.619	1100.090
719.924	1099.960
734.225	1100.090
742.465	1099.930
758.888	1100.100
763.049	1099.950
791.803	1100.070
816.391	1099.950
818.430	1100.100
820.467	1099.980
868.121	1100.100
870.181	1099.950
878.385	1100.100
884.626	1099.980
936.207	1100.100
940.329	1099.950
1024.936	1100.070
1043.481	1099.940
1053.762	1100.060
1059.922	1099.950
1062.002	1100.060
1064.062	1099.950
1105.274	1100.080
1125.840	1099.940
1136.276	1100.060
1154.743	1099.920
1169.101	1100.040
1179.483	1099.900
1181.584	1100.040
1251.689	1099.910
1268.132	1100.030
1299.000	1099.920
1307.207	1100.050
1327.842	1099.930
1336.144	1100.100
1340.287	1099.970
1342.344	1100.080
1346.487	1099.960
1352.726	1100.070
1356.849	1099.940
1363.008	1100.060
1373.475	1099.940
1385.739	1100.060
1426.956	1099.940
1445.395	1100.060
1466.048	1099.950
1468.114	1100.060
1472.228	1099.950
1478.372	1100.080
1482.492	1099.940
1488.672	1100.020
1560.769	1099.880
1562.829	1100.040
1577.280	1099.930
1583.480	1100.070
1597.941	1099.920
1604.141	1100.060
1610.409	1099.950
1626.852	1100.060
1645.438	1099.840
1647.483	1099.960
1696.875	1100.080
1705.156	1099.960
1750.474	1100.140
1752.514	1100.030
1756.639	1099.900
1762.777	1100.060
1768.900	1099.950
1795.587	1100.070
1799.707	1099.950
1818.251	1100.070
1824.390	1099.900
1830.601	1100.100
1838.794	1099.980
1845.015	1100.090
1853.327	1099.920
1873.875	1100.050
1875.935	1099.940
1884.128	1100.090
1894.402	1099.970
1931.594	1100.090
1937.774	1099.960
1943.933	1100.110
1948.074	1099.980
1966.613	1100.090
1972.891	1099.950
1979.029	1100.090
2005.654	1099.960
2011.860	1100.080
2018.014	1099.930
2032.510	1100.070
2044.819	1099.950
2055.118	1100.080
2059.197	1099.950
2100.334	1100.090
2110.680	1099.940
2131.326	1100.090
2133.365	1099.970
2147.743	1100.120
2151.827	1099.990
2153.908	1099.860
2158.110	1100.020
2174.512	1099.900
2178.714	1100.060
2184.894	1099.930
2211.709	1100.050
2228.173	1099.910
2236.351	1100.090
2240.492	1099.900
2250.735	1100.040
2265.175	1099.930
2269.300	1100.070
2283.709	1099.910
2285.769	1100.050
2296.028	1099.920
2314.567	1100.070
2318.713	1099.950
2349.535	1100.100
2361.858	1099.970
2421.535	1100.090
2434.018	1099.970
2450.559	1100.080
2462.811	1099.960
2469.026	1100.070
2473.131	1099.850
2475.227	1100.000
2775.911	1100.130
2782.090	1100.010
2796.474	1099.840
2800.553	1100.000
2845.902	1099.890
2847.983	1100.020
2860.347	1099.910
2870.652	1100.030
2922.048	1099.910
2924.108	1100.060
2926.147	1099.920
2928.207	1100.050
2930.246	1099.940
2932.342	1100.050
2963.236	1099.930
2994.151	1100.050
3025.189	1099.900
3039.572	1100.030
3045.737	1099.910
3049.954	1100.050
3054.033	1099.890
3056.093	1100.040
3074.622	1099.920
3080.797	1100.100
3084.901	1099.950
3088.980	1100.060
3093.058	1099.950
3119.869	1100.070
3123.968	1099.950
3142.409	1100.080
3148.548	1099.900
3165.027	1100.050
3181.641	1099.890
3185.740	1100.040
3200.180	1099.930
3226.985	1100.080
3233.124	1099.950
3237.295	1100.120
3241.441	1099.980
3327.994	1100.090
3332.196	1099.930
3356.818	1100.110
3364.960	1099.940
3381.341	1100.060
3391.646	1099.930
3395.746	1100.050
3399.865	1099.910
3403.985	1100.070
3408.115	1099.950
3426.711	1100.090
3434.967	1099.890
3439.107	1100.050
3445.246	1099.920
3463.713	1100.050
3478.153	1099.910
3488.484	1100.070
3500.802	1099.940
3535.878	1100.050
3541.996	1099.930
3566.628	1100.070
3595.498	1099.930
3620.263	1100.050
3655.303	1099.930
3669.738	1100.070
3675.881	1099.930
3692.392	1100.080
3700.668	1099.960
3762.538	1100.070
3776.983	1099.940
3791.372	1100.100
3795.476	1099.950
3803.695	1100.100
3807.851	1099.980
3830.608	1100.100
3834.708	1099.940
3849.158	1100.070
3871.807	1099.950
3929.563	1100.060
3943.946	1099.930
3950.126	1100.090
3954.246	1099.950
3995.486	1100.080
4001.645	1099.930
4026.369	1100.070
4034.588	1099.950
4069.613	1100.070
4079.856	1099.950
4096.278	1100.060
4104.456	1099.940
4118.850	1100.060
4143.611	1099.940
4151.814	1100.080
4155.914	1099.940
4162.068	1100.060
4209.606	1099.930
4215.765	1100.130
4217.820	1100.010
