Elapsed time [s]	Value [0,100]
0.000	28.68260
0.713	28.66090
2.775	28.47620
4.874	28.66130
8.955	28.53040
10.994	28.63820
13.034	28.58080
15.114	28.64300
17.195	28.53960
19.257	28.62880
21.338	28.50020
23.380	28.66730
25.440	28.55350
27.520	28.59700
29.621	28.54050
31.640	28.41330
33.682	28.59810
35.742	28.47620
37.781	28.61670
39.862	28.56420
41.901	28.55750
43.943	28.55320
46.031	28.42570
48.068	28.52510
50.151	28.47550
52.211	28.40650
54.299	28.51690
56.359	28.58310
58.422	28.69710
60.502	28.78810
62.562	28.77780
64.602	28.74420
68.724	28.78360
70.802	28.90040
72.844	28.78750
74.922	28.93820
79.003	28.81640
81.045	28.75100
83.084	28.97550
85.144	28.86500
87.207	28.90200
89.246	29.02320
91.327	28.81690
93.389	29.03890
95.408	28.82060
97.488	28.87100
99.569	28.93040
101.670	28.81350
103.689	29.04230
105.751	28.85260
107.832	28.80950
109.905	28.82140
111.985	28.87420
114.048	28.86750
116.110	28.84500
118.170	28.79760
120.251	28.88160
122.272	28.90750
124.332	28.90260
126.392	28.69820
128.444	28.85870
130.473	28.85280
132.574	28.85940
134.616	28.79430
136.656	28.94860
138.731	28.92770
140.811	28.87650
142.830	28.69340
144.931	28.79900
146.991	28.87940
149.110	28.95000
151.155	28.99530
153.192	28.78830
155.236	28.82250
157.294	28.87430
159.333	28.69030
161.393	28.73690
163.494	28.83620
165.613	28.80980
167.655	28.76060
169.715	28.89530
171.793	28.71400
173.835	28.87530
175.915	28.80610
177.975	28.82590
180.017	28.96120
182.157	28.84350
184.238	28.73260
186.256	28.82740
188.278	28.88860
190.337	28.83880
192.397	28.89370
194.478	28.74210
196.538	28.80130
198.598	28.95820
200.658	28.84140
202.679	28.87140
204.700	28.80080
206.740	28.78330
208.820	28.99540
210.862	28.82570
212.881	28.89920
214.923	28.76310
216.962	28.72610
219.004	28.87290
221.100	28.70210
223.142	28.81340
225.230	28.85040
227.329	28.75780
229.430	28.76930
231.531	28.71560
233.591	28.76380
235.651	28.87860
237.711	28.92400
239.822	28.90110
241.918	28.82340
243.989	28.81660
246.074	28.78260
248.126	28.88380
252.254	28.74040
254.337	28.85460
256.376	28.79200
258.436	28.78900
260.496	28.83460
262.577	28.82690
264.657	28.94630
266.697	28.90500
268.739	28.85700
270.819	28.79180
272.859	28.75680
274.918	28.93000
276.981	28.81070
279.020	28.87630
281.080	28.81860
283.199	28.68120
285.182	28.87340
287.242	28.69130
289.325	28.81350
291.424	28.88440
293.466	28.96760
295.526	28.82510
297.565	28.87460
299.645	28.85810
301.744	28.78520
305.825	28.76130
307.906	28.91390
309.966	28.72770
311.987	28.86560
314.047	28.79530
316.068	28.83830
318.149	28.84450
320.191	28.87600
322.230	28.88050
324.290	28.84480
326.371	28.76940
328.428	28.88800
330.490	28.83950
332.550	28.82820
334.613	28.63930
336.670	28.75420
338.730	28.77940
340.811	28.82220
342.873	28.70730
344.913	28.95720
346.972	28.82700
349.074	28.83050
351.195	28.94600
353.237	28.83570
355.277	28.81750
357.337	28.85880
359.368	28.75630
361.408	28.79740
363.467	28.89930
365.548	28.85610
367.629	28.79480
369.668	28.91660
371.710	28.84220
373.770	28.78900
375.830	28.91080
377.851	28.69090
379.872	28.97280
381.912	28.83060
383.933	28.68030
386.006	28.94170
388.048	28.80150
390.108	28.78680
392.147	28.77340
394.209	28.72520
396.231	28.83090
398.327	28.86920
400.369	28.83430
402.408	28.78870
404.450	28.86530
406.597	28.93470
410.846	28.75090
412.885	28.82210
414.968	28.78110
419.109	28.83190
421.169	28.90670
423.249	28.85780
425.309	28.79240
427.369	28.91900
429.411	28.67230
431.430	28.82010
433.472	28.84870
435.532	28.88100
437.571	28.77410
439.690	28.92850
441.812	28.85930
443.851	28.72310
445.932	28.82380
447.974	28.85090
449.992	28.96480
452.032	28.87980
454.112	28.89120
456.175	28.71360
458.294	28.87870
460.336	28.80410
462.455	28.86670
464.515	28.83410
466.596	28.82540
468.666	28.86230
470.816	28.77630
472.876	28.87450
474.977	28.81750
476.998	28.74930
479.061	28.94330
481.100	28.86830
483.178	28.84310
485.238	28.79040
487.321	28.55900
489.360	28.84060
491.420	28.74550
493.480	28.88930
495.561	28.86430
497.603	28.78290
499.683	28.91550
501.725	28.73570
503.806	28.93540
505.886	28.81630
507.908	28.94820
509.947	28.74740
512.007	28.85980
514.087	28.82250
516.147	28.71290
518.228	28.85360
520.308	28.85680
522.368	28.82470
524.470	28.85620
526.509	28.78410
528.569	28.70090
530.688	28.88740
532.727	28.87440
534.767	28.71810
536.788	28.85130
538.827	28.92930
540.849	28.66660
542.888	28.74530
544.948	28.77500
547.010	28.96490
549.052	28.91880
551.133	28.75310
553.211	28.75700
555.273	28.74370
