Elapsed time [s]	Value [0,800]
0.000	205.3730
5.515	205.4100
7.593	205.3610
9.619	205.4100
11.674	205.3220
13.716	205.3730
17.836	205.4190
19.875	205.3650
21.917	205.3870
26.058	205.3320
28.177	205.3980
30.219	205.4320
32.320	205.3680
34.364	205.4120
36.440	205.3830
38.502	205.4180
40.585	205.3400
42.769	205.3710
48.892	205.3980
50.952	205.3650
59.174	205.3900
63.278	205.4110
69.496	205.3200
73.619	205.3920
75.658	205.3570
81.882	205.3800
88.100	205.4260
90.160	205.3650
92.205	205.3420
94.262	205.3770
98.421	205.3440
100.460	205.3830
104.582	205.3600
106.709	205.3180
108.785	205.3780
115.065	205.3520
117.127	205.3300
119.169	205.3000
121.209	205.3610
135.631	205.3370
137.670	205.3660
143.814	205.4000
145.897	205.3690
149.952	205.3350
164.277	205.3700
166.339	205.3270
168.425	205.3910
172.630	205.3320
176.729	205.3830
180.854	205.3490
187.011	205.3760
191.190	205.3510
193.291	205.3300
199.473	205.3920
201.533	205.3400
220.057	205.2990
226.201	205.3490
236.532	205.3810
238.571	205.3570
242.650	205.3160
244.710	205.3660
246.749	205.3280
248.829	205.3880
250.874	205.3660
259.111	205.3230
261.212	205.3550
265.301	205.3880
267.338	205.3470
269.413	205.3030
277.635	205.3270
279.677	205.3510
287.914	205.3820
289.979	205.3480
292.019	205.3700
294.099	205.3190
298.222	205.3790
302.344	205.3150
306.443	205.3450
308.503	205.2920
312.644	205.3160
314.683	205.3570
316.725	205.3880
318.764	205.3620
322.871	205.3200
327.053	205.3450
333.297	205.3120
339.477	205.3550
349.823	205.3890
351.885	205.3370
355.964	205.3640
362.131	205.3340
370.348	205.2980
374.468	205.3360
376.548	205.2990
378.590	205.3430
380.663	205.3190
386.863	205.3490
388.944	205.3040
397.124	205.3370
405.426	205.2720
407.486	205.3140
409.569	205.3390
411.647	205.3100
415.728	205.3760
417.809	205.3270
428.149	205.3490
432.311	205.3160
436.392	205.3530
438.431	205.3050
440.512	205.3420
450.834	205.3040
454.934	205.3780
459.056	205.3510
467.247	205.3020
469.320	205.3280
475.518	205.3030
483.773	205.2530
485.815	205.3580
489.940	205.3350
504.321	205.3030
506.422	205.3350
518.766	205.2740
527.091	205.3080
529.210	205.3320
535.390	205.2740
539.530	205.3180
543.632	205.3460
547.734	205.3060
558.013	205.3520
562.115	205.3100
564.154	205.2870
566.214	205.3340
570.375	205.2970
574.454	205.2730
576.496	205.3100
580.659	205.3420
582.722	205.2740
590.972	205.2990
592.988	205.2630
595.030	205.3030
599.155	205.3320
601.236	205.3090
621.714	205.2560
625.836	205.3420
627.889	205.3080
640.310	205.3370
648.671	205.2500
650.713	205.2790
654.833	205.2510
656.872	205.3060
663.114	205.2400
665.199	205.2760
669.337	205.3030
673.465	205.2720
681.717	205.3000
694.020	205.2520
702.201	205.3070
706.261	205.2860
708.301	205.3070
714.640	205.3360
716.721	205.2480
718.742	205.2050
720.820	205.2700
