Elapsed time [s]	Value [0,800]
0.000	300.0150
0.118	299.9810
8.329	300.0430
14.561	299.9900
28.962	300.0200
35.152	299.9820
47.494	300.0290
53.632	299.9820
59.774	300.0410
61.836	299.9890
78.298	299.9590
80.388	299.9970
84.570	300.0370
90.737	299.9890
94.898	300.0250
96.999	299.9810
103.138	300.0140
109.279	299.9730
113.381	300.0050
138.018	299.9590
142.168	300.0120
150.395	299.9810
156.578	300.0530
160.718	300.0190
166.880	299.9840
168.919	300.0190
179.144	299.9800
189.462	300.0150
191.522	299.9720
193.602	300.0100
210.041	299.9720
214.166	300.0400
216.285	300.0100
245.011	299.9730
251.175	300.0040
267.655	299.9540
273.806	299.9890
284.088	300.0310
296.471	299.9900
315.072	299.9480
321.213	299.9980
335.756	299.9640
337.837	300.0090
352.290	300.0640
356.402	299.9940
370.767	299.9620
374.923	300.0190
385.233	300.0540
387.275	300.0230
391.436	299.9840
397.595	300.0170
414.080	299.9830
416.119	300.0170
424.321	299.9860
426.404	299.9450
428.482	300.0020
451.118	300.0530
453.180	300.0180
455.240	299.9860
465.594	299.9470
471.828	300.0000
490.308	300.0370
494.472	299.9960
496.552	300.0270
500.633	299.9750
502.719	300.0320
506.777	300.0000
513.034	299.9640
519.155	300.0060
535.722	299.9640
537.784	300.0020
562.465	300.0390
566.608	300.0060
568.660	299.9700
572.796	300.0180
576.872	299.9850
599.474	300.0170
605.556	300.0480
609.661	300.0120
615.887	300.0440
620.012	299.9680
630.330	300.0060
671.557	300.0430
673.619	299.9840
675.659	300.0230
685.963	299.9930
704.493	299.9580
706.552	300.0000
710.675	300.0320
720.874	299.9850
753.977	300.0250
756.058	299.9820
762.240	300.0300
770.441	299.9870
778.702	300.0230
784.884	299.9770
789.004	300.0160
799.335	299.9760
809.596	300.0080
817.835	300.0420
826.155	300.0020
869.509	300.0360
879.852	299.9900
883.952	300.0330
890.134	299.9960
898.335	299.9580
904.536	299.9910
912.698	300.0290
918.919	299.9950
921.020	300.0560
923.065	300.0160
931.266	299.9550
933.362	300.0000
960.043	299.9530
966.243	300.0020
1003.479	299.9690
1009.662	300.0220
1011.701	299.9880
1026.092	300.0270
1036.405	299.9960
1065.131	300.0330
1073.394	299.9850
1087.919	300.0280
1094.057	299.9890
1100.199	300.0210
1102.274	299.9780
1108.400	300.0200
1112.509	299.9860
1116.611	300.0190
1133.134	300.0530
1137.218	299.9970
1141.315	299.9640
1155.778	299.9950
1157.820	299.9620
1161.919	299.9930
1166.065	300.0400
1168.125	299.9970
1176.308	300.0290
1186.567	299.9880
1221.601	300.0350
1227.863	300.0050
