Elapsed time [s]	Value [0,100]
0.000	4.785360
0.241	4.873720
2.281	4.830970
4.341	4.790050
6.380	4.815160
8.440	4.753330
10.500	4.827030
12.580	4.857820
14.682	4.872570
16.741	4.822080
18.830	4.845610
20.861	4.850130
22.957	4.834920
25.017	4.769520
27.059	4.821750
29.099	4.815350
31.138	4.817430
33.182	4.805480
35.291	4.856130
37.333	4.809320
39.450	4.843300
41.492	4.810850
43.531	4.800350
45.612	4.805230
47.671	4.787460
49.713	4.846330
51.789	4.831430
53.854	4.847790
55.893	4.843940
57.953	4.829930
60.034	4.795020
62.096	4.822120
64.156	4.830120
66.216	4.797210
68.276	4.861690
70.338	4.806440
72.375	4.804080
74.417	4.820910
76.477	4.870380
78.498	4.843890
80.556	4.807270
82.598	4.791410
84.668	4.808390
86.751	4.855700
88.819	4.839660
90.858	4.841940
92.977	4.824310
95.037	4.789280
97.120	4.856360
99.160	4.815700
101.219	4.804330
103.279	4.821530
105.321	4.759690
107.420	4.849840
109.480	4.807000
111.522	4.811610
113.582	4.825410
115.616	4.814620
117.642	4.813520
119.682	4.816060
121.724	4.807080
123.763	4.818460
125.802	4.855000
127.883	4.813770
129.943	4.815350
131.985	4.825930
134.055	4.840040
136.115	4.854270
138.175	4.831200
140.227	4.849570
142.269	4.794560
144.375	4.808220
146.417	4.828830
148.456	4.817960
150.555	4.818920
152.636	4.819810
154.698	4.813780
156.737	4.788920
158.818	4.802820
160.860	4.837290
162.984	4.817970
164.959	4.838120
169.120	4.771890
171.162	4.812760
173.201	4.847260
175.241	4.810810
177.262	4.789920
179.325	4.832580
181.382	4.838420
183.504	4.826600
185.564	4.843100
187.624	4.858700
189.686	4.848340
191.746	4.863870
193.785	4.830170
195.827	4.803330
197.846	4.801610
199.885	4.841620
201.963	4.827720
204.005	4.833540
206.122	4.816070
208.182	4.816920
210.242	4.841490
212.281	4.842300
214.377	4.759060
216.419	4.862540
218.458	4.813170
220.477	4.838230
222.557	4.779600
224.620	4.826760
226.659	4.820580
228.701	4.787060
230.769	4.805080
232.849	4.796980
234.909	4.833150
236.972	4.857830
238.991	4.836740
241.071	4.821260
243.172	4.814980
245.253	4.826940
247.292	4.824870
249.334	4.824130
251.412	4.836640
253.495	4.807310
255.583	4.861030
257.664	4.800820
259.716	4.883790
261.758	4.825930
263.836	4.816270
265.878	4.854900
267.938	4.866460
270.006	4.852390
272.040	4.844520
274.125	4.854900
276.170	4.819960
278.268	4.838350
280.290	4.814530
282.309	4.818400
284.410	4.804800
286.431	4.853970
288.470	4.755030
290.512	4.802320
292.552	4.845130
294.591	4.836140
296.664	4.841140
298.703	4.806940
300.784	4.821850
302.864	4.806650
304.911	4.848270
306.966	4.821780
309.026	4.784440
311.112	4.796960
313.151	4.817240
315.255	4.879450
317.315	4.822300
319.374	4.847070
321.434	4.793590
323.507	4.840190
325.529	4.861250
327.609	4.877860
329.648	4.836020
331.755	4.856780
337.958	4.802480
339.997	4.837440
342.057	4.814500
344.117	4.803360
346.159	4.847210
348.260	4.822710
350.281	4.811930
352.400	4.748240
354.460	4.797420
356.502	4.893360
358.542	4.842000
360.643	4.796510
362.700	4.868200
364.742	4.822520
366.784	4.847930
368.823	4.869340
370.883	4.832620
372.943	4.872980
375.044	4.765500
377.104	4.812220
379.203	4.809380
381.263	4.793020
383.284	4.795690
385.347	4.761150
387.515	4.837270
389.533	4.859000
391.575	4.822820
393.643	4.836330
395.695	4.819650
397.714	4.820940
399.797	4.804470
401.839	4.839950
403.899	4.806870
405.977	4.778470
408.039	4.818880
410.099	4.813170
412.159	4.819670
414.240	4.857210
416.300	4.808390
418.380	4.816350
420.422	4.799050
422.482	4.836270
424.521	4.826360
426.561	4.858950
428.582	4.771940
430.681	4.828120
432.720	4.815840
436.863	4.804410
438.923	4.836210
441.058	4.784980
443.120	4.791080
445.159	4.850190
447.219	4.836900
449.279	4.770810
451.342	4.780090
453.402	4.846080
455.462	4.832610
457.542	4.798610
459.602	4.808990
461.644	4.809630
463.704	4.811090
465.746	4.874250
467.806	4.851940
469.845	4.841970
471.923	4.799300
473.986	4.876830
476.046	4.817860
478.105	4.816460
480.145	4.805240
482.205	4.832950
484.267	4.834560
486.286	4.786340
488.367	4.819000
490.429	4.806350
492.510	4.849890
494.593	4.836940
496.653	4.790390
498.713	4.832510
500.793	4.835180
502.835	4.745590
504.900	4.781400
506.963	4.859350
509.043	4.819540
511.103	4.860810
513.145	4.856640
515.264	4.871240
517.283	4.798700
519.325	4.823090
521.364	4.826240
523.424	4.843520
525.517	4.861960
527.559	4.788710
529.640	4.829200
531.780	4.849850
533.819	4.818080
535.861	4.861810
537.941	4.824350
539.981	4.795030
542.023	4.806800
544.062	4.840770
546.125	4.797250
548.182	4.778040
550.265	4.787230
552.325	4.858960
554.426	4.819170
556.465	4.828040
558.567	4.861570
560.624	4.802300
562.782	4.746420
564.785	4.804320
566.845	4.825390
568.884	4.852330
570.996	4.835060
573.076	4.781340
575.116	4.859460
577.155	4.840140
579.217	4.808090
581.257	4.827340
583.296	4.828100
585.338	4.822570
587.398	4.843460
589.440	4.848930
591.482	4.826560
593.542	4.805750
595.602	4.835330
597.641	4.790860
599.662	4.825150
601.735	4.811200
603.818	4.831940
605.858	4.774800
607.897	4.843040
609.977	4.789380
612.040	4.791320
614.108	4.808870
616.168	4.745980
618.207	4.829780
620.295	4.860900
622.337	4.847650
624.397	4.785790
626.478	4.795200
628.558	4.849790
630.639	4.771710
632.678	4.813960
634.720	4.797630
638.801	4.821540
640.840	4.820830
642.880	4.826730
644.940	4.820210
647.041	4.785110
649.101	4.850920
651.143	4.832940
653.223	4.811670
655.263	4.814410
657.284	4.791690
659.344	4.822790
661.404	4.830600
663.443	4.799260
665.503	4.807370
667.545	4.835590
669.605	4.808910
671.644	4.767440
673.758	4.835200
675.780	4.786560
677.840	4.811370
679.920	4.812150
681.939	4.817410
684.040	4.802110
686.141	4.816420
688.201	4.799210
690.282	4.791590
692.362	4.832870
694.401	4.862500
696.461	4.797550
698.542	4.837250
700.622	4.800080
702.703	4.816190
704.745	4.844300
706.764	4.795990
708.844	4.777520
710.886	4.776980
712.964	4.823270
715.006	4.781380
717.048	4.756300
719.087	4.839950
721.126	4.826300
723.207	4.792650
725.246	4.767710
727.296	4.789850
729.359	4.845960
731.398	4.772200
733.499	4.802290
735.541	4.855810
737.639	4.806580
739.661	4.797260
741.741	4.795200
743.781	4.809710
745.882	4.825380
747.942	4.798530
750.004	4.810420
752.044	4.816060
754.104	4.787840
756.163	4.830100
758.223	4.788590
760.263	4.797370
762.361	4.782690
764.442	4.787450
766.502	4.799530
768.523	4.755870
770.583	4.819620
772.643	4.789330
774.741	4.770350
776.804	4.785090
778.823	4.790880
780.883	4.783480
782.963	4.850040
