Elapsed time [s]	Value [0,1300]
0.000	38.81040
0.157	38.80040
2.361	38.77540
4.375	38.74200
6.486	38.80810
8.438	38.86140
10.562	38.73540
12.736	38.86380
14.736	38.78480
16.876	38.84560
18.874	38.76160
20.986	38.78030
23.187	38.86440
25.111	38.89820
27.189	38.80780
29.236	38.82550
31.437	38.86430
33.546	38.81150
35.562	38.80610
37.470	38.82540
39.705	38.85160
41.611	38.88070
43.812	38.90030
45.705	38.80480
49.830	38.86390
52.001	38.84300
56.079	38.85070
60.312	38.87150
62.421	38.83120
64.329	38.75940
66.438	38.81490
68.454	38.82190
72.641	38.81730
74.783	38.79480
76.908	38.75380
81.033	38.82750
83.064	38.85980
85.158	38.85250
87.267	38.92410
89.283	38.88010
91.284	38.84150
93.392	38.85130
