Elapsed time [s]	Value [0,100]
0.000	5.436100
1.156	5.383440
3.579	5.395380
5.580	5.446780
8.438	5.444220
10.423	5.364770
12.532	5.410130
16.876	5.391490
18.874	5.378310
20.970	5.372800
23.187	5.378430
25.111	5.364370
27.189	5.429470
29.236	5.473550
31.437	5.419960
33.546	5.406050
35.562	5.390360
37.766	5.396550
39.705	5.426590
41.796	5.458070
43.830	5.432900
46.016	5.480110
48.390	5.431110
50.064	5.406660
52.080	5.421210
54.140	5.384210
56.249	5.425610
58.296	5.437370
60.374	5.395190
62.421	5.392980
64.517	5.389970
66.564	5.356770
68.861	5.466430
70.890	5.383390
72.986	5.392450
74.984	5.395090
77.093	5.370530
79.109	5.472250
81.218	5.407160
83.234	5.364250
85.343	5.439380
88.266	5.366970
90.251	5.336530
92.375	5.364580
