Elapsed time [s]	Value [0,100]
0.000	3.702930
0.955	3.631710
3.376	3.687550
5.392	3.703590
8.296	3.724740
10.220	3.745070
12.329	3.818450
14.533	3.723110
16.657	3.694800
18.658	3.665780
20.767	3.754070
22.986	3.752660
24.892	3.749560
27.016	3.732870
29.017	3.673700
31.236	3.731050
33.250	3.687450
35.361	3.742540
37.455	3.712560
39.499	3.739000
41.595	3.691770
43.812	3.772570
45.705	3.774850
48.375	3.752310
49.830	3.669620
52.001	3.643360
53.970	3.732640
56.079	3.644670
58.111	3.641830
60.312	3.712010
62.220	3.740310
64.329	3.694660
66.438	3.688080
68.454	3.733730
70.470	3.700090
72.626	3.739400
74.673	3.709410
76.704	3.738750
78.908	3.697480
80.829	3.686080
83.033	3.681390
84.954	3.752990
88.062	3.704660
90.125	3.694450
92.205	3.704390
