Elapsed time [s]	Value [0,100]
0.000	14.16780
0.749	14.05170
3.172	14.18690
5.188	14.08910
7.938	14.17530
10.016	14.18960
12.141	13.94630
14.345	14.01680
16.454	14.14460
18.470	14.18110
20.579	13.91620
22.688	14.03230
24.704	14.13520
26.813	14.03400
28.829	13.95360
30.830	14.12990
33.047	14.07580
34.955	13.89500
37.063	13.99560
39.283	14.12460
41.297	14.10330
43.313	14.03500
45.422	14.06010
48.360	14.12730
49.814	14.05640
51.658	14.03540
53.767	13.98170
55.876	14.02230
57.892	14.11420
60.001	14.26100
62.079	14.06230
64.126	14.18200
66.235	14.09110
68.251	14.03100
70.267	13.91870
72.469	14.07550
74.485	13.98880
76.501	14.05710
78.610	14.10620
80.641	14.06830
82.719	14.30130
84.797	14.02140
87.861	14.05280
89.875	13.98480
91.999	14.08100
94.080	14.09030
