Elapsed time [s]	Value [0,100]
0.000	12.04520
1.766	12.00690
3.783	11.94670
5.984	11.87380
7.874	12.00540
10.016	12.05540
12.141	12.01570
14.219	11.96590
16.250	12.01950
18.454	11.85000
20.375	12.04870
22.484	12.12100
24.500	11.99610
26.609	11.97220
28.625	11.95680
30.830	11.99340
32.843	11.96510
34.955	12.10310
36.875	11.93210
39.080	12.11120
41.093	11.97070
43.189	11.99620
45.218	11.95240
48.344	12.08480
49.343	11.99090
51.455	12.06810
53.563	12.01130
55.469	11.95070
57.593	11.84290
59.594	12.11230
61.749	12.01490
63.719	12.04140
65.843	11.98240
67.844	11.97010
70.079	12.05290
72.095	12.04780
74.080	11.99220
76.297	11.98850
78.406	12.06370
80.422	11.98340
82.531	12.03270
84.455	11.99770
86.656	11.98890
88.673	12.01530
90.781	11.98050
92.705	11.93600
