Elapsed time [s]	Value [0,100]
0.000	15.50420
1.360	15.58780
3.376	15.55690
5.392	15.58720
7.501	15.66090
9.610	15.57810
11.518	15.50410
13.735	15.60480
15.843	15.48580
18.424	15.60680
19.876	15.61120
22.111	15.47070
24.112	15.51360
26.220	15.55630
28.219	15.47740
30.423	15.49500
32.454	15.60100
34.548	15.54900
36.469	15.57030
38.688	15.43020
40.689	15.59520
42.798	15.51770
44.814	15.57670
46.923	15.53950
48.939	15.57680
51.048	15.57910
52.969	15.55840
55.080	15.56630
57.189	15.56080
59.205	15.60330
61.219	15.58030
63.330	15.67600
65.439	15.52450
67.437	15.61180
69.453	15.57230
71.673	15.58410
73.689	15.62130
75.705	15.61350
77.814	15.54250
79.812	15.50790
81.921	15.58460
83.999	15.41760
86.064	15.44420
88.062	15.50880
90.125	15.52690
92.205	15.65170
