Elapsed time [s]	Value [0,100]
0.000	9.097500
0.955	9.276630
3.172	9.340070
5.188	9.207970
7.297	9.280720
9.205	9.206060
11.314	9.169160
13.330	9.167920
15.439	9.208470
18.424	9.273750
19.672	9.209180
21.704	9.157410
23.890	9.192190
26.002	9.240530
28.015	9.253430
30.047	9.313470
32.032	9.275800
34.064	9.211100
36.126	9.169640
38.250	9.246950
40.313	9.340530
42.345	9.194140
44.407	9.238840
46.516	9.212970
48.532	9.292980
50.656	9.265840
52.765	9.248490
54.874	9.223940
56.782	9.245080
58.999	9.178150
61.000	9.301780
63.124	9.291740
65.032	9.176360
67.249	9.186750
69.250	9.340570
71.282	9.210050
73.486	9.243530
75.499	9.227260
77.719	9.135420
79.624	9.217130
81.751	9.189240
83.845	9.376750
85.953	9.196090
88.062	9.293700
89.986	9.203520
92.205	9.191280
