Elapsed time [s]	Value [0,200]
0.000	24.80000
3.783	24.70000
11.922	24.80000
13.938	24.90000
16.047	24.60000
18.439	24.70000
24.112	24.80000
26.220	24.60000
28.219	24.80000
38.361	24.90000
40.485	24.80000
44.407	24.70000
46.516	24.60000
48.532	24.70000
50.656	24.60000
52.564	24.70000
56.579	24.90000
58.579	24.80000
60.611	24.70000
66.734	24.80000
68.861	24.70000
70.890	24.80000
72.783	24.70000
74.796	24.60000
76.908	24.90000
78.908	24.60000
81.033	24.80000
83.046	24.70000
87.063	24.60000
89.079	24.70000
91.080	24.60000
93.032	24.70000
