Elapsed time [s]	Value [0,100]
0.000	18.25930
1.563	18.22430
3.579	18.28280
5.580	18.34290
7.704	18.25050
9.813	18.09940
11.922	18.30840
13.938	18.15290
16.062	18.29990
18.454	18.24730
20.172	18.21860
22.283	18.33790
24.297	18.30940
26.408	18.13700
28.422	18.17560
30.626	18.40360
32.642	18.33430
34.751	18.12610
36.672	18.18540
38.876	18.20320
40.892	18.26800
43.001	18.34840
45.017	18.10240
47.142	18.01280
49.142	18.43520
51.251	18.36070
53.172	18.15980
55.284	18.21070
57.392	18.17060
59.391	18.23760
61.407	18.27910
63.516	18.34800
65.642	18.35740
67.641	18.19120
69.860	18.19520
71.876	18.27910
73.892	18.32890
75.891	17.97720
77.999	18.34290
80.219	18.37420
82.331	17.98410
84.251	18.27850
86.456	18.44470
88.469	18.06380
90.581	18.21630
92.705	18.20350
