Elapsed time [s]	Value [0,1000]
0.000	9.600000
0.360	9.603000
2.374	9.599000
4.578	9.571000
6.687	9.472000
8.814	9.531000
10.923	9.608000
13.001	9.594000
15.236	9.618000
17.249	9.624000
19.469	9.555000
21.485	9.654000
23.705	9.631000
25.814	9.495000
27.830	9.579000
30.062	9.619000
32.109	9.514000
34.205	9.575000
36.469	9.626000
38.469	9.507000
41.595	9.572000
43.611	9.590000
45.828	9.543000
48.390	9.618000
50.064	9.610000
52.266	9.599000
54.375	9.584000
56.437	9.555000
58.579	9.574000
60.814	9.600000
62.923	9.594000
65.032	9.634000
67.048	9.616000
69.250	9.500000
71.282	9.486000
73.486	9.636000
75.687	9.598000
77.814	9.662000
79.812	9.559000
84.033	9.572000
86.250	9.607000
88.469	9.603000
90.581	9.607000
92.705	9.547000
