Elapsed time [s]	Value [0,1000]
0.000	8.839000
2.235	8.833000
4.375	8.824000
6.486	8.726000
8.500	8.816000
10.719	8.870000
12.875	8.840000
14.937	8.856000
17.064	8.850000
19.157	8.815000
21.297	8.938000
23.391	8.916000
25.595	8.777000
27.642	8.830000
29.766	8.874000
32.032	8.782000
34.048	8.836000
36.126	8.893000
38.281	8.768000
41.438	8.821000
43.501	8.851000
45.689	8.805000
48.375	8.900000
49.938	8.845000
52.080	8.871000
54.251	8.845000
56.267	8.794000
58.391	8.791000
60.611	8.871000
62.689	8.822000
64.875	8.895000
66.938	8.896000
69.000	8.760000
71.124	8.735000
73.282	8.887000
75.376	8.895000
77.719	8.944000
79.689	8.799000
81.751	8.803000
83.986	8.825000
86.064	8.883000
88.124	8.847000
90.251	8.864000
92.375	8.850000
