Elapsed time [s]	Value [0,1600]
0.000	500.0910
1.954	499.9740
4.189	499.8910
6.188	499.7600
8.296	499.6420
12.329	499.5440
14.345	499.4440
18.470	499.5030
24.704	499.5940
26.813	499.6500
28.813	499.7270
30.830	499.8230
33.047	499.9510
34.955	500.0630
37.063	500.1330
39.095	500.2300
41.297	500.3120
43.205	500.3690
45.422	500.4450
49.547	500.5030
55.672	500.4060
59.797	500.2680
61.749	500.1780
66.031	500.0640
68.063	499.9490
72.095	499.8420
74.281	499.7220
78.406	499.6560
82.531	499.5690
88.876	499.6610
93.016	499.7180
