Elapsed time [s]	Value [0,100]
0.000	10.77470
2.235	10.79640
4.189	10.91370
6.360	11.06940
8.438	11.13940
10.562	11.22450
12.532	11.30540
14.736	11.45140
16.657	11.33720
18.861	11.50080
20.970	11.53680
22.986	11.56680
25.095	11.54930
27.016	11.51590
29.220	11.54510
31.236	11.34270
33.250	11.30520
35.361	11.24900
37.455	11.19880
39.499	11.09190
41.454	10.93740
43.611	10.94320
45.625	10.85270
48.375	10.61490
49.814	10.72110
51.861	10.62510
53.970	10.59600
55.876	10.58490
58.111	10.62920
60.001	10.67140
62.079	10.71440
64.126	10.77330
66.235	10.78560
68.251	10.86880
70.470	10.92650
72.469	11.00680
74.485	11.12420
76.501	11.18240
78.610	11.25660
80.641	11.32110
82.719	11.38580
84.797	11.48760
86.860	11.42150
88.876	11.41560
90.923	11.46490
93.032	11.35870
