Elapsed time [s]	Value [-1E+06,1E+06]
0.000	1.250000
2.235	1.230000
6.360	1.240000
8.500	1.230000
12.736	1.200000
14.937	1.220000
17.000	1.230000
19.157	1.250000
23.391	1.210000
25.499	1.230000
27.626	1.210000
29.751	1.220000
31.859	1.190000
34.048	1.160000
36.126	1.230000
38.250	1.210000
40.485	1.180000
42.499	1.220000
44.611	1.190000
46.923	1.220000
48.939	1.200000
51.048	1.220000
55.284	1.210000
57.392	1.220000
61.610	1.190000
63.719	1.160000
65.843	1.190000
68.063	1.210000
70.267	1.180000
74.485	1.170000
76.501	1.180000
80.829	1.150000
83.033	1.170000
85.142	1.140000
87.267	1.160000
89.283	1.170000
91.484	1.160000
93.593	1.150000
